Title:               Average Hourly Earnings of Production Employees: Manufacturing: Non-Durable Goods in North Carolina
Series ID:           SMU37000003200000008
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2001-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
2001-01-01  12.20
2001-02-01  12.20
2001-03-01  12.24
2001-04-01  12.27
2001-05-01  12.30
2001-06-01  12.29
2001-07-01  12.43
2001-08-01  12.32
2001-09-01  12.38
2001-10-01  12.29
2001-11-01  12.40
2001-12-01  12.49
2002-01-01  12.64
2002-02-01  12.53
2002-03-01  12.55
2002-04-01  12.64
2002-05-01  12.72
2002-06-01  12.69
2002-07-01  12.95
2002-08-01  12.52
2002-09-01  12.76
2002-10-01  12.79
2002-11-01  12.79
2002-12-01  12.98
2003-01-01  13.17
2003-02-01  13.02
2003-03-01  13.05
2003-04-01  13.23
2003-05-01  13.17
2003-06-01  13.12
2003-07-01  13.14
2003-08-01  13.18
2003-09-01  13.38
2003-10-01  13.20
2003-11-01  13.22
2003-12-01  13.48
2004-01-01  13.34
2004-02-01  13.31
2004-03-01  13.40
2004-04-01  13.53
2004-05-01  13.50
2004-06-01  13.66
2004-07-01  13.83
2004-08-01  13.54
2004-09-01  13.81
2004-10-01  13.59
2004-11-01  13.54
2004-12-01  13.66
2005-01-01  13.47
2005-02-01  13.53
2005-03-01  13.65
2005-04-01  13.56
2005-05-01  13.54
2005-06-01  13.58
2005-07-01  13.74
2005-08-01  13.55
2005-09-01  13.58
2005-10-01  13.80
2005-11-01  14.11
2005-12-01  13.94
2006-01-01  13.70
2006-02-01  13.77
2006-03-01  13.80
2006-04-01  14.06
2006-05-01  14.01
2006-06-01  14.15
2006-07-01  14.12
2006-08-01  13.98
2006-09-01  14.23
2006-10-01  14.24
2006-11-01  14.21
2006-12-01  14.52
2007-01-01  14.40
2007-02-01  14.64
2007-03-01  14.66
2007-04-01  14.89
2007-05-01  14.79
2007-06-01  14.78
2007-07-01  14.84
2007-08-01  14.76
2007-09-01  14.93
2007-10-01  14.91
2007-11-01  14.97
2007-12-01  15.18
2008-01-01  15.10
2008-02-01  15.09
2008-03-01  15.17
2008-04-01  15.20
2008-05-01  15.26
2008-06-01  15.35
2008-07-01  15.45
2008-08-01  15.12
2008-09-01  15.37
2008-10-01  15.53
2008-11-01  15.56
2008-12-01  15.91
2009-01-01  15.82
2009-02-01  15.91
2009-03-01  15.73
2009-04-01  15.90
2009-05-01  15.44
2009-06-01  15.58
2009-07-01  15.69
2009-08-01  15.66
2009-09-01  15.66
2009-10-01  15.46
2009-11-01  15.47
2009-12-01  15.43
2010-01-01  15.53
2010-02-01  15.51
2010-03-01  15.42
2010-04-01  15.59
2010-05-01  15.14
2010-06-01  15.06
2010-07-01  15.10
2010-08-01  14.69
2010-09-01  14.65
2010-10-01  14.86
2010-11-01  14.83
2010-12-01  14.98
2011-01-01  14.88
2011-02-01  14.83
2011-03-01  14.82
2011-04-01  14.76
2011-05-01  14.79
2011-06-01  14.84
2011-07-01  14.94
2011-08-01  14.83
2011-09-01  15.01
2011-10-01  15.09
2011-11-01  14.99
2011-12-01  15.34
2012-01-01  15.48
2012-02-01  15.34
2012-03-01  15.35
2012-04-01  15.27
2012-05-01  15.13
2012-06-01  15.09
2012-07-01  15.23
2012-08-01  14.78
2012-09-01  15.05
2012-10-01  15.14
2012-11-01  15.11
2012-12-01  14.76
2013-01-01  15.14
2013-02-01  15.17
2013-03-01  15.09
2013-04-01  15.08
2013-05-01  15.11
2013-06-01  15.03
2013-07-01  15.02
2013-08-01  15.07
2013-09-01  15.03
2013-10-01  14.94
2013-11-01  15.04
2013-12-01  15.10
2014-01-01  14.96
2014-02-01  14.79
2014-03-01  14.93
2014-04-01  15.04
2014-05-01  15.14
2014-06-01  15.02
2014-07-01  15.23
2014-08-01  15.20
2014-09-01  15.33
2014-10-01  15.31
2014-11-01  15.55
2014-12-01  15.46
2015-01-01  15.83
2015-02-01  15.69
2015-03-01  15.69
2015-04-01  15.82
2015-05-01  16.01
2015-06-01  15.98
2015-07-01  16.03
2015-08-01  16.15
2015-09-01  16.34
2015-10-01  16.26
2015-11-01  16.35
2015-12-01  16.83
2016-01-01  16.60
2016-02-01  16.76
2016-03-01  16.61
2016-04-01  16.70
2016-05-01  16.58
2016-06-01  16.58
2016-07-01  16.40
2016-08-01  16.23
2016-09-01  16.34
2016-10-01  16.31
2016-11-01  16.31
2016-12-01  16.73
2017-01-01  16.45
2017-02-01  16.41
2017-03-01  16.46
2017-04-01  16.60
2017-05-01  16.47
2017-06-01  16.76
2017-07-01  16.58
2017-08-01  16.81
2017-09-01  16.87
2017-10-01  16.94
2017-11-01  17.08
2017-12-01  17.12
2018-01-01  17.47
2018-02-01  17.21
2018-03-01  17.24
2018-04-01  17.43
2018-05-01  17.15
2018-06-01  17.34
2018-07-01  17.42
2018-08-01  17.52
2018-09-01  17.15
2018-10-01  17.08
