Title:               Average Hourly Earnings of All Employees: Leisure and Hospitality in North Carolina
Series ID:           SMU37000007000000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
2007-01-01  11.35
2007-02-01  11.39
2007-03-01  11.39
2007-04-01  11.43
2007-05-01  12.06
2007-06-01  11.16
2007-07-01  11.18
2007-08-01  11.16
2007-09-01  11.46
2007-10-01  11.62
2007-11-01  11.53
2007-12-01  11.80
2008-01-01  11.58
2008-02-01  11.44
2008-03-01  11.48
2008-04-01  11.84
2008-05-01  11.20
2008-06-01  11.18
2008-07-01  10.66
2008-08-01  11.50
2008-09-01  11.77
2008-10-01  11.72
2008-11-01  12.01
2008-12-01  11.95
2009-01-01  11.90
2009-02-01  11.98
2009-03-01  11.30
2009-04-01  11.84
2009-05-01  11.71
2009-06-01  11.57
2009-07-01  11.58
2009-08-01  11.66
2009-09-01  11.77
2009-10-01  11.87
2009-11-01  11.89
2009-12-01  11.84
2010-01-01  11.64
2010-02-01  11.64
2010-03-01  11.52
2010-04-01  11.67
2010-05-01  11.82
2010-06-01  11.63
2010-07-01  11.47
2010-08-01  11.67
2010-09-01  11.88
2010-10-01  11.65
2010-11-01  11.66
2010-12-01  11.58
2011-01-01  11.24
2011-02-01  11.39
2011-03-01  11.54
2011-04-01  11.64
2011-05-01  11.85
2011-06-01  11.90
2011-07-01  11.96
2011-08-01  12.19
2011-09-01  12.43
2011-10-01  12.61
2011-11-01  12.56
2011-12-01  12.93
2012-01-01  12.75
2012-02-01  12.67
2012-03-01  12.75
2012-04-01  12.68
2012-05-01  12.73
2012-06-01  12.85
2012-07-01  12.63
2012-08-01  12.69
2012-09-01  12.97
2012-10-01  12.98
2012-11-01  13.10
2012-12-01  13.21
2013-01-01  13.02
2013-02-01  12.96
2013-03-01  12.80
2013-04-01  12.70
2013-05-01  12.68
2013-06-01  12.62
2013-07-01  12.50
2013-08-01  12.54
2013-09-01  12.52
2013-10-01  12.56
2013-11-01  12.57
2013-12-01  12.60
2014-01-01  12.56
2014-02-01  12.63
2014-03-01  12.50
2014-04-01  12.40
2014-05-01  12.34
2014-06-01  12.27
2014-07-01  12.18
2014-08-01  12.30
2014-09-01  12.58
2014-10-01  12.55
2014-11-01  12.62
2014-12-01  12.65
2015-01-01  12.63
2015-02-01  12.43
2015-03-01  12.33
2015-04-01  12.38
2015-05-01  12.43
2015-06-01  12.34
2015-07-01  12.23
2015-08-01  12.38
2015-09-01  12.44
2015-10-01  12.63
2015-11-01  12.64
2015-12-01  12.88
2016-01-01  12.77
2016-02-01  12.76
2016-03-01  12.70
2016-04-01  12.77
2016-05-01  12.77
2016-06-01  12.72
2016-07-01  12.71
2016-08-01  12.85
2016-09-01  12.86
2016-10-01  12.98
2016-11-01  12.98
2016-12-01  13.11
2017-01-01  13.09
2017-02-01  12.90
2017-03-01  12.97
2017-04-01  13.11
2017-05-01  13.17
2017-06-01  13.19
2017-07-01  13.23
2017-08-01  13.25
2017-09-01  13.39
2017-10-01  13.45
2017-11-01  13.68
2017-12-01  13.81
2018-01-01  13.83
2018-02-01  13.94
2018-03-01  13.85
2018-04-01  13.86
2018-05-01  13.94
2018-06-01  13.76
2018-07-01  13.80
2018-08-01  14.01
2018-09-01  14.21
2018-10-01  14.05
