Title:               Average Weekly Earnings of All Employees: Professional and Business Services in North Carolina
Series ID:           SMU37000006000000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE          VALUE
2007-01-01   840.35
2007-02-01   854.66
2007-03-01   844.10
2007-04-01   877.15
2007-05-01   830.37
2007-06-01   849.16
2007-07-01   878.40
2007-08-01   850.66
2007-09-01   885.24
2007-10-01   847.62
2007-11-01   864.16
2007-12-01   892.47
2008-01-01   860.34
2008-02-01   829.02
2008-03-01   846.85
2008-04-01   859.81
2008-05-01   839.79
2008-06-01   870.61
2008-07-01   811.50
2008-08-01   843.84
2008-09-01   847.91
2008-10-01   904.19
2008-11-01   965.88
2008-12-01   926.72
2009-01-01   927.42
2009-02-01   945.48
2009-03-01   943.24
2009-04-01   958.00
2009-05-01   941.29
2009-06-01   939.75
2009-07-01   932.74
2009-08-01   941.15
2009-09-01   938.81
2009-10-01   946.04
2009-11-01   977.47
2009-12-01   962.79
2010-01-01   929.28
2010-02-01   936.65
2010-03-01   940.70
2010-04-01   936.24
2010-05-01   936.86
2010-06-01   903.47
2010-07-01   893.77
2010-08-01   924.73
2010-09-01   916.30
2010-10-01   913.88
2010-11-01   902.20
2010-12-01   912.63
2011-01-01   927.62
2011-02-01   916.61
2011-03-01   902.97
2011-04-01   921.68
2011-05-01   958.82
2011-06-01   927.74
2011-07-01   936.16
2011-08-01   932.59
2011-09-01   936.33
2011-10-01   964.95
2011-11-01   939.98
2011-12-01   949.56
2012-01-01   946.79
2012-02-01   945.18
2012-03-01   937.91
2012-04-01   973.42
2012-05-01   943.55
2012-06-01   961.47
2012-07-01   969.29
2012-08-01   945.72
2012-09-01   973.09
2012-10-01   922.21
2012-11-01   936.00
2012-12-01   984.49
2013-01-01   939.62
2013-02-01   953.87
2013-03-01   949.43
2013-04-01   935.41
2013-05-01   929.66
2013-06-01   955.71
2013-07-01   910.75
2013-08-01   925.61
2013-09-01   955.30
2013-10-01   918.74
2013-11-01   932.21
2013-12-01   949.37
2014-01-01   912.61
2014-02-01   959.20
2014-03-01   999.12
2014-04-01   965.69
2014-05-01   946.76
2014-06-01   974.62
2014-07-01   946.40
2014-08-01   946.13
2014-09-01   944.10
2014-10-01   950.04
2014-11-01   992.05
2014-12-01   954.48
2015-01-01   947.48
2015-02-01   983.00
2015-03-01   970.72
2015-04-01   951.48
2015-05-01   953.64
2015-06-01   947.35
2015-07-01   956.58
2015-08-01   995.67
2015-09-01   951.20
2015-10-01   962.20
2015-11-01  1005.40
2015-12-01   973.18
2016-01-01   969.85
2016-02-01   980.00
2016-03-01   999.95
2016-04-01  1005.31
2016-05-01  1024.23
2016-06-01  1010.68
2016-07-01  1011.02
2016-08-01  1009.95
2016-09-01  1019.58
2016-10-01  1048.34
2016-11-01  1014.59
2016-12-01  1013.89
2017-01-01  1032.70
2017-02-01  1024.53
2017-03-01  1033.47
2017-04-01  1058.09
2017-05-01  1016.72
2017-06-01  1016.86
2017-07-01  1047.55
2017-08-01  1000.08
2017-09-01  1020.48
2017-10-01  1063.57
2017-11-01  1026.68
2017-12-01  1024.89
2018-01-01  1015.32
2018-02-01  1048.42
2018-03-01  1043.70
2018-04-01  1092.88
2018-05-01  1042.88
2018-06-01  1057.61
2018-07-01  1091.64
2018-08-01  1068.63
2018-09-01  1121.04
2018-10-01  1083.36
