Title:               Average Hourly Earnings of All Employees: Private Service Providing in North Carolina
Series ID:           SMU37000000800000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
2007-01-01  19.60
2007-02-01  19.79
2007-03-01  19.71
2007-04-01  19.79
2007-05-01  19.30
2007-06-01  19.22
2007-07-01  19.31
2007-08-01  18.94
2007-09-01  19.75
2007-10-01  19.48
2007-11-01  19.62
2007-12-01  19.78
2008-01-01  19.88
2008-02-01  19.76
2008-03-01  19.79
2008-04-01  20.48
2008-05-01  19.96
2008-06-01  20.06
2008-07-01  20.06
2008-08-01  20.24
2008-09-01  20.06
2008-10-01  20.81
2008-11-01  21.34
2008-12-01  20.97
2009-01-01  21.21
2009-02-01  20.98
2009-03-01  20.94
2009-04-01  20.76
2009-05-01  20.52
2009-06-01  20.63
2009-07-01  20.58
2009-08-01  20.64
2009-09-01  20.72
2009-10-01  20.79
2009-11-01  21.09
2009-12-01  20.90
2010-01-01  21.18
2010-02-01  21.19
2010-03-01  21.15
2010-04-01  20.96
2010-05-01  20.81
2010-06-01  20.53
2010-07-01  20.53
2010-08-01  20.62
2010-09-01  20.62
2010-10-01  20.72
2010-11-01  20.62
2010-12-01  20.71
2011-01-01  21.06
2011-02-01  20.87
2011-03-01  20.72
2011-04-01  20.83
2011-05-01  20.92
2011-06-01  20.74
2011-07-01  20.94
2011-08-01  20.98
2011-09-01  21.33
2011-10-01  21.64
2011-11-01  21.49
2011-12-01  21.54
2012-01-01  21.90
2012-02-01  21.91
2012-03-01  21.79
2012-04-01  22.11
2012-05-01  21.80
2012-06-01  22.02
2012-07-01  22.03
2012-08-01  21.88
2012-09-01  22.25
2012-10-01  21.94
2012-11-01  22.02
2012-12-01  22.39
2013-01-01  22.17
2013-02-01  22.11
2013-03-01  21.96
2013-04-01  21.81
2013-05-01  21.74
2013-06-01  21.91
2013-07-01  21.69
2013-08-01  21.72
2013-09-01  21.92
2013-10-01  21.75
2013-11-01  21.86
2013-12-01  22.04
2014-01-01  22.08
2014-02-01  22.77
2014-03-01  22.55
2014-04-01  22.00
2014-05-01  21.87
2014-06-01  21.97
2014-07-01  21.75
2014-08-01  21.82
2014-09-01  22.02
2014-10-01  21.95
2014-11-01  22.34
2014-12-01  21.99
2015-01-01  22.18
2015-02-01  22.58
2015-03-01  22.22
2015-04-01  22.19
2015-05-01  22.28
2015-06-01  22.22
2015-07-01  22.38
2015-08-01  22.85
2015-09-01  22.61
2015-10-01  22.77
2015-11-01  23.16
2015-12-01  22.89
2016-01-01  23.34
2016-02-01  23.54
2016-03-01  23.57
2016-04-01  23.60
2016-05-01  23.83
2016-06-01  23.63
2016-07-01  23.63
2016-08-01  23.84
2016-09-01  24.00
2016-10-01  24.26
2016-11-01  24.18
2016-12-01  23.98
2017-01-01  24.45
2017-02-01  24.40
2017-03-01  24.37
2017-04-01  24.76
2017-05-01  24.31
2017-06-01  24.02
2017-07-01  24.43
2017-08-01  24.24
2017-09-01  24.43
2017-10-01  24.78
2017-11-01  24.47
2017-12-01  24.52
2018-01-01  25.08
2018-02-01  25.17
2018-03-01  25.10
2018-04-01  25.36
2018-05-01  25.09
2018-06-01  24.85
2018-07-01  25.18
2018-08-01  25.08
2018-09-01  26.04
2018-10-01  25.68
