Title:               Average Hourly Earnings of All Employees: Goods Producing in North Carolina
Series ID:           SMU37000000600000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
2007-01-01  18.35
2007-02-01  18.47
2007-03-01  18.92
2007-04-01  18.34
2007-05-01  18.50
2007-06-01  18.43
2007-07-01  18.49
2007-08-01  18.45
2007-09-01  18.63
2007-10-01  18.49
2007-11-01  18.43
2007-12-01  18.70
2008-01-01  18.48
2008-02-01  18.64
2008-03-01  18.48
2008-04-01  18.82
2008-05-01  18.67
2008-06-01  19.17
2008-07-01  18.44
2008-08-01  18.71
2008-09-01  18.59
2008-10-01  18.97
2008-11-01  19.45
2008-12-01  19.74
2009-01-01  19.76
2009-02-01  19.83
2009-03-01  19.95
2009-04-01  20.09
2009-05-01  19.90
2009-06-01  19.89
2009-07-01  19.83
2009-08-01  19.90
2009-09-01  19.89
2009-10-01  19.77
2009-11-01  19.93
2009-12-01  19.90
2010-01-01  20.41
2010-02-01  20.58
2010-03-01  20.35
2010-04-01  20.22
2010-05-01  19.98
2010-06-01  19.61
2010-07-01  20.21
2010-08-01  20.01
2010-09-01  19.69
2010-10-01  19.53
2010-11-01  19.72
2010-12-01  19.96
2011-01-01  20.16
2011-02-01  20.33
2011-03-01  20.04
2011-04-01  20.13
2011-05-01  20.28
2011-06-01  20.14
2011-07-01  20.22
2011-08-01  20.09
2011-09-01  20.32
2011-10-01  20.46
2011-11-01  20.52
2011-12-01  20.65
2012-01-01  20.68
2012-02-01  20.65
2012-03-01  20.62
2012-04-01  20.58
2012-05-01  20.42
2012-06-01  20.41
2012-07-01  20.66
2012-08-01  20.39
2012-09-01  20.66
2012-10-01  20.58
2012-11-01  20.91
2012-12-01  21.05
2013-01-01  21.06
2013-02-01  20.91
2013-03-01  20.96
2013-04-01  20.98
2013-05-01  20.85
2013-06-01  20.79
2013-07-01  20.88
2013-08-01  20.76
2013-09-01  20.81
2013-10-01  20.81
2013-11-01  20.90
2013-12-01  21.15
2014-01-01  20.86
2014-02-01  21.34
2014-03-01  20.82
2014-04-01  20.62
2014-05-01  20.72
2014-06-01  20.83
2014-07-01  21.07
2014-08-01  20.95
2014-09-01  21.21
2014-10-01  21.17
2014-11-01  21.24
2014-12-01  21.22
2015-01-01  21.56
2015-02-01  21.55
2015-03-01  21.36
2015-04-01  21.50
2015-05-01  21.49
2015-06-01  21.38
2015-07-01  21.26
2015-08-01  21.43
2015-09-01  21.42
2015-10-01  21.46
2015-11-01  21.70
2015-12-01  21.84
2016-01-01  21.70
2016-02-01  21.91
2016-03-01  21.88
2016-04-01  21.98
2016-05-01  22.08
2016-06-01  22.14
2016-07-01  22.02
2016-08-01  22.06
2016-09-01  21.85
2016-10-01  22.32
2016-11-01  21.97
2016-12-01  22.31
2017-01-01  22.61
2017-02-01  22.50
2017-03-01  22.71
2017-04-01  22.75
2017-05-01  22.81
2017-06-01  22.87
2017-07-01  23.22
2017-08-01  22.99
2017-09-01  23.31
2017-10-01  23.34
2017-11-01  23.21
2017-12-01  23.44
2018-01-01  23.74
2018-02-01  23.79
2018-03-01  23.71
2018-04-01  23.86
2018-05-01  23.46
2018-06-01  23.51
2018-07-01  23.57
2018-08-01  23.45
2018-09-01  23.68
2018-10-01  23.44
