Title:               Average Weekly Earnings of All Employees: Trade, Transportation, and Utilities in North Carolina
Series ID:           SMU37000004000000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  598.40
2007-02-01  595.00
2007-03-01  591.32
2007-04-01  586.16
2007-05-01  579.64
2007-06-01  591.64
2007-07-01  595.80
2007-08-01  575.27
2007-09-01  618.74
2007-10-01  598.06
2007-11-01  605.40
2007-12-01  600.28
2008-01-01  599.19
2008-02-01  611.09
2008-03-01  624.78
2008-04-01  658.56
2008-05-01  630.05
2008-06-01  638.97
2008-07-01  695.08
2008-08-01  628.60
2008-09-01  641.55
2008-10-01  706.81
2008-11-01  705.29
2008-12-01  704.00
2009-01-01  697.54
2009-02-01  686.55
2009-03-01  687.37
2009-04-01  657.32
2009-05-01  654.63
2009-06-01  674.57
2009-07-01  667.12
2009-08-01  678.13
2009-09-01  679.70
2009-10-01  685.53
2009-11-01  676.30
2009-12-01  665.72
2010-01-01  684.04
2010-02-01  684.25
2010-03-01  692.52
2010-04-01  680.94
2010-05-01  665.17
2010-06-01  679.76
2010-07-01  676.26
2010-08-01  676.72
2010-09-01  668.92
2010-10-01  677.59
2010-11-01  671.77
2010-12-01  678.66
2011-01-01  678.95
2011-02-01  686.94
2011-03-01  671.81
2011-04-01  687.96
2011-05-01  683.40
2011-06-01  677.21
2011-07-01  678.04
2011-08-01  671.93
2011-09-01  684.52
2011-10-01  696.00
2011-11-01  679.55
2011-12-01  680.00
2012-01-01  696.29
2012-02-01  710.31
2012-03-01  707.88
2012-04-01  724.11
2012-05-01  706.49
2012-06-01  720.03
2012-07-01  724.15
2012-08-01  718.29
2012-09-01  738.12
2012-10-01  720.36
2012-11-01  720.36
2012-12-01  732.89
2013-01-01  711.28
2013-02-01  714.15
2013-03-01  718.98
2013-04-01  716.22
2013-05-01  708.63
2013-06-01  728.70
2013-07-01  722.45
2013-08-01  720.71
2013-09-01  739.56
2013-10-01  721.05
2013-11-01  717.24
2013-12-01  727.31
2014-01-01  721.73
2014-02-01  713.97
2014-03-01  764.21
2014-04-01  724.85
2014-05-01  720.68
2014-06-01  731.13
2014-07-01  713.11
2014-08-01  712.75
2014-09-01  722.65
2014-10-01  697.69
2014-11-01  708.62
2014-12-01  700.75
2015-01-01  698.31
2015-02-01  720.94
2015-03-01  703.48
2015-04-01  705.21
2015-05-01  702.42
2015-06-01  710.02
2015-07-01  714.14
2015-08-01  738.15
2015-09-01  733.91
2015-10-01  742.86
2015-11-01  732.03
2015-12-01  719.61
2016-01-01  722.40
2016-02-01  727.60
2016-03-01  740.65
2016-04-01  745.00
2016-05-01  755.42
2016-06-01  758.78
2016-07-01  763.49
2016-08-01  761.08
2016-09-01  763.05
2016-10-01  765.14
2016-11-01  762.58
2016-12-01  756.11
2017-01-01  761.96
2017-02-01  753.93
2017-03-01  772.11
2017-04-01  797.47
2017-05-01  777.43
2017-06-01  771.52
2017-07-01  788.20
2017-08-01  763.49
2017-09-01  779.19
2017-10-01  787.87
2017-11-01  764.20
2017-12-01  765.70
2018-01-01  817.95
2018-02-01  811.72
2018-03-01  805.90
2018-04-01  833.07
2018-05-01  806.96
2018-06-01  808.37
2018-07-01  813.67
2018-08-01  799.75
2018-09-01  811.44
2018-10-01  808.16
