Title:               Average Weekly Earnings of All Employees: Education and Health Services in North Carolina
Series ID:           SMU37000006500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  605.73
2007-02-01  609.70
2007-03-01  617.41
2007-04-01  618.73
2007-05-01  625.60
2007-06-01  619.63
2007-07-01  596.97
2007-08-01  586.41
2007-09-01  606.90
2007-10-01  602.12
2007-11-01  609.44
2007-12-01  626.67
2008-01-01  614.08
2008-02-01  631.46
2008-03-01  625.36
2008-04-01  663.92
2008-05-01  662.03
2008-06-01  668.09
2008-07-01  671.74
2008-08-01  696.84
2008-09-01  655.78
2008-10-01  665.06
2008-11-01  674.70
2008-12-01  662.08
2009-01-01  659.21
2009-02-01  667.83
2009-03-01  660.01
2009-04-01  653.95
2009-05-01  656.34
2009-06-01  651.40
2009-07-01  650.44
2009-08-01  649.28
2009-09-01  649.80
2009-10-01  654.52
2009-11-01  657.09
2009-12-01  649.70
2010-01-01  647.89
2010-02-01  644.59
2010-03-01  638.44
2010-04-01  645.86
2010-05-01  659.24
2010-06-01  649.17
2010-07-01  653.88
2010-08-01  656.98
2010-09-01  642.96
2010-10-01  647.29
2010-11-01  650.20
2010-12-01  648.74
2011-01-01  640.32
2011-02-01  644.06
2011-03-01  656.88
2011-04-01  660.21
2011-05-01  665.45
2011-06-01  660.74
2011-07-01  662.03
2011-08-01  663.51
2011-09-01  676.67
2011-10-01  696.28
2011-11-01  689.72
2011-12-01  693.48
2012-01-01  711.43
2012-02-01  701.23
2012-03-01  706.88
2012-04-01  723.57
2012-05-01  711.43
2012-06-01  725.29
2012-07-01  732.50
2012-08-01  727.42
2012-09-01  744.15
2012-10-01  732.93
2012-11-01  737.22
2012-12-01  746.00
2013-01-01  726.43
2013-02-01  726.00
2013-03-01  717.66
2013-04-01  717.99
2013-05-01  717.44
2013-06-01  731.13
2013-07-01  715.48
2013-08-01  718.75
2013-09-01  728.41
2013-10-01  723.24
2013-11-01  723.24
2013-12-01  727.98
2014-01-01  718.25
2014-02-01  715.20
2014-03-01  725.54
2014-04-01  727.96
2014-05-01  727.31
2014-06-01  724.46
2014-07-01  722.74
2014-08-01  732.10
2014-09-01  712.61
2014-10-01  708.83
2014-11-01  740.85
2014-12-01  722.15
2015-01-01  723.78
2015-02-01  726.75
2015-03-01  719.81
2015-04-01  719.03
2015-05-01  735.47
2015-06-01  734.83
2015-07-01  734.45
2015-08-01  755.63
2015-09-01  714.87
2015-10-01  724.50
2015-11-01  736.78
2015-12-01  727.08
2016-01-01  724.13
2016-02-01  713.48
2016-03-01  712.15
2016-04-01  727.27
2016-05-01  755.09
2016-06-01  734.58
2016-07-01  728.35
2016-08-01  746.54
2016-09-01  748.57
2016-10-01  765.59
2016-11-01  779.64
2016-12-01  760.96
2017-01-01  761.21
2017-02-01  780.99
2017-03-01  758.72
2017-04-01  785.85
2017-05-01  790.70
2017-06-01  769.71
2017-07-01  784.15
2017-08-01  801.04
2017-09-01  780.12
2017-10-01  796.51
2017-11-01  789.43
2017-12-01  791.38
2018-01-01  792.87
2018-02-01  813.95
2018-03-01  803.73
2018-04-01  825.51
2018-05-01  825.58
2018-06-01  812.30
2018-07-01  822.36
2018-08-01  813.44
2018-09-01  780.69
2018-10-01  793.15
