Title:               Average Weekly Earnings of All Employees: Manufacturing in North Carolina
Series ID:           SMU37000003000000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE         VALUE
2007-01-01  747.16
2007-02-01  744.20
2007-03-01  777.49
2007-04-01  755.63
2007-05-01  760.92
2007-06-01  761.99
2007-07-01  756.02
2007-08-01  752.72
2007-09-01  762.14
2007-10-01  747.57
2007-11-01  748.44
2007-12-01  754.11
2008-01-01  745.85
2008-02-01  722.99
2008-03-01  726.82
2008-04-01  738.82
2008-05-01  717.88
2008-06-01  738.70
2008-07-01  710.82
2008-08-01  745.06
2008-09-01  717.36
2008-10-01  744.08
2008-11-01  753.87
2008-12-01  750.00
2009-01-01  739.05
2009-02-01  741.64
2009-03-01  744.58
2009-04-01  734.70
2009-05-01  746.81
2009-06-01  752.29
2009-07-01  755.02
2009-08-01  763.22
2009-09-01  766.36
2009-10-01  763.21
2009-11-01  775.34
2009-12-01  779.60
2010-01-01  805.15
2010-02-01  801.33
2010-03-01  795.88
2010-04-01  810.43
2010-05-01  814.03
2010-06-01  795.42
2010-07-01  808.24
2010-08-01  815.68
2010-09-01  798.71
2010-10-01  796.63
2010-11-01  806.55
2010-12-01  807.70
2011-01-01  826.20
2011-02-01  815.27
2011-03-01  805.10
2011-04-01  813.19
2011-05-01  824.14
2011-06-01  825.29
2011-07-01  818.90
2011-08-01  812.03
2011-09-01  827.43
2011-10-01  834.36
2011-11-01  834.36
2011-12-01  845.42
2012-01-01  850.34
2012-02-01  840.46
2012-03-01  844.18
2012-04-01  854.08
2012-05-01  827.42
2012-06-01  827.01
2012-07-01  824.40
2012-08-01  820.51
2012-09-01  843.77
2012-10-01  831.43
2012-11-01  849.00
2012-12-01  859.36
2013-01-01  842.99
2013-02-01  842.00
2013-03-01  847.26
2013-04-01  852.12
2013-05-01  842.34
2013-06-01  856.52
2013-07-01  849.61
2013-08-01  856.96
2013-09-01  866.11
2013-10-01  846.15
2013-11-01  865.65
2013-12-01  883.65
2014-01-01  852.72
2014-02-01  855.97
2014-03-01  905.24
2014-04-01  892.74
2014-05-01  886.88
2014-06-01  904.89
2014-07-01  889.15
2014-08-01  896.66
2014-09-01  910.34
2014-10-01  894.22
2014-11-01  915.04
2014-12-01  900.14
2015-01-01  886.13
2015-02-01  885.47
2015-03-01  885.74
2015-04-01  878.45
2015-05-01  881.76
2015-06-01  862.58
2015-07-01  857.21
2015-08-01  873.50
2015-09-01  853.48
2015-10-01  858.58
2015-11-01  864.63
2015-12-01  873.71
2016-01-01  855.33
2016-02-01  870.08
2016-03-01  876.42
2016-04-01  895.03
2016-05-01  895.44
2016-06-01  900.28
2016-07-01  896.88
2016-08-01  897.84
2016-09-01  886.30
2016-10-01  899.10
2016-11-01  909.56
2016-12-01  912.83
2017-01-01  911.66
2017-02-01  916.12
2017-03-01  921.48
2017-04-01  914.00
2017-05-01  932.75
2017-06-01  937.92
2017-07-01  938.14
2017-08-01  930.65
2017-09-01  941.52
2017-10-01  956.10
2017-11-01  945.95
2017-12-01  949.01
2018-01-01  937.29
2018-02-01  960.84
2018-03-01  958.39
2018-04-01  968.18
2018-05-01  949.12
2018-06-01  971.36
2018-07-01  962.97
2018-08-01  955.43
2018-09-01  920.38
2018-10-01  957.41
