Title:               Average Weekly Earnings of All Employees: Financial Activities in North Carolina
Series ID:           SMU37000005500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE          VALUE
2007-01-01   997.03
2007-02-01  1060.49
2007-03-01  1128.06
2007-04-01  1130.81
2007-05-01  1013.86
2007-06-01   995.60
2007-07-01  1027.97
2007-08-01   986.80
2007-09-01  1055.98
2007-10-01  1016.10
2007-11-01   917.09
2007-12-01   971.99
2008-01-01   894.01
2008-02-01   992.38
2008-03-01  1018.58
2008-04-01   997.80
2008-05-01   991.55
2008-06-01  1043.46
2008-07-01   943.09
2008-08-01   973.54
2008-09-01   969.39
2008-10-01   972.92
2008-11-01  1068.96
2008-12-01   985.94
2009-01-01   969.00
2009-02-01   962.69
2009-03-01   947.50
2009-04-01   928.88
2009-05-01   930.67
2009-06-01   932.91
2009-07-01   933.48
2009-08-01   938.24
2009-09-01   926.50
2009-10-01   918.63
2009-11-01   962.14
2009-12-01   908.16
2010-01-01   919.84
2010-02-01   948.70
2010-03-01   931.74
2010-04-01   936.58
2010-05-01   970.52
2010-06-01   957.90
2010-07-01   964.23
2010-08-01   987.85
2010-09-01   964.50
2010-10-01   991.46
2010-11-01   988.47
2010-12-01   967.10
2011-01-01   979.51
2011-02-01   998.29
2011-03-01   970.17
2011-04-01   968.66
2011-05-01   975.93
2011-06-01   937.07
2011-07-01   960.81
2011-08-01   975.20
2011-09-01   995.76
2011-10-01  1044.81
2011-11-01  1011.49
2011-12-01  1014.51
2012-01-01  1052.54
2012-02-01  1028.87
2012-03-01  1022.14
2012-04-01  1048.50
2012-05-01  1011.19
2012-06-01  1010.35
2012-07-01  1038.06
2012-08-01  1013.74
2012-09-01  1062.56
2012-10-01  1029.44
2012-11-01  1031.72
2012-12-01  1055.14
2013-01-01  1001.05
2013-02-01  1046.73
2013-03-01  1013.61
2013-04-01  1002.29
2013-05-01  1031.02
2013-06-01  1059.94
2013-07-01  1008.72
2013-08-01  1014.41
2013-09-01  1019.18
2013-10-01   981.72
2013-11-01   997.67
2013-12-01  1018.43
2014-01-01   997.72
2014-02-01  1030.03
2014-03-01  1008.48
2014-04-01   950.61
2014-05-01   961.47
2014-06-01  1010.98
2014-07-01   968.71
2014-08-01   989.71
2014-09-01  1008.05
2014-10-01  1041.44
2014-11-01  1046.30
2014-12-01   992.00
2015-01-01  1006.89
2015-02-01  1055.55
2015-03-01  1111.88
2015-04-01  1058.63
2015-05-01  1085.89
2015-06-01  1077.62
2015-07-01  1099.42
2015-08-01  1161.64
2015-09-01  1112.25
2015-10-01  1131.35
2015-11-01  1200.84
2015-12-01  1147.19
2016-01-01  1186.49
2016-02-01  1248.38
2016-03-01  1229.57
2016-04-01  1219.68
2016-05-01  1272.43
2016-06-01  1236.36
2016-07-01  1250.78
2016-08-01  1290.71
2016-09-01  1272.33
2016-10-01  1301.59
2016-11-01  1252.48
2016-12-01  1237.81
2017-01-01  1306.89
2017-02-01  1321.35
2017-03-01  1278.02
2017-04-01  1345.11
2017-05-01  1273.51
2017-06-01  1265.40
2017-07-01  1321.92
2017-08-01  1292.36
2017-09-01  1301.12
2017-10-01  1346.91
2017-11-01  1278.72
2017-12-01  1241.24
2018-01-01  1239.71
2018-02-01  1299.84
2018-03-01  1306.37
2018-04-01  1337.82
2018-05-01  1303.29
2018-06-01  1273.88
2018-07-01  1323.65
2018-08-01  1296.66
2018-09-01  1386.00
2018-10-01  1367.56
