Title:               Average Weekly Earnings of All Employees: Education and Health Services in North Carolina
Series ID:           SMU37000006500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  613.0
2007-02-01  612.1
2007-03-01  619.0
2007-04-01  617.9
2007-05-01  618.4
2007-06-01  616.7
2007-07-01  598.0
2007-08-01  585.9
2007-09-01  606.9
2007-10-01  604.2
2007-11-01  606.7
2007-12-01  626.5
2008-01-01  620.9
2008-02-01  634.1
2008-03-01  627.1
2008-04-01  662.9
2008-05-01  655.4
2008-06-01  665.4
2008-07-01  672.7
2008-08-01  696.9
2008-09-01  655.2
2008-10-01  666.9
2008-11-01  671.9
2008-12-01  661.3
2009-01-01  665.6
2009-02-01  670.7
2009-03-01  662.1
2009-04-01  652.9
2009-05-01  650.6
2009-06-01  648.6
2009-07-01  651.4
2009-08-01  649.4
2009-09-01  648.9
2009-10-01  656.4
2009-11-01  654.1
2009-12-01  648.4
2010-01-01  653.8
2010-02-01  647.7
2010-03-01  640.9
2010-04-01  645.1
2010-05-01  654.2
2010-06-01  646.3
2010-07-01  654.7
2010-08-01  656.5
2010-09-01  642.6
2010-10-01  649.4
2010-11-01  646.5
2010-12-01  647.2
2011-01-01  645.6
2011-02-01  647.4
2011-03-01  660.0
2011-04-01  659.6
2011-05-01  660.9
2011-06-01  658.2
2011-07-01  662.3
2011-08-01  662.4
2011-09-01  677.3
2011-10-01  698.2
2011-11-01  684.8
2011-12-01  692.3
2012-01-01  716.2
2012-02-01  704.3
2012-03-01  711.4
2012-04-01  722.9
2012-05-01  706.8
2012-06-01  723.5
2012-07-01  732.3
2012-08-01  725.5
2012-09-01  745.9
2012-10-01  734.1
2012-11-01  731.7
2012-12-01  745.4
2013-01-01  731.0
2013-02-01  728.8
2013-03-01  723.5
2013-04-01  716.5
2013-05-01  712.5
2013-06-01  730.2
2013-07-01  714.6
2013-08-01  715.9
2013-09-01  731.4
2013-10-01  724.0
2013-11-01  717.8
2013-12-01  728.2
2014-01-01  722.9
2014-02-01  717.6
2014-03-01  732.1
2014-04-01  725.3
2014-05-01  722.1
2014-06-01  724.1
2014-07-01  721.3
2014-08-01  728.8
2014-09-01  716.5
2014-10-01  709.4
2014-11-01  735.9
2014-12-01  722.9
2015-01-01  728.2
2015-02-01  728.7
2015-03-01  726.9
2015-04-01  715.3
2015-05-01  730.3
2015-06-01  734.5
2015-07-01  732.1
2015-08-01  752.0
2015-09-01  719.9
2015-10-01  725.3
2015-11-01  732.2
2015-12-01  728.7
2016-01-01  728.3
2016-02-01  714.8
2016-03-01  719.5
2016-04-01  723.0
2016-05-01  750.0
2016-06-01  734.2
2016-07-01  725.4
2016-08-01  742.5
2016-09-01  754.7
2016-10-01  766.2
2016-11-01  775.0
2016-12-01  763.6
2017-01-01  765.3
2017-02-01  781.7
2017-03-01  766.7
2017-04-01  781.0
2017-05-01  785.0
2017-06-01  769.8
2017-07-01  780.4
2017-08-01  795.9
2017-09-01  788.0
2017-10-01  797.0
2017-11-01  784.6
2017-12-01  795.3
2018-01-01  797.0
2018-02-01  814.0
2018-03-01  812.2
2018-04-01  819.9
2018-05-01  819.0
2018-06-01  813.1
2018-07-01  817.8
2018-08-01  807.7
2018-09-01  790.1
2018-10-01  793.3
