Title:               Average Weekly Earnings of All Employees: Construction in North Carolina
Series ID:           SMU37000002000000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE         VALUE
2007-01-01  691.04
2007-02-01  704.16
2007-03-01  717.89
2007-04-01  705.22
2007-05-01  714.36
2007-06-01  711.87
2007-07-01  730.75
2007-08-01  741.34
2007-09-01  743.60
2007-10-01  732.32
2007-11-01  720.89
2007-12-01  758.40
2008-01-01  706.22
2008-02-01  726.00
2008-03-01  784.16
2008-04-01  756.21
2008-05-01  755.82
2008-06-01  818.46
2008-07-01  727.61
2008-08-01  737.74
2008-09-01  731.47
2008-10-01  751.55
2008-11-01  738.54
2008-12-01  763.90
2009-01-01  753.50
2009-02-01  764.78
2009-03-01  763.90
2009-04-01  767.81
2009-05-01  775.28
2009-06-01  777.60
2009-07-01  769.62
2009-08-01  764.56
2009-09-01  762.29
2009-10-01  750.53
2009-11-01  742.22
2009-12-01  745.83
2010-01-01  738.91
2010-02-01  741.19
2010-03-01  746.56
2010-04-01  783.84
2010-05-01  777.74
2010-06-01  784.06
2010-07-01  780.47
2010-08-01  782.10
2010-09-01  769.88
2010-10-01  778.44
2010-11-01  769.36
2010-12-01  770.52
2011-01-01  762.43
2011-02-01  773.68
2011-03-01  777.75
2011-04-01  806.31
2011-05-01  804.94
2011-06-01  792.33
2011-07-01  797.54
2011-08-01  783.17
2011-09-01  781.95
2011-10-01  797.34
2011-11-01  807.95
2011-12-01  807.81
2012-01-01  766.33
2012-02-01  781.28
2012-03-01  793.85
2012-04-01  790.99
2012-05-01  787.25
2012-06-01  785.70
2012-07-01  792.19
2012-08-01  781.55
2012-09-01  800.67
2012-10-01  780.94
2012-11-01  804.42
2012-12-01  814.46
2013-01-01  799.09
2013-02-01  785.17
2013-03-01  808.44
2013-04-01  803.67
2013-05-01  805.23
2013-06-01  799.50
2013-07-01  787.55
2013-08-01  819.48
2013-09-01  825.66
2013-10-01  811.07
2013-11-01  821.47
2013-12-01  809.47
2014-01-01  795.41
2014-02-01  766.41
2014-03-01  862.73
2014-04-01  832.40
2014-05-01  841.68
2014-06-01  860.69
2014-07-01  862.10
2014-08-01  857.26
2014-09-01  851.60
2014-10-01  859.48
2014-11-01  864.47
2014-12-01  871.68
2015-01-01  830.68
2015-02-01  850.20
2015-03-01  874.91
2015-04-01  865.39
2015-05-01  888.76
2015-06-01  900.09
2015-07-01  891.46
2015-08-01  907.49
2015-09-01  880.31
2015-10-01  912.69
2015-11-01  895.96
2015-12-01  938.12
2016-01-01  868.34
2016-02-01  856.87
2016-03-01  910.03
2016-04-01  897.88
2016-05-01  907.96
2016-06-01  917.69
2016-07-01  887.81
2016-08-01  883.20
2016-09-01  900.51
2016-10-01  909.40
2016-11-01  908.31
2016-12-01  882.57
2017-01-01  846.40
2017-02-01  904.23
2017-03-01  909.69
2017-04-01  910.32
2017-05-01  928.93
2017-06-01  947.92
2017-07-01  955.72
2017-08-01  923.82
2017-09-01  938.11
2017-10-01  945.63
2017-11-01  947.20
2017-12-01  954.38
2018-01-01  918.59
2018-02-01  951.45
2018-03-01  926.70
2018-04-01  973.62
2018-05-01  989.01
2018-06-01  997.12
2018-07-01  974.40
2018-08-01  976.84
2018-09-01  897.34
2018-10-01  947.76
