Title:               Average Weekly Earnings of Production Employees: Manufacturing: Non-Durable Goods in North Carolina
Series ID:           SMU37000003200000030
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2001-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2001-01-01  485.56
2001-02-01  474.58
2001-03-01  479.81
2001-04-01  473.62
2001-05-01  487.08
2001-06-01  486.68
2001-07-01  479.80
2001-08-01  485.41
2001-09-01  497.68
2001-10-01  492.83
2001-11-01  487.32
2001-12-01  493.36
2002-01-01  501.81
2002-02-01  497.44
2002-03-01  503.26
2002-04-01  511.92
2002-05-01  511.34
2002-06-01  513.95
2002-07-01  488.22
2002-08-01  507.06
2002-09-01  511.68
2002-10-01  498.81
2002-11-01  507.76
2002-12-01  532.18
2003-01-01  517.58
2003-02-01  514.29
2003-03-01  518.09
2003-04-01  519.94
2003-05-01  514.95
2003-06-01  515.62
2003-07-01  508.52
2003-08-01  515.34
2003-09-01  529.85
2003-10-01  526.68
2003-11-01  534.09
2003-12-01  536.50
2004-01-01  530.93
2004-02-01  532.40
2004-03-01  538.68
2004-04-01  535.79
2004-05-01  545.40
2004-06-01  549.13
2004-07-01  537.99
2004-08-01  542.95
2004-09-01  552.40
2004-10-01  543.60
2004-11-01  541.60
2004-12-01  550.50
2005-01-01  534.76
2005-02-01  535.79
2005-03-01  537.81
2005-04-01  532.91
2005-05-01  536.18
2005-06-01  543.20
2005-07-01  526.24
2005-08-01  536.58
2005-09-01  541.84
2005-10-01  558.90
2005-11-01  572.87
2005-12-01  536.69
2006-01-01  532.93
2006-02-01  524.64
2006-03-01  534.06
2006-04-01  545.53
2006-05-01  546.39
2006-06-01  547.61
2006-07-01  532.32
2006-08-01  535.43
2006-09-01  554.97
2006-10-01  555.36
2006-11-01  557.03
2006-12-01  569.18
2007-01-01  564.48
2007-02-01  568.03
2007-03-01  573.21
2007-04-01  588.16
2007-05-01  593.08
2007-06-01  594.16
2007-07-01  593.60
2007-08-01  593.35
2007-09-01  604.67
2007-10-01  605.35
2007-11-01  610.78
2007-12-01  613.27
2008-01-01  610.04
2008-02-01  597.56
2008-03-01  606.80
2008-04-01  615.60
2008-05-01  604.30
2008-06-01  621.68
2008-07-01  604.10
2008-08-01  598.75
2008-09-01  604.04
2008-10-01  607.22
2008-11-01  606.84
2008-12-01  610.94
2009-01-01  605.91
2009-02-01  602.99
2009-03-01  599.31
2009-04-01  601.02
2009-05-01  600.62
2009-06-01  613.85
2009-07-01  611.91
2009-08-01  613.87
2009-09-01  615.44
2009-10-01  606.03
2009-11-01  617.25
2009-12-01  615.66
2010-01-01  624.31
2010-02-01  629.71
2010-03-01  616.80
2010-04-01  639.19
2010-05-01  631.34
2010-06-01  624.99
2010-07-01  607.02
2010-08-01  600.82
2010-09-01  605.05
2010-10-01  612.23
2010-11-01  608.03
2010-12-01  615.68
2011-01-01  608.59
2011-02-01  605.06
2011-03-01  606.14
2011-04-01  611.06
2011-05-01  609.35
2011-06-01  617.34
2011-07-01  614.03
2011-08-01  608.03
2011-09-01  624.42
2011-10-01  617.18
2011-11-01  625.08
2011-12-01  625.87
2012-01-01  634.68
2012-02-01  638.14
2012-03-01  640.10
2012-04-01  624.54
2012-05-01  614.28
2012-06-01  612.65
2012-07-01  610.72
2012-08-01  610.41
2012-09-01  632.10
2012-10-01  622.25
2012-11-01  627.07
2012-12-01  608.11
2013-01-01  622.25
2013-02-01  617.42
2013-03-01  620.20
2013-04-01  624.31
2013-05-01  631.60
2013-06-01  632.76
2013-07-01  618.82
2013-08-01  646.50
2013-09-01  644.79
2013-10-01  628.97
2013-11-01  648.22
2013-12-01  644.77
2014-01-01  626.82
2014-02-01  600.47
2014-03-01  662.89
2014-04-01  658.75
2014-05-01  657.08
2014-06-01  666.89
2014-07-01  664.03
2014-08-01  671.84
2014-09-01  686.78
2014-10-01  667.52
2014-11-01  693.53
2014-12-01  674.06
2015-01-01  679.11
2015-02-01  665.26
2015-03-01  680.95
2015-04-01  685.01
2015-05-01  690.03
2015-06-01  691.93
2015-07-01  668.45
2015-08-01  696.07
2015-09-01  709.16
2015-10-01  707.31
2015-11-01  709.59
2015-12-01  727.06
2016-01-01  693.88
2016-02-01  705.60
2016-03-01  705.93
2016-04-01  718.10
2016-05-01  706.31
2016-06-01  716.26
2016-07-01  700.28
2016-08-01  702.76
2016-09-01  704.25
2016-10-01  693.18
2016-11-01  714.38
2016-12-01  716.04
2017-01-01  676.10
2017-02-01  687.58
2017-03-01  696.26
2017-04-01  697.20
2017-05-01  693.39
2017-06-01  710.62
2017-07-01  699.68
2017-08-01  726.19
2017-09-01  727.10
2017-10-01  731.81
2017-11-01  731.02
2017-12-01  724.18
2018-01-01  730.25
2018-02-01  734.87
2018-03-01  729.25
2018-04-01  730.32
2018-05-01  737.45
2018-06-01  752.56
2018-07-01  733.38
2018-08-01  744.60
2018-09-01  713.44
2018-10-01  739.56
