Title:               Average Weekly Earnings of Production Employees: Manufacturing: Durable Goods in North Carolina
Series ID:           SMU37000003100000030
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2001-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2001-01-01  528.33
2001-02-01  521.38
2001-03-01  519.79
2001-04-01  509.21
2001-05-01  521.01
2001-06-01  526.16
2001-07-01  512.84
2001-08-01  532.13
2001-09-01  530.64
2001-10-01  526.62
2001-11-01  535.28
2001-12-01  548.57
2002-01-01  540.65
2002-02-01  544.07
2002-03-01  550.74
2002-04-01  553.23
2002-05-01  554.13
2002-06-01  570.06
2002-07-01  553.64
2002-08-01  578.56
2002-09-01  560.77
2002-10-01  545.92
2002-11-01  538.16
2002-12-01  569.38
2003-01-01  545.09
2003-02-01  550.44
2003-03-01  557.40
2003-04-01  548.02
2003-05-01  552.82
2003-06-01  565.60
2003-07-01  551.85
2003-08-01  571.05
2003-09-01  583.44
2003-10-01  579.11
2003-11-01  595.73
2003-12-01  607.11
2004-01-01  587.57
2004-02-01  589.33
2004-03-01  597.72
2004-04-01  603.45
2004-05-01  612.80
2004-06-01  614.28
2004-07-01  607.91
2004-08-01  621.92
2004-09-01  612.06
2004-10-01  612.00
2004-11-01  608.87
2004-12-01  617.46
2005-01-01  608.19
2005-02-01  600.59
2005-03-01  603.17
2005-04-01  607.65
2005-05-01  600.98
2005-06-01  604.09
2005-07-01  595.84
2005-08-01  598.90
2005-09-01  610.34
2005-10-01  618.26
2005-11-01  612.82
2005-12-01  615.50
2006-01-01  615.79
2006-02-01  595.36
2006-03-01  596.97
2006-04-01  581.73
2006-05-01  601.29
2006-06-01  601.14
2006-07-01  594.80
2006-08-01  620.17
2006-09-01  633.53
2006-10-01  647.56
2006-11-01  659.37
2006-12-01  669.05
2007-01-01  651.53
2007-02-01  654.23
2007-03-01  662.06
2007-04-01  648.37
2007-05-01  652.31
2007-06-01  658.59
2007-07-01  658.09
2007-08-01  663.55
2007-09-01  666.62
2007-10-01  659.43
2007-11-01  648.19
2007-12-01  667.12
2008-01-01  655.65
2008-02-01  640.83
2008-03-01  652.97
2008-04-01  636.14
2008-05-01  628.22
2008-06-01  648.65
2008-07-01  635.39
2008-08-01  653.02
2008-09-01  638.32
2008-10-01  640.25
2008-11-01  623.69
2008-12-01  635.20
2009-01-01  601.47
2009-02-01  603.44
2009-03-01  606.02
2009-04-01  612.03
2009-05-01  610.18
2009-06-01  622.05
2009-07-01  619.01
2009-08-01  627.78
2009-09-01  632.17
2009-10-01  639.52
2009-11-01  641.55
2009-12-01  658.10
2010-01-01  657.15
2010-02-01  655.84
2010-03-01  657.15
2010-04-01  654.65
2010-05-01  658.29
2010-06-01  661.23
2010-07-01  661.30
2010-08-01  659.15
2010-09-01  662.67
2010-10-01  680.19
2010-11-01  677.61
2010-12-01  688.43
2011-01-01  675.03
2011-02-01  674.56
2011-03-01  689.28
2011-04-01  690.80
2011-05-01  708.48
2011-06-01  730.58
2011-07-01  705.40
2011-08-01  704.38
2011-09-01  702.81
2011-10-01  727.08
2011-11-01  717.88
2011-12-01  744.97
2012-01-01  721.72
2012-02-01  713.15
2012-03-01  719.43
2012-04-01  744.98
2012-05-01  720.53
2012-06-01  729.53
2012-07-01  722.68
2012-08-01  722.52
2012-09-01  737.59
2012-10-01  728.36
2012-11-01  736.20
2012-12-01  771.12
2013-01-01  741.55
2013-02-01  738.16
2013-03-01  738.51
2013-04-01  750.49
2013-05-01  742.56
2013-06-01  746.70
2013-07-01  743.15
2013-08-01  746.70
2013-09-01  749.49
2013-10-01  749.07
2013-11-01  769.86
2013-12-01  803.52
2014-01-01  763.22
2014-02-01  713.30
2014-03-01  799.86
2014-04-01  794.31
2014-05-01  787.22
2014-06-01  788.93
2014-07-01  768.29
2014-08-01  774.86
2014-09-01  770.99
2014-10-01  771.49
2014-11-01  768.17
2014-12-01  772.85
2015-01-01  751.38
2015-02-01  742.85
2015-03-01  757.07
2015-04-01  755.99
2015-05-01  750.43
2015-06-01  740.70
2015-07-01  739.95
2015-08-01  736.38
2015-09-01  713.87
2015-10-01  734.44
2015-11-01  734.02
2015-12-01  754.96
2016-01-01  737.59
2016-02-01  726.74
2016-03-01  732.83
2016-04-01  758.25
2016-05-01  763.11
2016-06-01  739.39
2016-07-01  744.48
2016-08-01  751.82
2016-09-01  742.68
2016-10-01  758.27
2016-11-01  771.38
2016-12-01  786.25
2017-01-01  765.78
2017-02-01  777.88
2017-03-01  789.49
2017-04-01  768.92
2017-05-01  795.77
2017-06-01  789.91
2017-07-01  778.08
2017-08-01  778.13
2017-09-01  780.83
2017-10-01  785.63
2017-11-01  775.84
2017-12-01  769.39
2018-01-01  752.22
2018-02-01  778.09
2018-03-01  785.18
2018-04-01  796.22
2018-05-01  792.48
2018-06-01  804.75
2018-07-01  792.90
2018-08-01  813.43
2018-09-01  752.72
2018-10-01  804.53
