Title:               Average Weekly Earnings of All Employees: Leisure and Hospitality in North Carolina
Series ID:           SMU37000007000000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE         VALUE
2007-01-01  288.29
2007-02-01  292.72
2007-03-01  295.00
2007-04-01  299.47
2007-05-01  320.80
2007-06-01  301.32
2007-07-01  300.74
2007-08-01  296.86
2007-09-01  294.52
2007-10-01  296.31
2007-11-01  289.40
2007-12-01  297.36
2008-01-01  282.55
2008-02-01  297.44
2008-03-01  295.04
2008-04-01  303.10
2008-05-01  286.72
2008-06-01  290.68
2008-07-01  281.42
2008-08-01  296.70
2008-09-01  303.67
2008-10-01  301.20
2008-11-01  305.05
2008-12-01  303.53
2009-01-01  291.55
2009-02-01  313.88
2009-03-01  290.41
2009-04-01  311.39
2009-05-01  307.97
2009-06-01  307.76
2009-07-01  308.03
2009-08-01  311.32
2009-09-01  310.73
2009-10-01  312.18
2009-11-01  310.33
2009-12-01  307.84
2010-01-01  297.98
2010-02-01  306.13
2010-03-01  302.98
2010-04-01  308.09
2010-05-01  309.68
2010-06-01  304.71
2010-07-01  305.10
2010-08-01  310.42
2010-09-01  304.13
2010-10-01  301.74
2010-11-01  300.83
2010-12-01  297.61
2011-01-01  282.12
2011-02-01  296.14
2011-03-01  298.89
2011-04-01  303.80
2011-05-01  306.92
2011-06-01  305.83
2011-07-01  310.96
2011-08-01  315.72
2011-09-01  313.24
2011-10-01  325.34
2011-11-01  319.02
2011-12-01  324.54
2012-01-01  320.03
2012-02-01  323.09
2012-03-01  325.13
2012-04-01  323.34
2012-05-01  325.89
2012-06-01  328.96
2012-07-01  327.12
2012-08-01  326.13
2012-09-01  329.44
2012-10-01  329.69
2012-11-01  328.81
2012-12-01  335.53
2013-01-01  318.99
2013-02-01  330.48
2013-03-01  331.52
2013-04-01  327.66
2013-05-01  324.61
2013-06-01  326.86
2013-07-01  322.50
2013-08-01  322.28
2013-09-01  321.76
2013-10-01  322.79
2013-11-01  323.05
2013-12-01  322.56
2014-01-01  314.00
2014-02-01  305.65
2014-03-01  325.00
2014-04-01  321.16
2014-05-01  317.14
2014-06-01  321.47
2014-07-01  319.12
2014-08-01  327.18
2014-09-01  327.08
2014-10-01  326.30
2014-11-01  328.12
2014-12-01  328.90
2015-01-01  320.80
2015-02-01  320.69
2015-03-01  321.81
2015-04-01  321.88
2015-05-01  321.94
2015-06-01  322.07
2015-07-01  320.43
2015-08-01  328.07
2015-09-01  318.46
2015-10-01  323.33
2015-11-01  324.85
2015-12-01  329.73
2016-01-01  315.42
2016-02-01  324.10
2016-03-01  328.93
2016-04-01  329.47
2016-05-01  330.74
2016-06-01  330.72
2016-07-01  334.27
2016-08-01  336.67
2016-09-01  333.07
2016-10-01  337.48
2016-11-01  340.08
2016-12-01  336.93
2017-01-01  323.32
2017-02-01  331.53
2017-03-01  334.63
2017-04-01  340.86
2017-05-01  339.79
2017-06-01  345.58
2017-07-01  350.60
2017-08-01  348.48
2017-09-01  345.46
2017-10-01  353.74
2017-11-01  358.42
2017-12-01  354.92
2018-01-01  344.37
2018-02-01  361.05
2018-03-01  362.87
2018-04-01  367.29
2018-05-01  370.80
2018-06-01  370.14
2018-07-01  369.84
2018-08-01  374.07
2018-09-01  358.09
2018-10-01  376.54
