Title:               Average Hourly Earnings of All Employees: Construction in North Carolina
Series ID:           SMU37000002000000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
2007-01-01  18.09
2007-02-01  18.98
2007-03-01  18.55
2007-04-01  18.27
2007-05-01  18.27
2007-06-01  18.30
2007-07-01  18.50
2007-08-01  18.35
2007-09-01  18.59
2007-10-01  18.40
2007-11-01  18.39
2007-12-01  18.96
2008-01-01  17.97
2008-02-01  19.36
2008-03-01  19.41
2008-04-01  19.39
2008-05-01  19.48
2008-06-01  21.04
2008-07-01  18.85
2008-08-01  18.82
2008-09-01  19.30
2008-10-01  19.42
2008-11-01  19.80
2008-12-01  20.48
2009-01-01  20.42
2009-02-01  20.34
2009-03-01  20.48
2009-04-01  20.64
2009-05-01  20.51
2009-06-01  20.25
2009-07-01  19.99
2009-08-01  20.12
2009-09-01  20.22
2009-10-01  20.23
2009-11-01  20.56
2009-12-01  20.66
2010-01-01  20.64
2010-02-01  20.82
2010-03-01  20.51
2010-04-01  20.15
2010-05-01  19.64
2010-06-01  19.70
2010-07-01  19.91
2010-08-01  19.75
2010-09-01  19.69
2010-10-01  19.96
2010-11-01  19.88
2010-12-01  19.91
2011-01-01  20.17
2011-02-01  20.36
2011-03-01  20.36
2011-04-01  20.31
2011-05-01  20.43
2011-06-01  20.11
2011-07-01  20.14
2011-08-01  20.03
2011-09-01  20.05
2011-10-01  20.55
2011-11-01  20.77
2011-12-01  20.66
2012-01-01  20.49
2012-02-01  20.56
2012-03-01  20.46
2012-04-01  20.23
2012-05-01  20.29
2012-06-01  20.25
2012-07-01  20.63
2012-08-01  20.30
2012-09-01  20.53
2012-10-01  20.39
2012-11-01  20.84
2012-12-01  21.10
2013-01-01  21.14
2013-02-01  21.05
2013-03-01  20.89
2013-04-01  20.66
2013-05-01  20.70
2013-06-01  20.50
2013-07-01  20.35
2013-08-01  20.59
2013-09-01  20.59
2013-10-01  20.85
2013-11-01  20.64
2013-12-01  21.08
2014-01-01  20.66
2014-02-01  21.65
2014-03-01  20.94
2014-04-01  20.81
2014-05-01  20.68
2014-06-01  20.84
2014-07-01  21.13
2014-08-01  20.96
2014-09-01  21.29
2014-10-01  21.38
2014-11-01  21.24
2014-12-01  21.47
2015-01-01  22.33
2015-02-01  21.80
2015-03-01  21.71
2015-04-01  22.02
2015-05-01  21.73
2015-06-01  21.90
2015-07-01  21.69
2015-08-01  21.92
2015-09-01  22.23
2015-10-01  22.48
2015-11-01  22.74
2015-12-01  22.77
2016-01-01  22.38
2016-02-01  22.49
2016-03-01  22.25
2016-04-01  22.28
2016-05-01  22.53
2016-06-01  22.22
2016-07-01  21.76
2016-08-01  22.08
2016-09-01  22.18
2016-10-01  22.51
2016-11-01  22.10
2016-12-01  22.63
2017-01-01  23.00
2017-02-01  22.95
2017-03-01  23.03
2017-04-01  22.93
2017-05-01  22.88
2017-06-01  23.12
2017-07-01  23.54
2017-08-01  23.27
2017-09-01  23.81
2017-10-01  23.70
2017-11-01  23.68
2017-12-01  23.80
2018-01-01  24.11
2018-02-01  24.21
2018-03-01  24.07
2018-04-01  24.04
2018-05-01  24.30
2018-06-01  24.32
2018-07-01  24.36
2018-08-01  24.36
2018-09-01  24.72
2018-10-01  24.49
