Title:               Average Hourly Earnings of All Employees: Other Services in North Carolina
Series ID:           SMU37000008000000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
2007-01-01  16.68
2007-02-01  16.93
2007-03-01  16.38
2007-04-01  16.70
2007-05-01  16.30
2007-06-01  15.92
2007-07-01  16.03
2007-08-01  16.23
2007-09-01  16.63
2007-10-01  16.49
2007-11-01  16.76
2007-12-01  17.18
2008-01-01  16.90
2008-02-01  15.97
2008-03-01  15.81
2008-04-01  15.88
2008-05-01  15.69
2008-06-01  15.79
2008-07-01  15.56
2008-08-01  15.74
2008-09-01  16.31
2008-10-01  16.06
2008-11-01  16.57
2008-12-01  16.72
2009-01-01  16.50
2009-02-01  16.43
2009-03-01  16.30
2009-04-01  16.33
2009-05-01  16.38
2009-06-01  15.94
2009-07-01  15.92
2009-08-01  15.99
2009-09-01  16.01
2009-10-01  16.05
2009-11-01  16.16
2009-12-01  16.37
2010-01-01  16.19
2010-02-01  16.33
2010-03-01  16.43
2010-04-01  16.74
2010-05-01  17.07
2010-06-01  16.78
2010-07-01  16.48
2010-08-01  16.82
2010-09-01  16.71
2010-10-01  16.73
2010-11-01  16.70
2010-12-01  16.74
2011-01-01  16.64
2011-02-01  16.30
2011-03-01  16.15
2011-04-01  16.39
2011-05-01  16.95
2011-06-01  16.47
2011-07-01  16.45
2011-08-01  16.53
2011-09-01  16.90
2011-10-01  16.83
2011-11-01  16.58
2011-12-01  16.84
2012-01-01  17.09
2012-02-01  16.99
2012-03-01  17.08
2012-04-01  17.44
2012-05-01  17.11
2012-06-01  17.26
2012-07-01  17.14
2012-08-01  16.95
2012-09-01  17.25
2012-10-01  17.63
2012-11-01  17.25
2012-12-01  17.71
2013-01-01  18.17
2013-02-01  17.96
2013-03-01  17.90
2013-04-01  18.07
2013-05-01  17.97
2013-06-01  18.03
2013-07-01  17.91
2013-08-01  18.15
2013-09-01  18.10
2013-10-01  18.17
2013-11-01  17.82
2013-12-01  18.12
2014-01-01  17.90
2014-02-01  18.49
2014-03-01  17.89
2014-04-01  17.57
2014-05-01  17.76
2014-06-01  17.85
2014-07-01  17.65
2014-08-01  17.75
2014-09-01  18.26
2014-10-01  18.45
2014-11-01  18.56
2014-12-01  17.93
2015-01-01  18.52
2015-02-01  18.71
2015-03-01  18.76
2015-04-01  18.52
2015-05-01  18.89
2015-06-01  18.79
2015-07-01  18.75
2015-08-01  19.10
2015-09-01  19.08
2015-10-01  18.88
2015-11-01  19.50
2015-12-01  19.40
2016-01-01  19.68
2016-02-01  19.72
2016-03-01  19.65
2016-04-01  19.83
2016-05-01  20.19
2016-06-01  20.08
2016-07-01  19.93
2016-08-01  19.97
2016-09-01  20.40
2016-10-01  20.54
2016-11-01  20.83
2016-12-01  20.67
2017-01-01  21.49
2017-02-01  21.32
2017-03-01  22.03
2017-04-01  22.34
2017-05-01  22.08
2017-06-01  21.82
2017-07-01  22.03
2017-08-01  22.48
2017-09-01  23.13
2017-10-01  23.21
2017-11-01  23.52
2017-12-01  23.96
2018-01-01  23.42
2018-02-01  23.54
2018-03-01  23.84
2018-04-01  24.15
2018-05-01  24.01
2018-06-01  23.82
2018-07-01  24.24
2018-08-01  23.65
2018-09-01  27.90
2018-10-01  26.46
