Title:               Average Hourly Earnings of All Employees: Total Private in North Carolina
Series ID:           SMU37000000500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
2007-01-01  19.26
2007-02-01  19.43
2007-03-01  19.50
2007-04-01  19.40
2007-05-01  19.08
2007-06-01  19.01
2007-07-01  19.09
2007-08-01  18.81
2007-09-01  19.45
2007-10-01  19.22
2007-11-01  19.30
2007-12-01  19.49
2008-01-01  19.51
2008-02-01  19.47
2008-03-01  19.45
2008-04-01  20.05
2008-05-01  19.63
2008-06-01  19.83
2008-07-01  19.65
2008-08-01  19.85
2008-09-01  19.69
2008-10-01  20.35
2008-11-01  20.88
2008-12-01  20.68
2009-01-01  20.86
2009-02-01  20.71
2009-03-01  20.71
2009-04-01  20.61
2009-05-01  20.38
2009-06-01  20.46
2009-07-01  20.41
2009-08-01  20.47
2009-09-01  20.53
2009-10-01  20.56
2009-11-01  20.83
2009-12-01  20.68
2010-01-01  21.00
2010-02-01  21.05
2010-03-01  20.97
2010-04-01  20.79
2010-05-01  20.62
2010-06-01  20.32
2010-07-01  20.46
2010-08-01  20.48
2010-09-01  20.41
2010-10-01  20.45
2010-11-01  20.42
2010-12-01  20.54
2011-01-01  20.86
2011-02-01  20.75
2011-03-01  20.57
2011-04-01  20.67
2011-05-01  20.78
2011-06-01  20.60
2011-07-01  20.78
2011-08-01  20.78
2011-09-01  21.10
2011-10-01  21.38
2011-11-01  21.27
2011-12-01  21.35
2012-01-01  21.63
2012-02-01  21.63
2012-03-01  21.53
2012-04-01  21.77
2012-05-01  21.50
2012-06-01  21.67
2012-07-01  21.73
2012-08-01  21.56
2012-09-01  21.90
2012-10-01  21.64
2012-11-01  21.78
2012-12-01  22.10
2013-01-01  21.93
2013-02-01  21.85
2013-03-01  21.75
2013-04-01  21.63
2013-05-01  21.55
2013-06-01  21.67
2013-07-01  21.52
2013-08-01  21.51
2013-09-01  21.68
2013-10-01  21.55
2013-11-01  21.65
2013-12-01  21.85
2014-01-01  21.81
2014-02-01  22.46
2014-03-01  22.16
2014-04-01  21.69
2014-05-01  21.62
2014-06-01  21.71
2014-07-01  21.60
2014-08-01  21.63
2014-09-01  21.84
2014-10-01  21.77
2014-11-01  22.10
2014-12-01  21.82
2015-01-01  22.04
2015-02-01  22.35
2015-03-01  22.03
2015-04-01  22.04
2015-05-01  22.10
2015-06-01  22.03
2015-07-01  22.13
2015-08-01  22.54
2015-09-01  22.35
2015-10-01  22.48
2015-11-01  22.84
2015-12-01  22.66
2016-01-01  22.97
2016-02-01  23.18
2016-03-01  23.19
2016-04-01  23.24
2016-05-01  23.45
2016-06-01  23.30
2016-07-01  23.28
2016-08-01  23.45
2016-09-01  23.53
2016-10-01  23.84
2016-11-01  23.69
2016-12-01  23.62
2017-01-01  24.06
2017-02-01  23.98
2017-03-01  24.01
2017-04-01  24.33
2017-05-01  23.98
2017-06-01  23.77
2017-07-01  24.17
2017-08-01  23.97
2017-09-01  24.19
2017-10-01  24.47
2017-11-01  24.20
2017-12-01  24.28
2018-01-01  24.79
2018-02-01  24.87
2018-03-01  24.80
2018-04-01  25.04
2018-05-01  24.74
2018-06-01  24.56
2018-07-01  24.84
2018-08-01  24.73
2018-09-01  25.55
2018-10-01  25.20
