Title:               Average Weekly Earnings of All Employees: Trade, Transportation, and Utilities in North Carolina
Series ID:           SMU37000004000000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  594.9
2007-02-01  593.8
2007-03-01  587.4
2007-04-01  590.0
2007-05-01  594.8
2007-06-01  595.1
2007-07-01  597.8
2007-08-01  581.0
2007-09-01  616.3
2007-10-01  589.3
2007-11-01  597.5
2007-12-01  598.4
2008-01-01  595.9
2008-02-01  609.5
2008-03-01  620.8
2008-04-01  661.7
2008-05-01  645.2
2008-06-01  642.1
2008-07-01  696.9
2008-08-01  634.0
2008-09-01  639.4
2008-10-01  698.2
2008-11-01  699.1
2008-12-01  703.1
2009-01-01  694.8
2009-02-01  684.1
2009-03-01  683.2
2009-04-01  658.6
2009-05-01  669.5
2009-06-01  677.2
2009-07-01  668.9
2009-08-01  682.6
2009-09-01  677.3
2009-10-01  677.6
2009-11-01  672.7
2009-12-01  666.1
2010-01-01  682.2
2010-02-01  681.2
2010-03-01  688.5
2010-04-01  680.4
2010-05-01  679.5
2010-06-01  680.9
2010-07-01  677.7
2010-08-01  680.2
2010-09-01  664.7
2010-10-01  670.9
2010-11-01  671.6
2010-12-01  681.0
2011-01-01  678.5
2011-02-01  683.3
2011-03-01  667.8
2011-04-01  686.1
2011-05-01  696.3
2011-06-01  676.3
2011-07-01  679.2
2011-08-01  674.5
2011-09-01  678.2
2011-10-01  691.7
2011-11-01  681.8
2011-12-01  683.3
2012-01-01  697.9
2012-02-01  706.2
2012-03-01  704.8
2012-04-01  721.9
2012-05-01  717.4
2012-06-01  717.2
2012-07-01  724.8
2012-08-01  720.8
2012-09-01  729.3
2012-10-01  716.9
2012-11-01  723.8
2012-12-01  737.6
2013-01-01  715.5
2013-02-01  710.4
2013-03-01  716.9
2013-04-01  714.2
2013-05-01  716.4
2013-06-01  724.9
2013-07-01  722.5
2013-08-01  723.2
2013-09-01  729.5
2013-10-01  718.4
2013-11-01  720.1
2013-12-01  732.7
2014-01-01  727.9
2014-02-01  711.9
2014-03-01  762.9
2014-04-01  723.3
2014-05-01  725.4
2014-06-01  727.0
2014-07-01  711.9
2014-08-01  715.4
2014-09-01  712.8
2014-10-01  694.7
2014-11-01  711.1
2014-12-01  707.5
2015-01-01  705.5
2015-02-01  720.2
2015-03-01  702.4
2015-04-01  703.1
2015-05-01  704.3
2015-06-01  706.2
2015-07-01  711.5
2015-08-01  741.4
2015-09-01  726.3
2015-10-01  740.2
2015-11-01  734.3
2015-12-01  726.7
2016-01-01  729.5
2016-02-01  727.4
2016-03-01  739.6
2016-04-01  741.5
2016-05-01  755.1
2016-06-01  756.0
2016-07-01  759.4
2016-08-01  765.3
2016-09-01  758.4
2016-10-01  762.1
2016-11-01  765.2
2016-12-01  763.6
2017-01-01  768.4
2017-02-01  753.9
2017-03-01  770.9
2017-04-01  792.0
2017-05-01  775.5
2017-06-01  769.6
2017-07-01  783.1
2017-08-01  768.5
2017-09-01  777.0
2017-10-01  785.9
2017-11-01  767.2
2017-12-01  772.8
2018-01-01  823.3
2018-02-01  812.0
2018-03-01  804.2
2018-04-01  826.2
2018-05-01  804.1
2018-06-01  807.1
2018-07-01  807.7
2018-08-01  805.5
2018-09-01  810.9
2018-10-01  807.4
