Title:               Average Weekly Earnings of All Employees: Other Services in North Carolina
Series ID:           SMU37000008000000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  552.11
2007-02-01  560.38
2007-03-01  552.01
2007-04-01  554.44
2007-05-01  554.20
2007-06-01  549.24
2007-07-01  548.23
2007-08-01  525.85
2007-09-01  532.16
2007-10-01  516.14
2007-11-01  526.26
2007-12-01  534.30
2008-01-01  523.90
2008-02-01  448.76
2008-03-01  477.46
2008-04-01  482.75
2008-05-01  442.46
2008-06-01  461.07
2008-07-01  476.14
2008-08-01  436.00
2008-09-01  471.36
2008-10-01  481.80
2008-11-01  485.50
2008-12-01  479.86
2009-01-01  480.15
2009-02-01  486.33
2009-03-01  474.33
2009-04-01  478.47
2009-05-01  475.02
2009-06-01  460.67
2009-07-01  466.46
2009-08-01  471.71
2009-09-01  472.30
2009-10-01  473.48
2009-11-01  478.34
2009-12-01  482.92
2010-01-01  480.84
2010-02-01  494.80
2010-03-01  476.47
2010-04-01  487.13
2010-05-01  498.44
2010-06-01  501.72
2010-07-01  502.64
2010-08-01  507.96
2010-09-01  494.62
2010-10-01  498.55
2010-11-01  497.66
2010-12-01  497.18
2011-01-01  492.54
2011-02-01  500.41
2011-03-01  492.58
2011-04-01  501.53
2011-05-01  523.76
2011-06-01  503.98
2011-07-01  514.89
2011-08-01  517.39
2011-09-01  528.97
2011-10-01  523.41
2011-11-01  530.56
2011-12-01  535.51
2012-01-01  538.34
2012-02-01  526.69
2012-03-01  531.19
2012-04-01  549.36
2012-05-01  532.12
2012-06-01  531.61
2012-07-01  531.34
2012-08-01  515.28
2012-09-01  539.93
2012-10-01  546.53
2012-11-01  546.83
2012-12-01  568.49
2013-01-01  561.45
2013-02-01  558.56
2013-03-01  560.27
2013-04-01  554.75
2013-05-01  544.49
2013-06-01  564.34
2013-07-01  546.26
2013-08-01  559.02
2013-09-01  577.39
2013-10-01  561.45
2013-11-01  559.55
2013-12-01  558.10
2014-01-01  540.58
2014-02-01  532.51
2014-03-01  552.80
2014-04-01  542.91
2014-05-01  552.34
2014-06-01  555.14
2014-07-01  552.45
2014-08-01  555.58
2014-09-01  560.58
2014-10-01  570.11
2014-11-01  593.92
2014-12-01  561.21
2015-01-01  575.97
2015-02-01  585.62
2015-03-01  598.44
2015-04-01  568.56
2015-05-01  589.37
2015-06-01  578.73
2015-07-01  585.00
2015-08-01  599.74
2015-09-01  587.66
2015-10-01  577.73
2015-11-01  596.70
2015-12-01  580.06
2016-01-01  588.43
2016-02-01  581.74
2016-03-01  593.43
2016-04-01  610.76
2016-05-01  619.83
2016-06-01  614.45
2016-07-01  613.84
2016-08-01  615.08
2016-09-01  618.12
2016-10-01  622.36
2016-11-01  620.73
2016-12-01  624.23
2017-01-01  631.81
2017-02-01  648.13
2017-03-01  656.49
2017-04-01  690.31
2017-05-01  646.94
2017-06-01  648.05
2017-07-01  669.71
2017-08-01  669.90
2017-09-01  670.77
2017-10-01  687.02
2017-11-01  679.73
2017-12-01  692.44
2018-01-01  669.81
2018-02-01  689.72
2018-03-01  700.90
2018-04-01  736.58
2018-05-01  725.10
2018-06-01  726.51
2018-07-01  761.14
2018-08-01  733.15
2018-09-01  814.68
2018-10-01  801.74
