Title:               Insured Unemployment Rate in North Carolina
Series ID:           NCINSUREDUR
Source:              U.S. Employment and Training Administration
Release:             Unemployment Insurance Weekly Claims Report
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Saturday
Units:               Percent
Date Range:          1986-02-08 to 2018-12-22
Last Updated:        2019-01-10 8:11 AM CST
Notes:               

DATE        VALUE
1986-02-08   2.38
1986-02-15   2.53
1986-02-22   2.77
1986-03-01   2.23
1986-03-08   2.52
1986-03-15   2.59
1986-03-22   2.36
1986-03-29   2.11
1986-04-05  22.42
1986-04-12   2.26
1986-04-19   1.96
1986-04-26   1.83
1986-05-03   1.92
1986-05-10   1.86
1986-05-17   1.79
1986-05-24   1.68
1986-05-31   1.86
1986-06-07   1.75
1986-06-14   1.83
1986-06-21   1.58
1986-06-28   1.62
1986-07-05   1.87
1986-07-12   2.06
1986-07-19   1.88
1986-07-26   1.64
1986-08-02   1.64
1986-08-09   1.63
1986-08-16   1.62
1986-08-23   1.61
1986-08-30   1.38
1986-09-06   1.63
1986-09-13   1.44
1986-09-20   1.31
1986-09-27   1.29
1986-10-04   1.39
1986-10-11   1.36
1986-10-18   1.41
1986-10-25   1.43
1986-11-01   1.42
1986-11-08   1.45
1986-11-15   1.58
1986-11-22   1.32
1986-11-29   2.18
1986-12-06   2.06
1986-12-13   1.87
1986-12-20   1.07
1986-12-27   2.20
1987-01-03   3.45
1987-01-10   2.85
1987-01-17   2.79
1987-01-24   2.34
1987-01-31   2.48
1987-02-07   2.67
1987-02-14   1.90
1987-02-21   2.62
1987-02-28   2.47
1987-03-07   2.35
1987-03-14   2.24
1987-03-21   2.01
1987-03-28   1.85
1987-04-04   1.90
1987-04-11   1.69
1987-04-18   1.61
1987-04-25   1.64
1987-05-02      .
1987-05-09   1.48
1987-05-16   1.42
1987-05-23   1.27
1987-05-30   1.33
1987-06-06   1.24
1987-06-13   1.32
1987-06-20   1.23
1987-06-27   1.33
1987-07-04   1.43
1987-07-11   1.55
1987-07-18   1.42
1987-07-25   1.28
1987-08-01   1.23
1987-08-08   1.19
1987-08-15   1.21
1987-08-22   1.14
1987-08-29   1.11
1987-09-05   1.02
1987-09-12   1.09
1987-09-19   1.02
1987-09-26   1.02
1987-10-03   0.98
1987-10-10   0.96
1987-10-17   0.96
1987-10-24   0.93
1987-10-31   0.98
1987-11-07   0.92
1987-11-14   1.20
1987-11-21   0.87
1987-11-28   1.58
1987-12-05   1.39
1987-12-12   1.31
1987-12-19   1.03
1987-12-26   1.91
1988-01-02   1.81
1988-01-09   3.33
1988-01-16   2.44
1988-01-23   2.59
1988-01-30   2.25
1988-02-06   2.16
1988-02-13   1.47
1988-02-20   1.88
1988-02-27   1.74
1988-03-05   1.71
1988-03-12   1.60
1988-03-19   1.56
1988-03-26   1.28
1988-04-02   1.46
1988-04-09   1.34
1988-04-16   1.37
1988-04-23   1.18
1988-04-30   1.33
1988-05-07   1.17
1988-05-14   1.20
1988-05-21   1.20
1988-05-28   1.11
1988-06-04   1.24
1988-06-11   1.34
1988-06-18   1.10
1988-06-25   1.11
1988-07-02   1.24
1988-07-09   1.54
1988-07-16   1.82
1988-07-23   1.24
1988-07-30   1.16
1988-08-06   1.35
1988-08-13   1.14
1988-08-20   1.13
1988-08-27   1.08
1988-09-03   1.07
1988-09-10   1.15
1988-09-17   1.19
1988-09-24   0.96
1988-10-01   1.01
1988-10-08   0.95
1988-10-15   1.00
1988-10-22   0.98
1988-10-29   1.00
1988-11-05   0.84
1988-11-12   1.22
1988-11-19   0.87
1988-11-26   1.77
1988-12-03   1.34
1988-12-10   1.49
1988-12-17   1.18
1988-12-24   1.57
1988-12-31   2.74
1989-01-07   2.46
1989-01-14   2.00
1989-01-21   1.84
1989-01-28   1.63
1989-02-04   1.59
1989-02-11   1.65
1989-02-18   1.49
1989-02-25   2.07
1989-03-04   2.12
1989-03-11   2.11
1989-03-18   1.45
1989-03-25   1.85
1989-04-01   1.72
1989-04-08   1.44
1989-04-15   1.43
1989-04-22   1.24
1989-04-29   1.28
1989-05-06   1.30
1989-05-13   1.27
1989-05-20   1.19
1989-05-27   1.15
1989-06-03   1.26
1989-06-10   1.17
1989-06-17   1.16
1989-06-24   1.19
1989-07-01   1.14
1989-07-08   1.69
1989-07-15   1.50
1989-07-22   1.25
1989-07-29   1.21
1989-08-05   1.19
1989-08-12   1.21
1989-08-19   1.16
1989-08-26   1.13
1989-09-02   1.03
1989-09-09   1.21
1989-09-16   1.05
1989-09-23   1.06
1989-09-30   1.19
1989-10-07   1.07
1989-10-14   1.14
1989-10-21   1.09
1989-10-28   1.27
1989-11-04   0.98
1989-11-11   1.28
1989-11-18   0.94
1989-11-25   1.83
1989-12-02   1.51
1989-12-09   1.47
1989-12-16   1.64
1989-12-23   1.64
1989-12-30   2.86
1990-01-06   3.28
1990-01-13   2.28
1990-01-20   2.01
1990-01-27   1.86
1990-02-03   1.96
1990-02-10   1.83
1990-02-17   1.92
1990-02-24   1.90
1990-03-03   1.93
1990-03-10   1.85
1990-03-17   1.80
1990-03-24   1.68
1990-03-31   1.77
1990-04-07   1.44
1990-04-14   1.84
1990-04-21   1.70
1990-04-28   1.54
1990-05-05   1.59
1990-05-12   1.50
1990-05-19   1.46
1990-05-26   1.38
1990-06-02   1.70
1990-06-09   1.53
1990-06-16   1.43
1990-06-23   1.44
1990-06-30   1.70
1990-07-07   2.02
1990-07-14   2.01
1990-07-21   1.76
1990-07-28   1.47
1990-08-04   1.58
1990-08-11   1.63
1990-08-18   1.49
1990-08-25   1.55
1990-09-01   1.41
1990-09-08   1.72
1990-09-15   1.53
1990-09-22   1.54
1990-09-29   1.65
1990-10-06   1.53
1990-10-13   1.93
1990-10-20   1.80
1990-10-27   2.02
1990-11-03   2.20
1990-11-10   1.99
1990-11-17   1.61
1990-11-24   3.40
1990-12-01   2.75
1990-12-08   2.51
1990-12-15   2.53
1990-12-22   2.70
1990-12-29   3.94
1991-01-05   5.27
1991-01-12   4.07
1991-01-19   3.28
1991-01-26   3.42
1991-02-02   3.56
1991-02-09   3.49
1991-02-16   3.38
1991-02-23   3.64
1991-03-02   3.48
1991-03-09   3.61
1991-03-16   3.50
1991-03-23   3.00
1991-03-30   3.58
1991-04-06   3.27
1991-04-13   2.93
1991-04-20   2.84
1991-04-27   2.64
1991-05-04   2.80
1991-05-11   2.59
1991-05-18   2.45
1991-05-25   2.48
1991-06-01   2.58
1991-06-08   2.42
1991-06-15   2.35
1991-06-22   2.21
1991-06-29   2.15
1991-07-06   2.82
1991-07-13   2.68
1991-07-20   2.39
1991-07-27   2.15
1991-08-03   2.21
1991-08-10   2.15
1991-08-17   2.12
1991-08-24   1.99
1991-08-31   1.93
1991-09-07   2.01
1991-09-14   1.89
1991-09-21   1.79
1991-09-28   1.86
1991-10-05   1.85
1991-10-12   1.81
1991-10-19   1.87
1991-10-26   1.88
1991-11-02   1.90
1991-11-09   1.92
1991-11-16   2.06
1991-11-23   1.90
1991-11-30   2.56
1991-12-07   2.37
1991-12-14   2.30
1991-12-21   2.11
1991-12-28   3.62
1992-01-04   4.87
1992-01-11   3.66
1992-01-18   2.90
1992-01-25   2.96
1992-02-01   2.91
1992-02-08   2.82
1992-02-15   2.75
1992-02-22   2.82
1992-02-29   2.78
1992-03-07   2.69
1992-03-14   2.59
1992-03-21   2.50
1992-03-28   2.44
1992-04-04   2.39
1992-04-11   2.14
1992-04-18   2.20
1992-04-25   2.34
1992-05-02   2.05
1992-05-09   2.10
1992-05-16   1.96
1992-05-23   1.82
1992-05-30   1.92
1992-06-06   1.82
1992-06-13   1.94
1992-06-20   1.79
1992-06-27   1.72
1992-07-04   2.17
1992-07-11   2.25
1992-07-18   1.89
1992-07-25   1.75
1992-08-01   1.75
1992-08-08   1.62
1992-08-15   1.62
1992-08-22   1.65
1992-08-29   1.57
1992-09-05   1.53
1992-09-12   1.61
1992-09-19   1.47
1992-09-26   1.45
1992-10-03   1.23
1992-10-10   1.24
