Title:               State Government Tax Collections, Insurance Premiums - Selective Sales Taxes in North Carolina
Series ID:           NCINSURTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1942-01-01    2112
1943-01-01       .
1944-01-01    2283
1945-01-01       .
1946-01-01    2739
1947-01-01       .
1948-01-01    4169
1949-01-01       .
1950-01-01    5141
1951-01-01    5671
1952-01-01    6199
1953-01-01    6811
1954-01-01    7648
1955-01-01    7985
1956-01-01    9232
1957-01-01    9756
1958-01-01   10427
1959-01-01   11452
1960-01-01   12886
1961-01-01   13646
1962-01-01   14585
1963-01-01   16063
1964-01-01   17003
1965-01-01   18029
1966-01-01   19614
1967-01-01   21568
1968-01-01   23455
1969-01-01   26275
1970-01-01   29149
1971-01-01   31912
1972-01-01   35481
1973-01-01   40340
1974-01-01   44224
1975-01-01   47815
1976-01-01   54477
1977-01-01   56387
1978-01-01   63831
1979-01-01   71233
1980-01-01   80496
1981-01-01   86531
1982-01-01   93239
1983-01-01   98722
1984-01-01  105888
1985-01-01  115030
1986-01-01  135000
1987-01-01  139941
1988-01-01  186833
1989-01-01  187502
1990-01-01  178219
1991-01-01  191063
1992-01-01  202157
1993-01-01  201834
1994-01-01  225408
1995-01-01  226894
1996-01-01  231046
1997-01-01  247233
1998-01-01  283828
1999-01-01  291202
2000-01-01  279204
2001-01-01  311986
2002-01-01  348113
2003-01-01  417165
2004-01-01  432975
2005-01-01  442228
2006-01-01  442301
2007-01-01  487119
2008-01-01  506003
2009-01-01  506452
2010-01-01  507038
2011-01-01  501060
2012-01-01  479756
2013-01-01  542551
2014-01-01  476376
2015-01-01  529936
2016-01-01  503407
2017-01-01  517095
