Title:               Return on Average Equity for Banks in North Carolina
Series ID:           NCROE
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly, End of Period
Units:               Percent
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series is a ratio of Net Income call item RIAD4340 to Average of
                     Total Equity Capital call item RCFD3210.
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     Data are annualized.
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE        VALUE
1984-01-01  17.51
1984-04-01  17.19
1984-07-01  17.91
1984-10-01  17.78
1985-01-01  19.36
1985-04-01  17.75
1985-07-01  18.48
1985-10-01  19.45
1986-01-01  20.42
1986-04-01  19.93
1986-07-01  19.67
1986-10-01  20.01
1987-01-01  18.97
1987-04-01  16.67
1987-07-01  17.02
1987-10-01  16.06
1988-01-01  18.56
1988-04-01  17.67
1988-07-01  17.48
1988-10-01  17.40
1989-01-01  17.33
1989-04-01  17.56
1989-07-01  17.28
1989-10-01  16.58
1990-01-01  16.22
1990-04-01  14.64
1990-07-01  13.49
1990-10-01  14.49
1991-01-01  13.74
1991-04-01  12.59
1991-07-01  11.81
1991-10-01  11.45
1992-01-01  17.72
1992-04-01  15.63
1992-07-01  16.14
1992-10-01  15.96
1993-01-01  18.00
1993-04-01  18.00
1993-07-01  17.69
1993-10-01  17.33
1994-01-01  15.94
1994-04-01  15.94
1994-07-01  15.75
1994-10-01  15.20
1995-01-01  10.78
1995-04-01  12.34
1995-07-01  17.47
1995-10-01  17.02
1996-01-01  12.86
1996-04-01  14.28
1996-07-01  14.23
1996-10-01  15.37
1997-01-01  16.80
1997-04-01  24.36
1997-07-01  21.26
1997-10-01  17.96
1998-01-01  16.55
1998-04-01  15.37
1998-07-01  15.77
1998-10-01  17.37
1999-01-01  13.34
1999-04-01  13.63
1999-07-01  18.66
1999-10-01  17.74
2000-01-01  16.54
2000-04-01   8.17
2000-07-01  10.19
2000-10-01  10.57
2001-01-01  12.80
2001-04-01  13.45
2001-07-01   9.65
2001-10-01  11.25
2002-01-01  14.63
2002-04-01  16.81
2002-07-01  16.06
2002-10-01  15.35
2003-01-01  14.74
2003-04-01  15.11
2003-07-01  15.75
2003-10-01  15.82
2004-01-01  15.85
2004-04-01  16.67
2004-07-01  17.47
2004-10-01  16.92
2005-01-01  18.85
2005-04-01  18.72
2005-07-01  16.60
2005-10-01  15.72
2006-01-01  13.05
2006-04-01  13.37
2006-07-01  13.78
2006-10-01  13.76
2007-01-01  12.92
2007-04-01  13.30
2007-07-01  12.06
2007-10-01   9.66
2008-01-01   2.62
2008-04-01   2.59
2008-07-01   2.96
2008-10-01   2.72
2009-01-01   6.83
2009-04-01   5.82
2009-07-01   4.26
2009-10-01   4.02
2010-01-01   2.89
2010-04-01   2.89
2010-07-01   4.33
2010-10-01   4.67
2011-01-01   5.27
2011-04-01   4.08
2011-07-01   4.92
2011-10-01   5.07
2012-01-01   7.25
2012-04-01   7.82
2012-07-01   7.44
2012-10-01   7.01
2013-01-01  10.78
2013-04-01   9.81
2013-07-01   9.31
2013-10-01   9.05
2014-01-01   6.80
2014-04-01   7.00
2014-07-01   7.01
2014-10-01   9.22
2015-01-01   8.29
2015-04-01   9.31
2015-07-01   9.19
2015-10-01   9.27
2016-01-01   7.37
2016-04-01   7.89
2016-07-01   9.27
2016-10-01   9.27
2017-01-01   9.04
2017-04-01  10.32
2017-07-01  10.24
2017-10-01  10.02
2018-01-01  12.70
2018-04-01  13.19
2018-07-01  13.56
