Title:               Unemployed: Job Losers for North Carolina
Series ID:           JOBLOSNC
Source:              U.S. Bureau of Labor Statistics
Release:             Alternative Measures of Labor Underutilization for States
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Persons, 4-Quarter Moving Average
Date Range:          2003-10-01 to 2018-01-01
Last Updated:        2018-04-27 10:31 AM CDT
Notes:               

DATE         VALUE
2003-10-01  155300
2004-01-01  149000
2004-04-01  134900
2004-07-01  122800
2004-10-01  116000
2005-01-01  110900
2005-04-01  107200
2005-07-01  110400
2005-10-01  103400
2006-01-01   89900
2006-04-01   89500
2006-07-01   86300
2006-10-01   90700
2007-01-01  100900
2007-04-01  105800
2007-07-01  107600
2007-10-01  106400
2008-01-01  111600
2008-04-01  114100
2008-07-01  123700
2008-10-01  150100
2009-01-01  192300
2009-04-01  235200
2009-07-01  269900
2009-10-01  295900
2010-01-01  299300
2010-04-01  298200
2010-07-01  301800
2010-10-01  296100
2011-01-01  293000
2011-04-01  298100
2011-07-01  298600
2011-10-01  292100
2012-01-01  284000
2012-04-01  262400
2012-07-01  241600
2012-10-01  235500
2013-01-01  230600
2013-04-01  227100
2013-07-01  218100
2013-10-01  199400
2014-01-01  177100
2014-04-01  160800
2014-07-01  148000
2014-10-01  129100
2015-01-01  120900
2015-04-01  117400
2015-07-01  116300
2015-10-01  123100
2016-01-01  119500
2016-04-01  109900
2016-07-01  104900
2016-10-01  106300
2017-01-01  108500
2017-04-01  107600
2017-07-01  105200
2017-10-01  105700
2018-01-01  102000
