Title:               Coincident Economic Activity Index for North Carolina
Series ID:           NCPHCI
Source:              Federal Reserve Bank of Philadelphia
Release:             State Coincident Indexes
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Index 2007=100
Date Range:          1979-01-01 to 2018-11-01
Last Updated:        2018-12-27 9:41 AM CST
Notes:               The Coincident Economic Activity Index includes four indicators:
                     nonfarm payroll employment, the unemployment rate, average hours
                     worked in manufacturing and wages and salaries. The trend for each
                     state's index is set to match the trend for gross state product. 

DATE         VALUE
1979-01-01   40.78
1979-02-01   40.82
1979-03-01   40.99
1979-04-01   41.10
1979-05-01   41.25
1979-06-01   41.41
1979-07-01   41.50
1979-08-01   41.56
1979-09-01   41.61
1979-10-01   41.64
1979-11-01   41.73
1979-12-01   41.81
1980-01-01   41.88
1980-02-01   41.87
1980-03-01   41.80
1980-04-01   41.76
1980-05-01   41.69
1980-06-01   41.54
1980-07-01   41.42
1980-08-01   41.54
1980-09-01   41.71
1980-10-01   41.89
1980-11-01   42.05
1980-12-01   42.19
1981-01-01   42.31
1981-02-01   42.43
1981-03-01   42.54
1981-04-01   42.63
1981-05-01   42.79
1981-06-01   42.94
1981-07-01   43.03
1981-08-01   43.07
1981-09-01   43.12
1981-10-01   43.16
1981-11-01   43.19
1981-12-01   43.16
1982-01-01   43.08
1982-02-01   43.15
1982-03-01   43.12
1982-04-01   43.16
1982-05-01   43.21
1982-06-01   43.20
1982-07-01   43.21
1982-08-01   43.28
1982-09-01   43.32
1982-10-01   43.30
1982-11-01   43.32
1982-12-01   43.43
1983-01-01   43.51
1983-02-01   43.65
1983-03-01   43.87
1983-04-01   44.15
1983-05-01   44.40
1983-06-01   44.74
1983-07-01   45.07
1983-08-01   45.25
1983-09-01   45.63
1983-10-01   45.96
1983-11-01   46.24
1983-12-01   46.57
1984-01-01   46.90
1984-02-01   47.17
1984-03-01   47.45
1984-04-01   47.62
1984-05-01   47.76
1984-06-01   47.91
1984-07-01   48.04
1984-08-01   48.19
1984-09-01   48.33
1984-10-01   48.45
1984-11-01   48.64
1984-12-01   48.84
1985-01-01   49.07
1985-02-01   49.27
1985-03-01   49.51
1985-04-01   49.72
1985-05-01   49.90
1985-06-01   50.04
1985-07-01   50.16
1985-08-01   50.38
1985-09-01   50.62
1985-10-01   50.93
1985-11-01   51.15
1985-12-01   51.34
1986-01-01   51.46
1986-02-01   51.55
1986-03-01   51.64
1986-04-01   51.77
1986-05-01   51.93
1986-06-01   52.12
1986-07-01   52.30
1986-08-01   52.54
1986-09-01   52.66
1986-10-01   52.87
1986-11-01   53.09
1986-12-01   53.30
1987-01-01   53.59
1987-02-01   53.74
1987-03-01   54.01
1987-04-01   54.28
1987-05-01   54.52
1987-06-01   54.74
1987-07-01   54.96
1987-08-01   55.15
1987-09-01   55.29
1987-10-01   55.55
1987-11-01   55.78
1987-12-01   55.97
1988-01-01   56.16
1988-02-01   56.53
1988-03-01   56.76
1988-04-01   57.01
1988-05-01   57.21
1988-06-01   57.41
1988-07-01   57.69
1988-08-01   57.85
1988-09-01   58.02
1988-10-01   58.08
1988-11-01   58.28
1988-12-01   58.48
1989-01-01   58.66
1989-02-01   58.84
1989-03-01   59.01
1989-04-01   59.16
1989-05-01   59.31
1989-06-01   59.49
1989-07-01   59.61
1989-08-01   59.76
1989-09-01   59.91
1989-10-01   60.05
1989-11-01   60.26
1989-12-01   60.44
1990-01-01   60.72
1990-02-01   60.89
1990-03-01   61.03
1990-04-01   61.09
1990-05-01   61.14
1990-06-01   61.18
1990-07-01   61.22
1990-08-01   61.13
1990-09-01   61.15
1990-10-01   60.98
1990-11-01   61.03
1990-12-01   60.89
1991-01-01   60.86
1991-02-01   60.79
1991-03-01   60.71
1991-04-01   60.78
1991-05-01   60.81
1991-06-01   60.90
1991-07-01   61.10
1991-08-01   61.22
1991-09-01   61.40
1991-10-01   61.59
1991-11-01   61.68
1991-12-01   61.77
1992-01-01   61.97
1992-02-01   62.11
1992-03-01   62.30
1992-04-01   62.48
1992-05-01   62.71
1992-06-01   62.92
1992-07-01   63.05
1992-08-01   63.24
1992-09-01   63.46
1992-10-01   63.65
1992-11-01   63.88
1992-12-01   64.11
1993-01-01   64.40
1993-02-01   64.67
1993-03-01   64.76
1993-04-01   65.06
1993-05-01   65.33
1993-06-01   65.60
1993-07-01   65.97
1993-08-01   66.17
1993-09-01   66.46
1993-10-01   66.69
1993-11-01   66.94
1993-12-01   67.19
1994-01-01   67.36
1994-02-01   67.54
1994-03-01   67.80
1994-04-01   68.01
1994-05-01   68.20
1994-06-01   68.49
1994-07-01   68.69
1994-08-01   68.85
1994-09-01   69.16
1994-10-01   69.37
