Title:               Resident Population in Pitt County, NC
Series ID:           NCPITT7POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   73.900
1971-01-01   75.300
1972-01-01   75.000
1973-01-01   75.800
1974-01-01   76.000
1975-01-01   78.900
1976-01-01   80.100
1977-01-01   80.900
1978-01-01   82.000
1979-01-01   82.800
1980-01-01   90.146
1981-01-01   92.047
1982-01-01   93.400
1983-01-01   94.750
1984-01-01   96.164
1985-01-01   97.730
1986-01-01   99.626
1987-01-01  102.001
1988-01-01  104.306
1989-01-01  106.474
1990-01-01  109.054
1991-01-01  111.965
1992-01-01  114.318
1993-01-01  116.728
1994-01-01  119.694
1995-01-01  122.525
1996-01-01  124.861
1997-01-01  127.812
1998-01-01  130.519
1999-01-01  132.554
2000-01-01  134.189
2001-01-01  135.887
2002-01-01  137.770
2003-01-01  139.556
2004-01-01  141.669
2005-01-01  144.311
2006-01-01  148.453
2007-01-01  152.213
2008-01-01  156.019
2009-01-01  158.643
2010-01-01  168.843
2011-01-01  170.806
2012-01-01  173.023
2013-01-01  174.434
2014-01-01  175.079
2015-01-01  176.237
2016-01-01  177.627
2017-01-01  179.042
