Title:               Resident Population in Person County, NC
Series ID:           NCPERS5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  25.914
1971-01-01  26.400
1972-01-01  27.200
1973-01-01  27.500
1974-01-01  27.600
1975-01-01  27.400
1976-01-01  27.700
1977-01-01  28.000
1978-01-01  28.300
1979-01-01  28.800
1980-01-01  29.164
1981-01-01  29.158
1982-01-01  29.356
1983-01-01  29.312
1984-01-01  29.397
1985-01-01  29.468
1986-01-01  29.700
1987-01-01  29.876
1988-01-01  30.143
1989-01-01  30.071
1990-01-01  30.314
1991-01-01  30.846
1992-01-01  31.211
1993-01-01  31.734
1994-01-01  32.091
1995-01-01  32.950
1996-01-01  33.533
1997-01-01  34.159
1998-01-01  34.772
1999-01-01  35.155
2000-01-01  35.697
2001-01-01  35.844
2002-01-01  36.325
2003-01-01  36.491
2004-01-01  36.577
2005-01-01  36.912
2006-01-01  37.024
2007-01-01  37.260
2008-01-01  37.439
2009-01-01  37.572
2010-01-01  39.406
2011-01-01  39.512
2012-01-01  39.176
2013-01-01  39.240
2014-01-01  39.117
2015-01-01  39.191
2016-01-01  39.283
2017-01-01  39.370
