Title:               Real Gross Domestic Product by Industry: Private Industries for North Carolina
Series ID:           NCPIRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE           VALUE
2005-01-01  345895.0
2005-04-01  346545.1
2005-07-01  350287.0
2005-10-01  353955.1
2006-01-01  370376.2
2006-04-01  373154.2
2006-07-01  372203.7
2006-10-01  375248.1
2007-01-01  376497.0
2007-04-01  373247.0
2007-07-01  372007.1
2007-10-01  376488.7
2008-01-01  385181.8
2008-04-01  388146.2
2008-07-01  384014.9
2008-10-01  373024.4
2009-01-01  353945.8
2009-04-01  358878.3
2009-07-01  365163.9
2009-10-01  371678.9
2010-01-01  363752.3
2010-04-01  366304.7
2010-07-01  368275.5
2010-10-01  374665.9
2011-01-01  372184.1
2011-04-01  377290.0
2011-07-01  372842.4
2011-10-01  374438.3
2012-01-01  379918.5
2012-04-01  375457.1
2012-07-01  376830.7
2012-10-01  373724.3
2013-01-01  379171.6
2013-04-01  380340.6
2013-07-01  385946.6
2013-10-01  387851.9
2014-01-01  388195.5
2014-04-01  389664.7
2014-07-01  394492.8
2014-10-01  395994.6
2015-01-01  403496.7
2015-04-01  407725.9
2015-07-01  406808.4
2015-10-01  403986.4
2016-01-01  408381.4
2016-04-01  408714.7
2016-07-01  409186.6
2016-10-01  413827.1
2017-01-01  417259.8
2017-04-01  419860.4
2017-07-01  422067.8
2017-10-01  425992.8
2018-01-01  428309.7
2018-04-01  432159.6
