Title:               All-Transactions House Price Index for Fayetteville, NC (MSA)
Series ID:           ATNHPIUS22180Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1987-04-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1987-04-01   77.13
1987-07-01   78.12
1987-10-01   77.35
1988-01-01   75.53
1988-04-01   78.87
1988-07-01   79.82
1988-10-01   81.08
1989-01-01   80.87
1989-04-01   81.27
1989-07-01   83.12
1989-10-01   83.91
1990-01-01   82.81
1990-04-01   83.35
1990-07-01   83.48
1990-10-01   86.70
1991-01-01   85.42
1991-04-01   86.83
1991-07-01   83.89
1991-10-01   88.61
1992-01-01   87.64
1992-04-01   87.59
1992-07-01   90.60
1992-10-01   91.54
1993-01-01   92.62
1993-04-01   92.62
1993-07-01   93.94
1993-10-01   94.25
1994-01-01   95.78
1994-04-01   97.60
1994-07-01   97.86
1994-10-01   96.34
1995-01-01  100.00
1995-04-01  100.24
1995-07-01  101.54
1995-10-01  102.11
1996-01-01  103.91
1996-04-01  104.47
1996-07-01  105.21
1996-10-01  103.33
1997-01-01  104.44
1997-04-01  106.04
1997-07-01  106.98
1997-10-01  108.37
1998-01-01  109.58
1998-04-01  108.22
1998-07-01  109.61
1998-10-01  109.83
1999-01-01  109.89
1999-04-01  110.23
1999-07-01  109.96
1999-10-01  108.23
2000-01-01  109.76
2000-04-01  110.07
2000-07-01  111.01
2000-10-01  112.06
2001-01-01  115.14
2001-04-01  115.24
2001-07-01  114.90
2001-10-01  116.63
2002-01-01  117.36
2002-04-01  116.96
2002-07-01  118.47
2002-10-01  118.57
2003-01-01  119.13
2003-04-01  119.67
2003-07-01  120.24
2003-10-01  120.06
2004-01-01  122.90
2004-04-01  122.99
2004-07-01  123.67
2004-10-01  126.91
2005-01-01  129.47
2005-04-01  129.55
2005-07-01  132.34
2005-10-01  135.07
2006-01-01  135.19
2006-04-01  140.49
2006-07-01  141.29
2006-10-01  144.86
2007-01-01  146.20
2007-04-01  146.88
2007-07-01  148.63
2007-10-01  147.78
2008-01-01  148.88
2008-04-01  151.63
2008-07-01  152.37
2008-10-01  152.16
2009-01-01  152.17
2009-04-01  151.93
2009-07-01  152.48
2009-10-01  151.71
2010-01-01  151.15
2010-04-01  152.36
2010-07-01  152.82
2010-10-01  152.70
2011-01-01  152.63
2011-04-01  152.28
2011-07-01  151.21
2011-10-01  151.79
2012-01-01  148.08
2012-04-01  148.48
2012-07-01  147.45
2012-10-01  150.77
2013-01-01  146.92
2013-04-01  146.50
2013-07-01  142.74
2013-10-01  146.48
2014-01-01  142.68
2014-04-01  143.86
2014-07-01  146.31
2014-10-01  143.78
2015-01-01  146.54
2015-04-01  141.38
2015-07-01     143
2015-10-01  144.45
2016-01-01  140.21
2016-04-01  147.74
2016-07-01  146.20
2016-10-01  147.09
2017-01-01  142.90
2017-04-01  148.47
2017-07-01  143.27
2017-10-01  146.60
2018-01-01  148.46
2018-04-01  147.71
2018-07-01  146.21
