Title:               All-Transactions House Price Index for Raleigh, NC (MSA)
Series ID:           ATNHPIUS39580Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1977-10-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1977-10-01   39.06
1978-01-01   39.87
1978-04-01   40.32
1978-07-01   41.06
1978-10-01   43.36
1979-01-01   44.56
1979-04-01   46.18
1979-07-01   46.37
1979-10-01   48.30
1980-01-01   49.48
1980-04-01   49.04
1980-07-01   50.28
1980-10-01   52.38
1981-01-01   56.99
1981-04-01   53.85
1981-07-01   53.67
1981-10-01   50.75
1982-01-01   54.04
1982-04-01   56.12
1982-07-01   55.13
1982-10-01   57.32
1983-01-01   56.57
1983-04-01   56.19
1983-07-01   58.49
1983-10-01   59.31
1984-01-01   61.46
1984-04-01   63.51
1984-07-01   64.90
1984-10-01   66.78
1985-01-01   68.03
1985-04-01   70.74
1985-07-01   72.22
1985-10-01   73.06
1986-01-01   75.21
1986-04-01   76.06
1986-07-01   76.92
1986-10-01   77.66
1987-01-01   78.32
1987-04-01   78.62
1987-07-01   78.89
1987-10-01   78.47
1988-01-01   78.99
1988-04-01   80.33
1988-07-01   80.60
1988-10-01   80.79
1989-01-01   81.34
1989-04-01   81.13
1989-07-01   82.24
1989-10-01   81.68
1990-01-01   83.02
1990-04-01   82.61
1990-07-01   83.09
1990-10-01   83.09
1991-01-01   83.15
1991-04-01   83.55
1991-07-01   84.11
1991-10-01   85.25
1992-01-01   85.23
1992-04-01   86.05
1992-07-01   86.71
1992-10-01   87.03
1993-01-01   87.41
1993-04-01   88.62
1993-07-01   89.71
1993-10-01   90.32
1994-01-01   92.50
1994-04-01   95.23
1994-07-01   97.30
1994-10-01   99.36
1995-01-01  100.00
1995-04-01  101.52
1995-07-01  102.74
1995-10-01  103.69
1996-01-01  105.02
1996-04-01  105.74
1996-07-01  106.47
1996-10-01  106.87
1997-01-01  108.09
1997-04-01  109.37
1997-07-01  110.73
1997-10-01  112.35
1998-01-01  112.94
1998-04-01  113.94
1998-07-01  115.57
1998-10-01  116.52
1999-01-01  117.49
1999-04-01  119.20
1999-07-01  119.65
1999-10-01  121.03
2000-01-01  121.59
2000-04-01  122.35
2000-07-01  123.89
2000-10-01  125.03
2001-01-01  127.27
2001-04-01  128.39
2001-07-01  128.84
2001-10-01  129.98
2002-01-01  130.80
2002-04-01  131.13
2002-07-01  132.36
2002-10-01  132.98
2003-01-01  133.77
2003-04-01  134.27
2003-07-01  134.69
2003-10-01  135.51
2004-01-01  136.47
2004-04-01  137.35
2004-07-01  138.68
2004-10-01  140.35
2005-01-01  141.85
2005-04-01  143.29
2005-07-01  145.47
2005-10-01  147.97
2006-01-01  149.64
2006-04-01  152.86
2006-07-01  155.19
2006-10-01  157.60
2007-01-01  160.21
2007-04-01  162.37
2007-07-01  164.51
2007-10-01  166.02
2008-01-01  166.74
2008-04-01  167.31
2008-07-01  167.57
2008-10-01  166.86
2009-01-01  167.35
2009-04-01  164.78
2009-07-01  162.29
2009-10-01  160.93
2010-01-01  158.59
2010-04-01  157.76
2010-07-01  158.88
2010-10-01  158.36
2011-01-01  155.18
2011-04-01  153.87
2011-07-01  154.25
2011-10-01  154.33
2012-01-01  152.25
2012-04-01  151.61
2012-07-01  153.39
2012-10-01  154.15
2013-01-01  153.97
2013-04-01  155.33
2013-07-01  157.40
2013-10-01  157.62
2014-01-01  159.44
2014-04-01  163.51
2014-07-01  165.15
2014-10-01  165.60
2015-01-01  167.83
2015-04-01  170.38
2015-07-01  172.51
2015-10-01  175.02
2016-01-01  178.26
2016-04-01  181.68
2016-07-01  184.77
2016-10-01  186.10
2017-01-01  191.04
2017-04-01  198.41
2017-07-01  199.31
2017-10-01  199.91
2018-01-01  203.81
2018-04-01  211.01
2018-07-01  213.10
