Title:               All-Transactions House Price Index for Asheville, NC (MSA)
Series ID:           ATNHPIUS11700Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1984-10-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1984-10-01   61.50
1985-01-01   64.30
1985-04-01   64.08
1985-07-01   67.47
1985-10-01   66.58
1986-01-01   65.78
1986-04-01   67.81
1986-07-01   69.44
1986-10-01   70.07
1987-01-01   72.24
1987-04-01   72.02
1987-07-01   75.16
1987-10-01   74.79
1988-01-01   74.37
1988-04-01   75.23
1988-07-01   76.79
1988-10-01   78.51
1989-01-01   76.98
1989-04-01   78.19
1989-07-01   80.82
1989-10-01   79.91
1990-01-01   81.94
1990-04-01   82.48
1990-07-01   84.80
1990-10-01   84.99
1991-01-01   85.24
1991-04-01   85.30
1991-07-01   85.51
1991-10-01   87.39
1992-01-01   88.45
1992-04-01   89.52
1992-07-01   90.22
1992-10-01   91.37
1993-01-01   90.04
1993-04-01   93.11
1993-07-01   93.40
1993-10-01   94.43
1994-01-01   94.15
1994-04-01   96.62
1994-07-01   96.39
1994-10-01   98.54
1995-01-01  100.00
1995-04-01  101.18
1995-07-01  102.74
1995-10-01  104.63
1996-01-01  105.09
1996-04-01  107.29
1996-07-01  108.75
1996-10-01  109.82
1997-01-01  113.25
1997-04-01  114.98
1997-07-01  116.05
1997-10-01  119.53
1998-01-01  120.51
1998-04-01  123.29
1998-07-01  125.52
1998-10-01  126.74
1999-01-01  127.65
1999-04-01  130.27
1999-07-01  130.67
1999-10-01  132.76
2000-01-01  135.42
2000-04-01  137.01
2000-07-01  139.19
2000-10-01  141.61
2001-01-01  144.28
2001-04-01  147.17
2001-07-01  149.16
2001-10-01  151.23
2002-01-01  152.15
2002-04-01  154.68
2002-07-01  157.74
2002-10-01  159.42
2003-01-01  161.27
2003-04-01  163.74
2003-07-01  165.55
2003-10-01  168.14
2004-01-01  170.47
2004-04-01  173.54
2004-07-01  179.22
2004-10-01  180.51
2005-01-01  187.21
2005-04-01  191.67
2005-07-01  195.45
2005-10-01  203.02
2006-01-01  206.17
2006-04-01  213.81
2006-07-01  220.18
2006-10-01  223.57
2007-01-01  230.38
2007-04-01  234.03
2007-07-01  235.36
2007-10-01  236.61
2008-01-01  237.69
2008-04-01  237.89
2008-07-01  234.62
2008-10-01  234.67
2009-01-01  236.89
2009-04-01  233.28
2009-07-01  228.28
2009-10-01  222.95
2010-01-01  221.59
2010-04-01  215.98
2010-07-01  219.24
2010-10-01  216.47
2011-01-01  212.10
2011-04-01  207.68
2011-07-01  206.91
2011-10-01  208.44
2012-01-01  207.46
2012-04-01  200.78
2012-07-01  206.23
2012-10-01  204.61
2013-01-01  206.72
2013-04-01  206.92
2013-07-01  208.33
2013-10-01  210.29
2014-01-01  211.90
2014-04-01  215.08
2014-07-01  220.26
2014-10-01  221.08
2015-01-01  223.60
2015-04-01  231.01
2015-07-01  235.14
2015-10-01  237.07
2016-01-01  241.88
2016-04-01  247.31
2016-07-01  253.58
2016-10-01  254.16
2017-01-01  260.78
2017-04-01  270.16
2017-07-01  270.83
2017-10-01  274.95
2018-01-01  283.62
2018-04-01  288.94
2018-07-01  297.08
