Title:               All-Transactions House Price Index for Rocky Mount, NC (MSA)
Series ID:           ATNHPIUS40580Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1985-04-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1985-04-01   78.62
1985-07-01   82.27
1985-10-01   82.36
1986-01-01   81.89
1986-04-01   83.40
1986-07-01   84.46
1986-10-01   83.50
1987-01-01   85.95
1987-04-01   83.56
1987-07-01   84.63
1987-10-01   85.62
1988-01-01   85.14
1988-04-01   88.30
1988-07-01   88.26
1988-10-01   88.69
1989-01-01   86.60
1989-04-01   89.64
1989-07-01   90.04
1989-10-01   90.77
1990-01-01   92.76
1990-04-01   91.55
1990-07-01   92.14
1990-10-01   93.95
1991-01-01   91.63
1991-04-01   92.96
1991-07-01   93.58
1991-10-01   95.75
1992-01-01   95.33
1992-04-01   94.58
1992-07-01   96.28
1992-10-01   95.27
1993-01-01   95.25
1993-04-01   97.29
1993-07-01   98.38
1993-10-01   98.67
1994-01-01   98.63
1994-04-01  100.97
1994-07-01   99.96
1994-10-01  101.58
1995-01-01  100.00
1995-04-01  104.27
1995-07-01  104.07
1995-10-01  107.34
1996-01-01  106.72
1996-04-01  107.88
1996-07-01  108.55
1996-10-01  109.13
1997-01-01  111.09
1997-04-01  111.53
1997-07-01  113.53
1997-10-01  115.56
1998-01-01  116.09
1998-04-01  116.56
1998-07-01  118.84
1998-10-01  118.45
1999-01-01  119.59
1999-04-01  121.96
1999-07-01  120.91
1999-10-01  121.63
2000-01-01  123.16
2000-04-01  123.06
2000-07-01  124.60
2000-10-01  125.12
2001-01-01  129.98
2001-04-01  129.78
2001-07-01  130.55
2001-10-01  131.43
2002-01-01  131.91
2002-04-01  132.07
2002-07-01  135.82
2002-10-01     135
2003-01-01  136.61
2003-04-01  138.49
2003-07-01  138.23
2003-10-01  136.37
2004-01-01  139.65
2004-04-01  137.85
2004-07-01  138.26
2004-10-01  140.17
2005-01-01  140.02
2005-04-01  141.88
2005-07-01  144.43
2005-10-01  144.09
2006-01-01  144.75
2006-04-01  144.59
2006-07-01  148.71
2006-10-01  148.64
2007-01-01  145.63
2007-04-01  149.88
2007-07-01  149.24
2007-10-01  152.16
2008-01-01  149.86
2008-04-01  154.64
2008-07-01  152.99
2008-10-01  148.55
2009-01-01  153.65
2009-04-01  150.23
2009-07-01  152.25
2009-10-01  146.13
2010-01-01  141.96
2010-04-01  145.34
2010-07-01  145.68
2010-10-01  142.06
2011-01-01  142.39
2011-04-01  135.95
2011-07-01  140.45
2011-10-01  140.98
2012-01-01  138.73
2012-04-01  137.90
2012-07-01  136.83
2012-10-01  139.31
2013-01-01  137.31
2013-04-01  136.08
2013-07-01  138.41
2013-10-01  137.60
2014-01-01  138.36
2014-04-01  136.91
2014-07-01  139.42
2014-10-01  132.94
2015-01-01  130.64
2015-04-01  135.66
2015-07-01  137.69
2015-10-01  140.20
2016-01-01  133.62
2016-04-01  138.66
2016-07-01  142.46
2016-10-01  142.03
2017-01-01  140.78
2017-04-01  142.78
2017-07-01  146.14
2017-10-01  144.74
2018-01-01  141.70
2018-04-01  143.93
2018-07-01  151.84
