Title:               All-Transactions House Price Index for Greenville, NC (MSA)
Series ID:           ATNHPIUS24780Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1986-01-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1986-01-01   76.78
1986-04-01   77.16
1986-07-01   79.05
1986-10-01   81.88
1987-01-01   80.76
1987-04-01   81.79
1987-07-01   85.54
1987-10-01   84.61
1988-01-01   85.99
1988-04-01   85.31
1988-07-01   85.72
1988-10-01   83.39
1989-01-01   88.82
1989-04-01   88.15
1989-07-01   86.67
1989-10-01   88.29
1990-01-01   87.87
1990-04-01   87.99
1990-07-01   90.50
1990-10-01   89.69
1991-01-01   90.58
1991-04-01   90.27
1991-07-01   90.94
1991-10-01   92.67
1992-01-01   93.51
1992-04-01   93.58
1992-07-01   92.60
1992-10-01   93.07
1993-01-01   93.70
1993-04-01   95.42
1993-07-01   95.87
1993-10-01   96.97
1994-01-01   97.62
1994-04-01   98.89
1994-07-01  100.21
1994-10-01  100.85
1995-01-01  100.00
1995-04-01  102.88
1995-07-01  101.13
1995-10-01  103.09
1996-01-01  103.59
1996-04-01  104.95
1996-07-01  107.04
1996-10-01  108.16
1997-01-01  106.06
1997-04-01  106.92
1997-07-01  109.11
1997-10-01  109.71
1998-01-01  111.74
1998-04-01  112.62
1998-07-01  112.48
1998-10-01  114.88
1999-01-01  116.08
1999-04-01  117.85
1999-07-01  118.74
1999-10-01  118.20
2000-01-01  119.82
2000-04-01  120.85
2000-07-01  122.15
2000-10-01  122.45
2001-01-01  124.58
2001-04-01  127.23
2001-07-01  127.88
2001-10-01  128.41
2002-01-01  129.22
2002-04-01  128.76
2002-07-01  130.51
2002-10-01  132.33
2003-01-01  132.35
2003-04-01  133.21
2003-07-01  134.81
2003-10-01  134.39
2004-01-01  137.44
2004-04-01  137.80
2004-07-01     139
2004-10-01  140.16
2005-01-01  141.66
2005-04-01  144.67
2005-07-01  146.07
2005-10-01  149.28
2006-01-01  148.22
2006-04-01  151.85
2006-07-01  151.77
2006-10-01  151.84
2007-01-01  155.56
2007-04-01  156.07
2007-07-01  156.47
2007-10-01  157.47
2008-01-01  158.67
2008-04-01  158.46
2008-07-01  156.21
2008-10-01  154.57
2009-01-01  159.91
2009-04-01  155.72
2009-07-01  150.66
2009-10-01  151.11
2010-01-01  150.28
2010-04-01  149.83
2010-07-01  150.58
2010-10-01  152.28
2011-01-01  145.65
2011-04-01  149.11
2011-07-01  148.46
2011-10-01  149.58
2012-01-01  147.89
2012-04-01  144.09
2012-07-01  144.92
2012-10-01  146.62
2013-01-01  144.08
2013-04-01  146.64
2013-07-01  143.65
2013-10-01  143.77
2014-01-01  148.12
2014-04-01  143.65
2014-07-01  146.82
2014-10-01  143.98
2015-01-01  144.83
2015-04-01  145.78
2015-07-01  145.39
2015-10-01  147.39
2016-01-01  140.89
2016-04-01  148.03
2016-07-01  152.53
2016-10-01  146.81
2017-01-01  149.06
2017-04-01  154.16
2017-07-01  155.34
2017-10-01  156.26
2018-01-01  152.85
2018-04-01  157.44
2018-07-01  162.08
