Title:               All-Transactions House Price Index for Winston-Salem, NC (MSA)
Series ID:           ATNHPIUS49180Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1979-07-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1979-07-01   54.92
1979-10-01   52.98
1980-01-01   53.71
1980-04-01   55.45
1980-07-01   56.31
1980-10-01   53.59
1981-01-01   57.62
1981-04-01   61.67
1981-07-01   61.26
1981-10-01   63.24
1982-01-01   60.95
1982-04-01   59.91
1982-07-01   60.75
1982-10-01   62.40
1983-01-01   62.25
1983-04-01   64.08
1983-07-01   65.06
1983-10-01   66.24
1984-01-01   67.22
1984-04-01   69.24
1984-07-01   66.27
1984-10-01   69.00
1985-01-01   69.76
1985-04-01   72.72
1985-07-01   72.69
1985-10-01   74.72
1986-01-01   73.85
1986-04-01   76.58
1986-07-01   77.05
1986-10-01   78.93
1987-01-01   79.73
1987-04-01   80.68
1987-07-01   82.03
1987-10-01   82.59
1988-01-01   83.61
1988-04-01   84.64
1988-07-01   85.04
1988-10-01   84.41
1989-01-01   84.99
1989-04-01   85.73
1989-07-01   86.14
1989-10-01   86.75
1990-01-01   87.65
1990-04-01   87.36
1990-07-01   87.52
1990-10-01   88.21
1991-01-01   88.66
1991-04-01   89.44
1991-07-01   89.81
1991-10-01   90.39
1992-01-01   90.77
1992-04-01   91.24
1992-07-01   92.12
1992-10-01   92.45
1993-01-01   92.91
1993-04-01   93.72
1993-07-01   94.54
1993-10-01   95.68
1994-01-01   96.36
1994-04-01   97.81
1994-07-01   98.35
1994-10-01   98.99
1995-01-01  100.00
1995-04-01  101.76
1995-07-01  103.37
1995-10-01  103.69
1996-01-01  105.35
1996-04-01  105.74
1996-07-01  106.08
1996-10-01  107.65
1997-01-01  108.23
1997-04-01  109.20
1997-07-01  111.36
1997-10-01  112.54
1998-01-01  114.09
1998-04-01  114.72
1998-07-01  116.48
1998-10-01  118.06
1999-01-01  118.14
1999-04-01  119.38
1999-07-01  119.95
1999-10-01  120.80
2000-01-01  121.61
2000-04-01  123.32
2000-07-01  125.09
2000-10-01     126
2001-01-01  129.05
2001-04-01  129.58
2001-07-01  130.75
2001-10-01  132.19
2002-01-01  132.70
2002-04-01  132.98
2002-07-01  134.69
2002-10-01  135.72
2003-01-01  136.57
2003-04-01  137.08
2003-07-01  137.37
2003-10-01  139.11
2004-01-01  139.53
2004-04-01  140.05
2004-07-01  140.52
2004-10-01  142.63
2005-01-01  144.56
2005-04-01  146.08
2005-07-01  147.85
2005-10-01  150.09
2006-01-01  151.50
2006-04-01  152.49
2006-07-01  153.17
2006-10-01  154.91
2007-01-01  154.74
2007-04-01  156.78
2007-07-01  155.53
2007-10-01  156.87
2008-01-01  158.67
2008-04-01  157.65
2008-07-01  154.58
2008-10-01  155.31
2009-01-01  158.26
2009-04-01  157.01
2009-07-01  154.04
2009-10-01  152.58
2010-01-01  150.62
2010-04-01  151.06
2010-07-01  152.01
2010-10-01  151.05
2011-01-01  148.01
2011-04-01  146.38
2011-07-01  147.76
2011-10-01  148.40
2012-01-01  146.45
2012-04-01  143.56
2012-07-01  146.34
2012-10-01  146.73
2013-01-01  145.46
2013-04-01  144.15
2013-07-01  144.40
2013-10-01  142.59
2014-01-01  142.49
2014-04-01  144.08
2014-07-01  144.24
2014-10-01  144.97
2015-01-01  147.53
2015-04-01  150.02
2015-07-01  151.02
2015-10-01  149.75
2016-01-01  152.22
2016-04-01  154.12
2016-07-01  156.43
2016-10-01  157.42
2017-01-01  153.83
2017-04-01  160.03
2017-07-01  160.84
2017-10-01  163.19
2018-01-01  166.62
2018-04-01  168.34
2018-07-01  173.66
