Title:               All-Transactions House Price Index for Durham-Chapel Hill, NC (MSA)
Series ID:           ATNHPIUS20500Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1978-10-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1978-10-01   44.08
1979-01-01   44.84
1979-04-01   44.34
1979-07-01   49.09
1979-10-01   45.95
1980-01-01   48.83
1980-04-01   46.03
1980-07-01   51.69
1980-10-01   47.14
1981-01-01       .
1981-04-01   52.23
1981-07-01   52.75
1981-10-01   52.17
1982-01-01   53.46
1982-04-01   55.82
1982-07-01   57.16
1982-10-01   56.82
1983-01-01   59.13
1983-04-01   57.71
1983-07-01   59.42
1983-10-01   61.48
1984-01-01   60.56
1984-04-01   63.84
1984-07-01   64.60
1984-10-01   65.14
1985-01-01   66.40
1985-04-01   67.85
1985-07-01   68.61
1985-10-01   71.35
1986-01-01   70.13
1986-04-01   73.36
1986-07-01   76.05
1986-10-01   76.98
1987-01-01   78.97
1987-04-01   79.91
1987-07-01   82.15
1987-10-01   84.15
1988-01-01   83.30
1988-04-01   85.41
1988-07-01   84.99
1988-10-01   86.26
1989-01-01   84.79
1989-04-01   84.14
1989-07-01   86.46
1989-10-01   86.26
1990-01-01   86.86
1990-04-01   85.64
1990-07-01   86.87
1990-10-01   86.91
1991-01-01   87.26
1991-04-01   87.61
1991-07-01   87.43
1991-10-01   89.06
1992-01-01   89.63
1992-04-01   90.33
1992-07-01   91.50
1992-10-01   91.95
1993-01-01   92.14
1993-04-01   92.68
1993-07-01   93.63
1993-10-01   94.22
1994-01-01   94.93
1994-04-01   96.06
1994-07-01   97.62
1994-10-01   98.12
1995-01-01  100.00
1995-04-01  100.78
1995-07-01  102.42
1995-10-01  104.82
1996-01-01  104.03
1996-04-01  104.64
1996-07-01  106.83
1996-10-01  108.61
1997-01-01  109.27
1997-04-01  111.25
1997-07-01  112.68
1997-10-01  113.96
1998-01-01  115.50
1998-04-01  115.54
1998-07-01  117.61
1998-10-01  118.63
1999-01-01  119.75
1999-04-01  121.77
1999-07-01  122.96
1999-10-01  123.25
2000-01-01  123.82
2000-04-01  126.71
2000-07-01  127.66
2000-10-01  129.46
2001-01-01  131.95
2001-04-01  133.20
2001-07-01  134.98
2001-10-01  135.56
2002-01-01  136.62
2002-04-01  138.39
2002-07-01  139.55
2002-10-01  140.22
2003-01-01  140.72
2003-04-01  142.07
2003-07-01  142.75
2003-10-01  143.84
2004-01-01     146
2004-04-01  147.35
2004-07-01  148.03
2004-10-01  150.77
2005-01-01  152.69
2005-04-01  154.11
2005-07-01  156.43
2005-10-01  158.14
2006-01-01  160.57
2006-04-01  162.26
2006-07-01  163.46
2006-10-01  167.62
2007-01-01  168.56
2007-04-01     171
2007-07-01  171.55
2007-10-01  172.83
2008-01-01  174.59
2008-04-01  174.14
2008-07-01  173.88
2008-10-01  174.34
2009-01-01  174.93
2009-04-01  173.64
2009-07-01  171.77
2009-10-01  171.32
2010-01-01  169.24
2010-04-01  167.87
2010-07-01  169.75
2010-10-01  166.98
2011-01-01  165.25
2011-04-01  163.50
2011-07-01  164.68
2011-10-01  165.03
2012-01-01  164.48
2012-04-01  163.40
2012-07-01  164.05
2012-10-01  166.63
2013-01-01  165.03
2013-04-01  167.01
2013-07-01  167.82
2013-10-01  168.63
2014-01-01  172.78
2014-04-01  173.63
2014-07-01  174.42
2014-10-01  175.38
2015-01-01  177.51
2015-04-01  178.98
2015-07-01  183.56
2015-10-01  185.88
2016-01-01  186.21
2016-04-01  188.11
2016-07-01  194.60
2016-10-01  196.01
2017-01-01  195.37
2017-04-01  205.22
2017-07-01  211.67
2017-10-01  214.24
2018-01-01  216.62
2018-04-01  227.31
2018-07-01  227.61
