Title:               All-Transactions House Price Index for Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           ATNHPIUS16740Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1977-01-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1977-01-01   40.36
1977-04-01   36.88
1977-07-01   40.09
1977-10-01   42.53
1978-01-01   43.68
1978-04-01   43.71
1978-07-01   45.57
1978-10-01   45.48
1979-01-01   46.72
1979-04-01   48.93
1979-07-01   50.59
1979-10-01   51.14
1980-01-01   53.05
1980-04-01   51.93
1980-07-01   54.15
1980-10-01   55.24
1981-01-01   54.84
1981-04-01   55.75
1981-07-01   56.18
1981-10-01   56.92
1982-01-01   56.08
1982-04-01   60.34
1982-07-01   57.90
1982-10-01   60.28
1983-01-01   58.80
1983-04-01   59.82
1983-07-01   59.19
1983-10-01   59.87
1984-01-01   62.45
1984-04-01   64.43
1984-07-01   64.37
1984-10-01   65.63
1985-01-01   66.82
1985-04-01   67.65
1985-07-01   68.80
1985-10-01   69.28
1986-01-01   69.94
1986-04-01   71.23
1986-07-01   72.59
1986-10-01   74.19
1987-01-01   75.66
1987-04-01   77.23
1987-07-01   78.28
1987-10-01   80.10
1988-01-01   80.87
1988-04-01   82.20
1988-07-01   83.39
1988-10-01   84.26
1989-01-01   84.93
1989-04-01   85.72
1989-07-01   87.28
1989-10-01   88.13
1990-01-01   87.46
1990-04-01   88.34
1990-07-01   89.42
1990-10-01   88.48
1991-01-01   89.27
1991-04-01   90.53
1991-07-01   90.46
1991-10-01   91.46
1992-01-01   91.81
1992-04-01   92.03
1992-07-01   93.20
1992-10-01   93.60
1993-01-01   93.68
1993-04-01   94.27
1993-07-01   95.14
1993-10-01   95.68
1994-01-01   96.00
1994-04-01   96.98
1994-07-01   98.39
1994-10-01   99.30
1995-01-01  100.00
1995-04-01  101.56
1995-07-01  103.36
1995-10-01  104.37
1996-01-01  106.10
1996-04-01  107.63
1996-07-01  109.18
1996-10-01  110.28
1997-01-01  111.55
1997-04-01  113.67
1997-07-01  114.60
1997-10-01  116.68
1998-01-01  118.52
1998-04-01  119.39
1998-07-01  121.25
1998-10-01  122.18
1999-01-01  123.78
1999-04-01  124.99
1999-07-01  125.83
1999-10-01  127.04
2000-01-01  127.48
2000-04-01  129.16
2000-07-01  130.44
2000-10-01  131.94
2001-01-01  134.91
2001-04-01  135.92
2001-07-01  136.81
2001-10-01  137.93
2002-01-01  138.41
2002-04-01  138.92
2002-07-01  140.82
2002-10-01  141.22
2003-01-01  142.24
2003-04-01  143.28
2003-07-01  143.51
2003-10-01  144.80
2004-01-01  145.83
2004-04-01  146.60
2004-07-01  147.22
2004-10-01  149.47
2005-01-01  150.75
2005-04-01  151.58
2005-07-01  154.87
2005-10-01  157.05
2006-01-01  159.62
2006-04-01  161.99
2006-07-01  165.86
2006-10-01  168.97
2007-01-01  171.26
2007-04-01  174.97
2007-07-01  176.76
2007-10-01  178.63
2008-01-01  180.10
2008-04-01  180.09
2008-07-01  177.07
2008-10-01  177.82
2009-01-01  179.46
2009-04-01  175.86
2009-07-01  170.81
2009-10-01  166.86
2010-01-01  163.85
2010-04-01  161.67
2010-07-01  163.05
2010-10-01  161.72
2011-01-01  158.22
2011-04-01  153.55
2011-07-01  154.14
2011-10-01  155.45
2012-01-01  152.42
2012-04-01  151.47
2012-07-01  153.14
2012-10-01  154.29
2013-01-01  154.84
2013-04-01  156.95
2013-07-01  160.32
2013-10-01  160.27
2014-01-01  161.75
2014-04-01  165.03
2014-07-01  166.77
2014-10-01  168.57
2015-01-01  171.92
2015-04-01  174.09
2015-07-01  176.85
2015-10-01  179.35
2016-01-01  182.91
2016-04-01  185.86
2016-07-01  190.54
2016-10-01  193.13
2017-01-01  196.42
2017-04-01  204.04
2017-07-01  208.29
2017-10-01  208.86
2018-01-01  212.70
2018-04-01  224.02
2018-07-01  224.83
