Title:               All-Transactions House Price Index for New Bern, NC (MSA)
Series ID:           ATNHPIUS35100Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1988-01-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1988-01-01   76.65
1988-04-01   83.48
1988-07-01   81.29
1988-10-01   81.87
1989-01-01   76.86
1989-04-01   83.14
1989-07-01   83.90
1989-10-01   87.88
1990-01-01   84.42
1990-04-01   88.76
1990-07-01   86.94
1990-10-01   87.02
1991-01-01   88.16
1991-04-01   88.94
1991-07-01   90.41
1991-10-01   90.55
1992-01-01   91.92
1992-04-01   90.36
1992-07-01   91.42
1992-10-01   92.60
1993-01-01   91.25
1993-04-01   91.74
1993-07-01   92.59
1993-10-01   94.14
1994-01-01   92.86
1994-04-01   95.82
1994-07-01   96.81
1994-10-01   98.28
1995-01-01  100.00
1995-04-01   98.84
1995-07-01  100.76
1995-10-01  103.71
1996-01-01  101.66
1996-04-01  103.21
1996-07-01  102.15
1996-10-01  103.02
1997-01-01  105.07
1997-04-01  105.80
1997-07-01  109.45
1997-10-01  107.18
1998-01-01  108.93
1998-04-01  109.91
1998-07-01  110.20
1998-10-01  110.96
1999-01-01  112.46
1999-04-01  112.97
1999-07-01  111.60
1999-10-01  114.70
2000-01-01  114.56
2000-04-01  112.79
2000-07-01  115.58
2000-10-01  117.06
2001-01-01  118.23
2001-04-01  119.72
2001-07-01  120.41
2001-10-01  120.82
2002-01-01  121.36
2002-04-01  123.57
2002-07-01  123.63
2002-10-01  124.52
2003-01-01  124.24
2003-04-01  127.40
2003-07-01  127.60
2003-10-01  131.07
2004-01-01  130.59
2004-04-01  136.59
2004-07-01  139.67
2004-10-01  143.25
2005-01-01  147.12
2005-04-01  149.43
2005-07-01  153.46
2005-10-01  159.10
2006-01-01  167.91
2006-04-01  170.07
2006-07-01  177.03
2006-10-01  180.74
2007-01-01  185.24
2007-04-01  186.88
2007-07-01  184.27
2007-10-01  186.57
2008-01-01  185.93
2008-04-01  184.74
2008-07-01  183.17
2008-10-01  183.43
2009-01-01  183.40
2009-04-01  179.92
2009-07-01  177.11
2009-10-01  173.35
2010-01-01  167.60
2010-04-01  169.79
2010-07-01  168.14
2010-10-01  170.21
2011-01-01  163.56
2011-04-01  158.29
2011-07-01  165.61
2011-10-01  163.44
2012-01-01  161.07
2012-04-01  158.72
2012-07-01  157.58
2012-10-01  160.58
2013-01-01  159.35
2013-04-01  154.87
2013-07-01  155.75
2013-10-01  156.85
2014-01-01  154.13
2014-04-01  153.07
2014-07-01  154.40
2014-10-01  156.23
2015-01-01  154.70
2015-04-01  156.44
2015-07-01  154.20
2015-10-01  154.42
2016-01-01  155.56
2016-04-01  158.38
2016-07-01  159.36
2016-10-01  162.86
2017-01-01  155.40
2017-04-01  162.78
2017-07-01  165.96
2017-10-01  169.36
2018-01-01  163.92
2018-04-01     169
2018-07-01  174.48
