Title:               All-Transactions House Price Index for Burlington, NC (MSA)
Series ID:           ATNHPIUS15500Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1987-01-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1987-01-01   69.97
1987-04-01   72.86
1987-07-01   73.32
1987-10-01   77.16
1988-01-01   80.03
1988-04-01   79.33
1988-07-01   81.39
1988-10-01   82.13
1989-01-01   83.65
1989-04-01   79.63
1989-07-01   82.75
1989-10-01   82.90
1990-01-01   83.98
1990-04-01   83.51
1990-07-01   85.04
1990-10-01   84.43
1991-01-01   86.10
1991-04-01   86.85
1991-07-01   87.96
1991-10-01   87.25
1992-01-01   88.74
1992-04-01   89.23
1992-07-01   88.94
1992-10-01   90.62
1993-01-01   89.89
1993-04-01   91.13
1993-07-01   91.75
1993-10-01   93.02
1994-01-01   93.33
1994-04-01   96.41
1994-07-01   96.82
1994-10-01   97.70
1995-01-01  100.00
1995-04-01   98.28
1995-07-01  100.85
1995-10-01   99.89
1996-01-01  103.86
1996-04-01  104.32
1996-07-01  105.98
1996-10-01  106.20
1997-01-01  107.47
1997-04-01  108.95
1997-07-01  109.65
1997-10-01  112.10
1998-01-01  114.05
1998-04-01  114.79
1998-07-01  115.48
1998-10-01  116.99
1999-01-01  119.01
1999-04-01  118.07
1999-07-01  118.65
1999-10-01  119.71
2000-01-01  120.59
2000-04-01  122.08
2000-07-01  123.46
2000-10-01  124.34
2001-01-01  126.94
2001-04-01  128.25
2001-07-01  129.60
2001-10-01  130.69
2002-01-01  131.17
2002-04-01  130.97
2002-07-01  133.30
2002-10-01  133.80
2003-01-01  135.20
2003-04-01  135.51
2003-07-01  135.38
2003-10-01  137.58
2004-01-01  137.25
2004-04-01  136.02
2004-07-01  134.87
2004-10-01  137.19
2005-01-01  139.67
2005-04-01  140.11
2005-07-01  139.83
2005-10-01  139.37
2006-01-01  141.21
2006-04-01  142.22
2006-07-01  141.53
2006-10-01  143.44
2007-01-01  145.44
2007-04-01  143.68
2007-07-01  143.26
2007-10-01  144.49
2008-01-01  147.16
2008-04-01  144.40
2008-07-01  142.45
2008-10-01  143.37
2009-01-01  147.92
2009-04-01  145.40
2009-07-01  141.35
2009-10-01  142.56
2010-01-01  139.07
2010-04-01  138.72
2010-07-01  140.42
2010-10-01  140.16
2011-01-01  136.49
2011-04-01  135.01
2011-07-01  135.15
2011-10-01  135.93
2012-01-01  134.83
2012-04-01  134.95
2012-07-01     133
2012-10-01  135.41
2013-01-01  136.37
2013-04-01  136.61
2013-07-01  135.74
2013-10-01  131.48
2014-01-01  134.97
2014-04-01  131.57
2014-07-01  135.52
2014-10-01  135.17
2015-01-01  139.16
2015-04-01  138.93
2015-07-01  140.44
2015-10-01  139.78
2016-01-01  138.52
2016-04-01  143.74
2016-07-01  147.80
2016-10-01  143.77
2017-01-01  144.75
2017-04-01  148.08
2017-07-01  150.84
2017-10-01  153.79
2018-01-01  152.68
2018-04-01  159.10
2018-07-01  158.93
