Title:               All-Transactions House Price Index for Jacksonville, NC (MSA)
Series ID:           ATNHPIUS27340Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1993-07-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1993-07-01  101.51
1993-10-01  103.36
1994-01-01   98.94
1994-04-01   98.67
1994-07-01  108.54
1994-10-01  104.60
1995-01-01  100.00
1995-04-01  102.29
1995-07-01  105.29
1995-10-01  106.60
1996-01-01  104.48
1996-04-01  106.04
1996-07-01  111.79
1996-10-01  111.81
1997-01-01  106.74
1997-04-01  112.27
1997-07-01  115.63
1997-10-01  113.00
1998-01-01  117.29
1998-04-01  118.95
1998-07-01  119.66
1998-10-01  121.68
1999-01-01  120.73
1999-04-01  122.21
1999-07-01  124.33
1999-10-01  123.96
2000-01-01  123.32
2000-04-01  127.08
2000-07-01  128.72
2000-10-01  125.53
2001-01-01  132.48
2001-04-01  131.67
2001-07-01  134.25
2001-10-01  135.83
2002-01-01  134.19
2002-04-01  136.40
2002-07-01  138.52
2002-10-01  136.55
2003-01-01  142.39
2003-04-01  142.52
2003-07-01  143.42
2003-10-01  149.31
2004-01-01  150.28
2004-04-01  151.96
2004-07-01  154.37
2004-10-01  159.37
2005-01-01  159.81
2005-04-01  171.31
2005-07-01  173.74
2005-10-01  183.25
2006-01-01  186.37
2006-04-01  191.13
2006-07-01  198.52
2006-10-01  204.47
2007-01-01  210.98
2007-04-01  213.21
2007-07-01  212.54
2007-10-01  213.55
2008-01-01  216.09
2008-04-01  213.63
2008-07-01  216.44
2008-10-01  213.34
2009-01-01  218.86
2009-04-01  215.17
2009-07-01  214.45
2009-10-01  211.94
2010-01-01  211.41
2010-04-01  210.23
2010-07-01  211.85
2010-10-01  210.98
2011-01-01  208.25
2011-04-01  205.21
2011-07-01  203.20
2011-10-01  194.07
2012-01-01  199.26
2012-04-01  193.46
2012-07-01  191.62
2012-10-01  192.05
2013-01-01  197.65
2013-04-01  191.98
2013-07-01  195.14
2013-10-01  188.72
2014-01-01  182.24
2014-04-01  176.73
2014-07-01  184.93
2014-10-01  176.72
2015-01-01  185.33
2015-04-01  178.31
2015-07-01  182.57
2015-10-01  170.56
2016-01-01  184.84
2016-04-01  184.47
2016-07-01  183.60
2016-10-01  181.89
2017-01-01  193.77
2017-04-01  186.79
2017-07-01  187.30
2017-10-01  187.66
2018-01-01  192.75
2018-04-01  199.98
2018-07-01  191.20
