Title:               All-Transactions House Price Index for Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           ATNHPIUS47260Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1976-07-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1976-07-01   38.78
1976-10-01   38.96
1977-01-01   40.31
1977-04-01   40.39
1977-07-01   42.54
1977-10-01   43.43
1978-01-01   42.43
1978-04-01   45.05
1978-07-01   45.64
1978-10-01   47.21
1979-01-01   48.51
1979-04-01   48.47
1979-07-01   49.69
1979-10-01   53.88
1980-01-01   55.71
1980-04-01   56.62
1980-07-01   56.46
1980-10-01   55.72
1981-01-01   56.81
1981-04-01   55.96
1981-07-01   59.20
1981-10-01   60.61
1982-01-01       .
1982-04-01   58.82
1982-07-01   59.54
1982-10-01   63.12
1983-01-01   66.38
1983-04-01   65.47
1983-07-01   64.99
1983-10-01   67.35
1984-01-01   70.96
1984-04-01   72.45
1984-07-01   74.22
1984-10-01   74.08
1985-01-01   75.31
1985-04-01   77.26
1985-07-01   78.28
1985-10-01   78.23
1986-01-01   79.79
1986-04-01   81.58
1986-07-01   82.64
1986-10-01   83.72
1987-01-01   84.80
1987-04-01   86.39
1987-07-01   87.75
1987-10-01   87.88
1988-01-01   89.70
1988-04-01   90.52
1988-07-01   90.59
1988-10-01   91.20
1989-01-01   91.77
1989-04-01   93.17
1989-07-01   93.43
1989-10-01   93.76
1990-01-01   93.78
1990-04-01   93.70
1990-07-01   94.05
1990-10-01   93.88
1991-01-01   94.50
1991-04-01   94.85
1991-07-01   94.49
1991-10-01   95.96
1992-01-01   97.11
1992-04-01   95.96
1992-07-01   97.55
1992-10-01   98.19
1993-01-01   97.54
1993-04-01   98.68
1993-07-01   99.10
1993-10-01   99.81
1994-01-01  100.37
1994-04-01  100.18
1994-07-01   99.99
1994-10-01  100.10
1995-01-01  100.00
1995-04-01  101.50
1995-07-01  103.32
1995-10-01  103.46
1996-01-01  104.86
1996-04-01  104.30
1996-07-01  104.39
1996-10-01  105.13
1997-01-01  106.15
1997-04-01  106.26
1997-07-01  107.18
1997-10-01  108.34
1998-01-01  109.84
1998-04-01  109.97
1998-07-01  110.87
1998-10-01  111.70
1999-01-01  112.06
1999-04-01  113.30
1999-07-01  113.96
1999-10-01  115.13
2000-01-01  115.91
2000-04-01  117.72
2000-07-01  119.28
2000-10-01  120.31
2001-01-01  122.87
2001-04-01  124.28
2001-07-01  126.27
2001-10-01  127.91
2002-01-01  129.94
2002-04-01  132.89
2002-07-01  135.85
2002-10-01  137.60
2003-01-01  139.98
2003-04-01  142.82
2003-07-01  146.71
2003-10-01  154.18
2004-01-01  158.80
2004-04-01  167.21
2004-07-01  179.53
2004-10-01  186.60
2005-01-01  194.99
2005-04-01  209.07
2005-07-01  220.32
2005-10-01  228.85
2006-01-01  236.33
2006-04-01  242.95
2006-07-01  246.73
2006-10-01  250.72
2007-01-01  252.42
2007-04-01  254.46
2007-07-01  253.81
2007-10-01  254.02
2008-01-01  253.09
2008-04-01  248.44
2008-07-01  244.87
2008-10-01  242.63
2009-01-01  241.92
2009-04-01  236.54
2009-07-01  231.25
2009-10-01  228.50
2010-01-01  225.83
2010-04-01  223.11
2010-07-01  225.37
2010-10-01  222.53
2011-01-01  216.08
2011-04-01  210.50
2011-07-01  209.50
2011-10-01  210.84
2012-01-01  207.44
2012-04-01  205.39
2012-07-01  207.52
2012-10-01  207.96
2013-01-01  206.96
2013-04-01  207.47
2013-07-01  206.39
2013-10-01  205.08
2014-01-01  207.37
2014-04-01  208.53
2014-07-01  210.90
2014-10-01  213.98
2015-01-01  214.45
2015-04-01  214.47
2015-07-01  215.12
2015-10-01  218.26
2016-01-01     214
2016-04-01  219.74
2016-07-01  222.31
2016-10-01  222.57
2017-01-01  221.35
2017-04-01  225.72
2017-07-01  228.17
2017-10-01  229.94
2018-01-01  228.17
2018-04-01  233.12
2018-07-01  234.73
