Title:               All-Transactions House Price Index for Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           ATNHPIUS25860Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1987-01-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1987-01-01   73.36
1987-04-01   73.99
1987-07-01   76.07
1987-10-01   76.65
1988-01-01   74.25
1988-04-01   74.93
1988-07-01   79.50
1988-10-01   79.42
1989-01-01   81.85
1989-04-01   80.70
1989-07-01   84.94
1989-10-01   79.85
1990-01-01   84.50
1990-04-01   86.64
1990-07-01   86.00
1990-10-01   86.02
1991-01-01   88.23
1991-04-01   88.62
1991-07-01   88.26
1991-10-01   90.72
1992-01-01   90.83
1992-04-01   90.16
1992-07-01   91.77
1992-10-01   93.01
1993-01-01   93.53
1993-04-01   93.74
1993-07-01   95.22
1993-10-01   96.23
1994-01-01   96.22
1994-04-01   95.87
1994-07-01   99.93
1994-10-01   98.25
1995-01-01  100.00
1995-04-01  102.22
1995-07-01  102.44
1995-10-01  103.97
1996-01-01  105.56
1996-04-01  105.58
1996-07-01  106.10
1996-10-01  109.09
1997-01-01  110.51
1997-04-01  110.44
1997-07-01  114.42
1997-10-01  115.40
1998-01-01  116.69
1998-04-01  118.67
1998-07-01  120.00
1998-10-01  121.69
1999-01-01  123.10
1999-04-01  124.02
1999-07-01  125.19
1999-10-01  126.03
2000-01-01  128.43
2000-04-01  129.62
2000-07-01  131.38
2000-10-01  132.23
2001-01-01  137.27
2001-04-01  138.68
2001-07-01  139.99
2001-10-01  140.65
2002-01-01  141.44
2002-04-01  141.80
2002-07-01  143.71
2002-10-01  144.94
2003-01-01  145.60
2003-04-01  146.84
2003-07-01  147.22
2003-10-01  146.73
2004-01-01  148.77
2004-04-01  147.83
2004-07-01  147.71
2004-10-01  150.09
2005-01-01  150.60
2005-04-01  151.21
2005-07-01  154.12
2005-10-01  156.39
2006-01-01  156.33
2006-04-01  158.33
2006-07-01  160.12
2006-10-01  163.33
2007-01-01  165.58
2007-04-01  166.26
2007-07-01  167.55
2007-10-01  168.80
2008-01-01  170.86
2008-04-01  169.59
2008-07-01  169.85
2008-10-01  168.16
2009-01-01  171.69
2009-04-01  168.81
2009-07-01  165.84
2009-10-01  165.13
2010-01-01  165.17
2010-04-01  161.02
2010-07-01  162.87
2010-10-01  163.36
2011-01-01  157.28
2011-04-01  155.47
2011-07-01  157.11
2011-10-01  156.17
2012-01-01  154.36
2012-04-01  153.06
2012-07-01  155.77
2012-10-01  155.29
2013-01-01  154.64
2013-04-01  154.34
2013-07-01  152.52
2013-10-01  152.21
2014-01-01  153.69
2014-04-01  153.51
2014-07-01  156.13
2014-10-01  153.88
2015-01-01  157.04
2015-04-01  155.57
2015-07-01  160.78
2015-10-01  162.01
2016-01-01  161.20
2016-04-01  164.12
2016-07-01  165.52
2016-10-01  167.21
2017-01-01  166.59
2017-04-01  169.80
2017-07-01  173.96
2017-10-01  174.20
2018-01-01  175.39
2018-04-01  180.73
2018-07-01  186.51
