Title:               Average Hourly Earnings of All Employees: Total Private in Burlington, NC (MSA)
Series ID:           SMU37155000500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
2007-01-01  17.65
2007-02-01  16.61
2007-03-01  16.51
2007-04-01  16.44
2007-05-01  16.00
2007-06-01  15.85
2007-07-01  16.12
2007-08-01  15.80
2007-09-01  16.47
2007-10-01  15.82
2007-11-01  16.19
2007-12-01  16.16
2008-01-01  16.38
2008-02-01  16.49
2008-03-01  16.39
2008-04-01  16.28
2008-05-01  15.50
2008-06-01  16.10
2008-07-01  14.90
2008-08-01  15.60
2008-09-01  15.83
2008-10-01  17.01
2008-11-01  17.38
2008-12-01  16.82
2009-01-01  16.71
2009-02-01  16.63
2009-03-01  16.65
2009-04-01  17.10
2009-05-01  16.84
2009-06-01  17.33
2009-07-01  19.14
2009-08-01  19.12
2009-09-01  19.16
2009-10-01  18.55
2009-11-01  18.38
2009-12-01  18.07
2010-01-01  17.84
2010-02-01  18.17
2010-03-01  18.12
2010-04-01  17.86
2010-05-01  17.78
2010-06-01  18.10
2010-07-01  17.65
2010-08-01  17.47
2010-09-01  17.65
2010-10-01  17.20
2010-11-01  17.30
2010-12-01  17.46
2011-01-01  17.24
2011-02-01  17.36
2011-03-01  17.38
2011-04-01  17.48
2011-05-01  17.68
2011-06-01  17.89
2011-07-01  17.79
2011-08-01  17.64
2011-09-01  18.12
2011-10-01  18.10
2011-11-01  18.35
2011-12-01  18.66
2012-01-01  18.94
2012-02-01  18.89
2012-03-01  18.87
2012-04-01  19.19
2012-05-01  18.87
2012-06-01  18.89
2012-07-01  19.48
2012-08-01  19.30
2012-09-01  19.81
2012-10-01  19.70
2012-11-01  20.21
2012-12-01  20.44
2013-01-01  20.46
2013-02-01  20.27
2013-03-01  20.51
2013-04-01  20.79
2013-05-01  20.66
2013-06-01  20.49
2013-07-01  20.83
2013-08-01  20.34
2013-09-01  20.48
2013-10-01  20.26
2013-11-01  20.71
2013-12-01  21.14
2014-01-01  21.08
2014-02-01  20.78
2014-03-01  21.03
2014-04-01  20.71
2014-05-01  20.63
2014-06-01  20.49
2014-07-01  21.41
2014-08-01  20.95
2014-09-01  20.88
2014-10-01  20.77
2014-11-01  20.70
2014-12-01  20.27
2015-01-01  20.94
2015-02-01  21.71
2015-03-01  21.17
2015-04-01  21.30
2015-05-01  21.42
2015-06-01  21.39
2015-07-01  21.81
2015-08-01  21.57
2015-09-01  21.14
2015-10-01  21.27
2015-11-01  21.48
2015-12-01  21.07
2016-01-01  21.05
2016-02-01  21.13
2016-03-01  20.78
2016-04-01  20.72
2016-05-01  21.07
2016-06-01  21.03
2016-07-01  21.52
2016-08-01  21.58
2016-09-01  21.62
2016-10-01  22.12
2016-11-01  21.86
2016-12-01  21.69
2017-01-01  21.60
2017-02-01  21.04
2017-03-01  21.45
2017-04-01  21.15
2017-05-01  20.96
2017-06-01  21.00
2017-07-01  21.10
2017-08-01  20.38
2017-09-01  20.58
2017-10-01  20.32
2017-11-01  20.22
2017-12-01  20.19
2018-01-01  20.26
2018-02-01  20.15
2018-03-01  19.98
2018-04-01  20.53
2018-05-01  19.53
2018-06-01  19.74
2018-07-01  20.10
2018-08-01  19.63
2018-09-01  20.38
2018-10-01  20.01
