Title:               Average Weekly Earnings of All Employees: Total Private in Asheville, NC (MSA)
Series ID:           SMU37117000500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  625.1
2007-02-01  622.6
2007-03-01  615.9
2007-04-01  644.0
2007-05-01  627.0
2007-06-01  642.3
2007-07-01  647.7
2007-08-01  643.7
2007-09-01  656.9
2007-10-01  645.6
2007-11-01  622.6
2007-12-01  647.3
2008-01-01  640.6
2008-02-01  636.7
2008-03-01  643.7
2008-04-01  661.1
2008-05-01  609.3
2008-06-01  719.3
2008-07-01  636.0
2008-08-01  629.3
2008-09-01  620.0
2008-10-01  612.1
2008-11-01  615.3
2008-12-01  618.5
2009-01-01  608.3
2009-02-01  616.8
2009-03-01  620.9
2009-04-01  606.5
2009-05-01  622.0
2009-06-01  612.4
2009-07-01  612.0
2009-08-01  623.3
2009-09-01  625.5
2009-10-01  630.4
2009-11-01  637.0
2009-12-01  632.1
2010-01-01  646.9
2010-02-01  647.3
2010-03-01  641.1
2010-04-01  638.2
2010-05-01  639.1
2010-06-01  631.8
2010-07-01  636.6
2010-08-01  635.0
2010-09-01  626.9
2010-10-01  635.9
2010-11-01  633.2
2010-12-01  623.4
2011-01-01  611.6
2011-02-01  605.2
2011-03-01  591.6
2011-04-01  613.1
2011-05-01  622.6
2011-06-01  612.5
2011-07-01  619.0
2011-08-01  621.6
2011-09-01  642.6
2011-10-01  639.8
2011-11-01  628.9
2011-12-01  635.2
2012-01-01  638.0
2012-02-01  649.3
2012-03-01  649.8
2012-04-01  646.1
2012-05-01  639.9
2012-06-01  646.1
2012-07-01  641.3
2012-08-01  635.0
2012-09-01  633.1
2012-10-01  625.8
2012-11-01  615.9
2012-12-01  623.7
2013-01-01  636.7
2013-02-01  635.4
2013-03-01  629.0
2013-04-01  628.9
2013-05-01  634.6
2013-06-01  649.6
2013-07-01  653.1
2013-08-01  663.5
2013-09-01  679.1
2013-10-01  672.6
2013-11-01  681.9
2013-12-01  696.5
2014-01-01  688.3
2014-02-01  697.0
2014-03-01  724.4
2014-04-01  716.0
2014-05-01  717.4
2014-06-01  721.1
2014-07-01  721.0
2014-08-01  720.4
2014-09-01  710.0
2014-10-01  704.6
2014-11-01  721.2
2014-12-01  718.0
2015-01-01  723.0
2015-02-01  703.9
2015-03-01  708.9
2015-04-01  698.3
2015-05-01  706.2
2015-06-01  700.2
2015-07-01  697.4
2015-08-01  721.3
2015-09-01  705.9
2015-10-01  709.4
2015-11-01  718.7
2015-12-01  714.7
2016-01-01  716.0
2016-02-01  712.2
2016-03-01  725.7
2016-04-01  744.4
2016-05-01  766.3
2016-06-01  741.3
2016-07-01  722.0
2016-08-01  749.0
2016-09-01  757.9
2016-10-01  769.8
2016-11-01  764.2
2016-12-01  770.3
2017-01-01  769.8
2017-02-01  772.5
2017-03-01  752.4
2017-04-01  760.2
2017-05-01  758.6
2017-06-01  765.5
2017-07-01  767.8
2017-08-01  756.1
2017-09-01  752.2
2017-10-01  764.8
2017-11-01  746.3
2017-12-01  748.3
2018-01-01  753.7
2018-02-01  770.9
2018-03-01  775.6
2018-04-01  771.5
2018-05-01  773.6
2018-06-01  768.3
2018-07-01  778.6
2018-08-01  778.0
2018-09-01  790.7
2018-10-01  777.7
