Title:               Average Hourly Earnings of All Employees: Total Private in Asheville, NC (MSA)
Series ID:           SMU37117000500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
2007-01-01  17.63
2007-02-01  17.46
2007-03-01  17.43
2007-04-01  18.72
2007-05-01  18.39
2007-06-01  18.24
2007-07-01  18.31
2007-08-01  18.57
2007-09-01  18.88
2007-10-01  19.00
2007-11-01  18.83
2007-12-01  19.43
2008-01-01  18.63
2008-02-01  18.72
2008-03-01  18.88
2008-04-01  19.63
2008-05-01  18.51
2008-06-01  20.65
2008-07-01  18.73
2008-08-01  18.37
2008-09-01  18.51
2008-10-01  18.55
2008-11-01  19.05
2008-12-01  18.80
2009-01-01  18.68
2009-02-01  18.70
2009-03-01  18.85
2009-04-01  18.86
2009-05-01  18.75
2009-06-01  18.34
2009-07-01  18.13
2009-08-01  18.11
2009-09-01  18.50
2009-10-01  18.60
2009-11-01  18.87
2009-12-01  18.81
2010-01-01  18.54
2010-02-01  18.75
2010-03-01  18.59
2010-04-01  18.64
2010-05-01  18.65
2010-06-01  18.36
2010-07-01  18.17
2010-08-01  18.32
2010-09-01  18.68
2010-10-01  18.98
2010-11-01  19.09
2010-12-01  19.17
2011-01-01  18.89
2011-02-01  18.87
2011-03-01  18.80
2011-04-01  18.98
2011-05-01  18.98
2011-06-01  18.74
2011-07-01  18.72
2011-08-01  19.01
2011-09-01  19.33
2011-10-01  19.40
2011-11-01  19.43
2011-12-01  19.49
2012-01-01  19.44
2012-02-01  19.45
2012-03-01  19.40
2012-04-01  19.44
2012-05-01  19.21
2012-06-01  19.21
2012-07-01  19.20
2012-08-01  18.93
2012-09-01  19.14
2012-10-01  18.97
2012-11-01  19.05
2012-12-01  19.27
2013-01-01  19.64
2013-02-01  19.34
2013-03-01  19.15
2013-04-01  19.26
2013-05-01  19.30
2013-06-01  19.70
2013-07-01  20.08
2013-08-01  20.22
2013-09-01  20.64
2013-10-01  20.48
2013-11-01  20.78
2013-12-01  21.04
2014-01-01  21.04
2014-02-01  21.63
2014-03-01  21.07
2014-04-01  21.07
2014-05-01  21.00
2014-06-01  20.87
2014-07-01  21.36
2014-08-01  21.06
2014-09-01  21.00
2014-10-01  20.89
2014-11-01  21.04
2014-12-01  21.14
2015-01-01  21.14
2015-02-01  20.34
2015-03-01  20.48
2015-04-01  20.69
2015-05-01  20.68
2015-06-01  20.66
2015-07-01  20.78
2015-08-01  21.07
2015-09-01  21.24
2015-10-01  20.87
2015-11-01  21.31
2015-12-01  21.42
2016-01-01  21.51
2016-02-01  21.51
2016-03-01  21.60
2016-04-01  22.05
2016-05-01  22.42
2016-06-01  22.11
2016-07-01  21.68
2016-08-01  22.39
2016-09-01  22.66
2016-10-01  22.74
2016-11-01  22.88
2016-12-01  22.99
2017-01-01  22.96
2017-02-01  22.79
2017-03-01  22.56
2017-04-01  22.40
2017-05-01  22.48
2017-06-01  22.27
2017-07-01  22.67
2017-08-01  22.25
2017-09-01  22.37
2017-10-01  22.55
2017-11-01  22.50
2017-12-01  22.67
2018-01-01  22.88
2018-02-01  22.88
2018-03-01  22.86
2018-04-01  22.52
2018-05-01  22.60
2018-06-01  22.48
2018-07-01  22.80
2018-08-01  22.69
2018-09-01  23.25
2018-10-01  23.14
