Title:               Average Weekly Earnings of All Employees: Total Private in Asheville, NC (MSA)
Series ID:           SMU37117000500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE         VALUE
2007-01-01  611.76
2007-02-01  612.85
2007-03-01  610.05
2007-04-01  657.07
2007-05-01  628.94
2007-06-01  640.22
2007-07-01  642.68
2007-08-01  638.81
2007-09-01  660.80
2007-10-01  644.10
2007-11-01  636.45
2007-12-01  656.73
2008-01-01  627.83
2008-02-01  627.12
2008-03-01  638.14
2008-04-01  673.31
2008-05-01  610.83
2008-06-01  716.56
2008-07-01  631.20
2008-08-01  624.58
2008-09-01  623.79
2008-10-01  612.15
2008-11-01  628.65
2008-12-01  627.92
2009-01-01  595.89
2009-02-01  607.75
2009-03-01  616.40
2009-04-01  616.72
2009-05-01  622.50
2009-06-01  608.89
2009-07-01  607.36
2009-08-01  619.36
2009-09-01  629.00
2009-10-01  632.40
2009-11-01  649.13
2009-12-01  641.42
2010-01-01  635.92
2010-02-01  639.38
2010-03-01  637.64
2010-04-01  644.94
2010-05-01  637.83
2010-06-01  627.91
2010-07-01  632.32
2010-08-01  632.04
2010-09-01  631.38
2010-10-01  639.63
2010-11-01  643.33
2010-12-01  632.61
2011-01-01  602.59
2011-02-01  598.18
2011-03-01  588.44
2011-04-01  616.85
2011-05-01  618.75
2011-06-01  609.05
2011-07-01  615.89
2011-08-01  619.73
2011-09-01  647.56
2011-10-01  644.08
2011-11-01  637.30
2011-12-01  645.12
2012-01-01  631.80
2012-02-01  641.85
2012-03-01  646.02
2012-04-01  647.35
2012-05-01  633.93
2012-06-01  643.54
2012-07-01  639.36
2012-08-01  634.16
2012-09-01  639.28
2012-10-01  629.80
2012-11-01  622.94
2012-12-01  633.98
2013-01-01  632.41
2013-02-01  626.62
2013-03-01  624.29
2013-04-01  629.80
2013-05-01  627.25
2013-06-01  648.13
2013-07-01  652.60
2013-08-01  663.22
2013-09-01  685.25
2013-10-01  675.84
2013-11-01  687.82
2013-12-01  706.94
2014-01-01  685.90
2014-02-01  687.83
2014-03-01  718.49
2014-04-01  716.38
2014-05-01  709.80
2014-06-01  720.02
2014-07-01  721.97
2014-08-01  720.25
2014-09-01  716.10
2014-10-01  708.17
2014-11-01  725.88
2014-12-01  727.22
2015-01-01  720.87
2015-02-01  695.63
2015-03-01  702.46
2015-04-01  699.32
2015-05-01  698.98
2015-06-01  698.31
2015-07-01  700.29
2015-08-01  720.59
2015-09-01  711.54
2015-10-01  713.75
2015-11-01  722.41
2015-12-01  721.85
2016-01-01  714.13
2016-02-01  705.53
2016-03-01  719.28
2016-04-01  745.29
2016-05-01  760.04
2016-06-01  738.47
2016-07-01  726.28
2016-08-01  747.83
2016-09-01  763.64
2016-10-01  775.43
2016-11-01  766.48
2016-12-01  774.76
2017-01-01  766.86
2017-02-01  768.02
2017-03-01  746.74
2017-04-01  761.60
2017-05-01  753.08
2017-06-01  761.63
2017-07-01  773.05
2017-08-01  754.28
2017-09-01  758.34
2017-10-01  771.21
2017-11-01  747.00
2017-12-01  750.38
2018-01-01  750.46
2018-02-01  768.77
2018-03-01  770.38
2018-04-01  772.44
2018-05-01  768.40
2018-06-01  764.32
2018-07-01  784.32
2018-08-01  776.00
2018-09-01  797.48
2018-10-01  784.45
