Title:               Job Losers and Persons Who Completed Temporary Jobs, as a Percent of the Civilian Labor Force for North Carolina
Series ID:           U2UNEM2NC
Source:              U.S. Bureau of Labor Statistics
Release:             Alternative Measures of Labor Underutilization for States
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent, 4-Quarter Moving Average
Date Range:          2003-10-01 to 2018-01-01
Last Updated:        2018-04-27 10:31 AM CDT
Notes:               U-2 unemployment rate, as defined by the Bureau of Labor Statistics
                     (BLS)

DATE       VALUE
2003-10-01   3.7
2004-01-01   3.5
2004-04-01   3.2
2004-07-01   2.9
2004-10-01   2.8
2005-01-01   2.6
2005-04-01   2.5
2005-07-01   2.6
2005-10-01   2.4
2006-01-01   2.1
2006-04-01   2.1
2006-07-01   2.0
2006-10-01   2.0
2007-01-01   2.3
2007-04-01   2.4
2007-07-01   2.4
2007-10-01   2.4
2008-01-01   2.5
2008-04-01   2.5
2008-07-01   2.7
2008-10-01   3.3
2009-01-01   4.2
2009-04-01   5.2
2009-07-01   5.9
2009-10-01   6.5
2010-01-01   6.5
2010-04-01   6.5
2010-07-01   6.5
2010-10-01   6.5
2011-01-01   6.4
2011-04-01   6.5
2011-07-01   6.6
2011-10-01   6.4
2012-01-01   6.2
2012-04-01   5.7
2012-07-01   5.2
2012-10-01   5.0
2013-01-01   4.9
2013-04-01   4.8
2013-07-01   4.7
2013-10-01   4.3
2014-01-01   3.8
2014-04-01   3.4
2014-07-01   3.2
2014-10-01   2.8
2015-01-01   2.6
2015-04-01   2.5
2015-07-01   2.4
2015-10-01   2.6
2016-01-01   2.5
2016-04-01   2.3
2016-07-01   2.2
2016-10-01   2.2
2017-01-01   2.2
2017-04-01   2.2
2017-07-01   2.1
2017-10-01   2.2
2018-01-01   2.1
