Title:               Unemployment Level for North Carolina
Series ID:           UNEMPLOYNC
Source:              U.S. Bureau of Labor Statistics
Release:             Alternative Measures of Labor Underutilization for States
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Persons, 4-Quarter Moving Average
Date Range:          2003-10-01 to 2018-01-01
Last Updated:        2018-04-27 10:31 AM CDT
Notes:               

DATE         VALUE
2003-10-01  272000
2004-01-01  266800
2004-04-01  253700
2004-07-01  233800
2004-10-01  226100
2005-01-01  223700
2005-04-01  220700
2005-07-01  233000
2005-10-01  225100
2006-01-01  215800
2006-04-01  206500
2006-07-01  203000
2006-10-01  208000
2007-01-01  209300
2007-04-01  217700
2007-07-01  209700
2007-10-01  203500
2008-01-01  215400
2008-04-01  224800
2008-07-01  252400
2008-10-01  289700
2009-01-01  344500
2009-04-01  396000
2009-07-01  442000
2009-10-01  478400
2010-01-01  480200
2010-04-01  488700
2010-07-01  490700
2010-10-01  481000
2011-01-01  483400
2011-04-01  480700
2011-07-01  479400
2011-10-01  477500
2012-01-01  465400
2012-04-01  447500
2012-07-01  432300
2012-10-01  431200
2013-01-01  432900
2013-04-01  425400
2013-07-01  403700
2013-10-01  369300
2014-01-01  335000
2014-04-01  312400
2014-07-01  303700
2014-10-01  287000
2015-01-01  279600
2015-04-01  279900
2015-07-01  274300
2015-10-01  280700
2016-01-01  279500
2016-04-01  260200
2016-07-01  247300
2016-10-01  244900
2017-01-01  237200
2017-04-01  228500
2017-07-01  227600
2017-10-01  220200
2018-01-01  211800
