Title:               New Patent Assignments in Polk County, NC
Series ID:           USPTOISSUED037149
Source:              U.S. Patent and Trademark Office
Release:             New Patent Assignments (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Patents
Date Range:          2006-10-01 to 2012-05-01
Last Updated:        2017-06-09 5:51 PM CDT
Notes:               

DATE       VALUE
2006-10-01     1
2006-11-01     .
2006-12-01     .
2007-01-01     .
2007-02-01     .
2007-03-01     .
2007-04-01     .
2007-05-01     .
2007-06-01     .
2007-07-01     .
2007-08-01     .
2007-09-01     .
2007-10-01     .
2007-11-01     .
2007-12-01     .
2008-01-01     .
2008-02-01     .
2008-03-01     .
2008-04-01     .
2008-05-01     .
2008-06-01     .
2008-07-01     .
2008-08-01     .
2008-09-01     .
2008-10-01     .
2008-11-01     .
2008-12-01     .
2009-01-01     .
2009-02-01     .
2009-03-01     .
2009-04-01     .
2009-05-01     .
2009-06-01     .
2009-07-01     .
2009-08-01     .
2009-09-01     .
2009-10-01     .
2009-11-01     .
2009-12-01     .
2010-01-01     .
2010-02-01     .
2010-03-01     .
2010-04-01     .
2010-05-01     .
2010-06-01     .
2010-07-01     .
2010-08-01     .
2010-09-01     .
2010-10-01     .
2010-11-01     .
2010-12-01     .
2011-01-01     .
2011-02-01     .
2011-03-01     .
2011-04-01     .
2011-05-01     .
2011-06-01     .
2011-07-01     .
2011-08-01     .
2011-09-01     .
2011-10-01     .
2011-11-01     .
2011-12-01     .
2012-01-01     .
2012-02-01     .
2012-03-01     .
2012-04-01     .
2012-05-01     1
