Title:               Average Hourly Earnings of All Employees: Total Private in Raleigh, NC (MSA)
Series ID:           SMU37395800500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               

DATE        VALUE
2007-01-01  21.31
2007-02-01  21.98
2007-03-01  21.49
2007-04-01  21.72
2007-05-01  21.51
2007-06-01  21.64
2007-07-01  21.92
2007-08-01  22.05
2007-09-01  22.22
2007-10-01  22.02
2007-11-01  22.59
2007-12-01  22.98
2008-01-01  23.17
2008-02-01  23.76
2008-03-01  24.09
2008-04-01  24.52
2008-05-01  24.25
2008-06-01  23.93
2008-07-01  24.25
2008-08-01  24.88
2008-09-01  24.34
2008-10-01  24.64
2008-11-01  25.47
2008-12-01  25.30
2009-01-01  24.91
2009-02-01  24.92
2009-03-01  24.52
2009-04-01  24.33
2009-05-01  24.53
2009-06-01  24.44
2009-07-01  24.67
2009-08-01  25.31
2009-09-01  25.00
2009-10-01  24.46
2009-11-01  25.24
2009-12-01  24.82
2010-01-01  25.57
2010-02-01  25.92
2010-03-01  25.54
2010-04-01  25.38
2010-05-01  25.83
2010-06-01  25.18
2010-07-01  25.13
2010-08-01  25.34
2010-09-01  24.86
2010-10-01  24.37
2010-11-01  24.46
2010-12-01  24.71
2011-01-01  25.38
2011-02-01  25.19
2011-03-01  24.68
2011-04-01  24.60
2011-05-01  24.76
2011-06-01  24.39
2011-07-01  24.90
2011-08-01  24.61
2011-09-01  25.05
2011-10-01  25.36
2011-11-01  25.03
2011-12-01  25.07
2012-01-01  24.71
2012-02-01  24.74
2012-03-01  23.95
2012-04-01  24.38
2012-05-01  24.18
2012-06-01  24.11
2012-07-01  24.20
2012-08-01  24.18
2012-09-01  24.27
2012-10-01  23.89
2012-11-01  24.27
2012-12-01  23.71
2013-01-01  23.86
2013-02-01  23.76
2013-03-01  23.65
2013-04-01  23.45
2013-05-01  23.31
2013-06-01  23.22
2013-07-01  23.14
2013-08-01  23.13
2013-09-01  23.52
2013-10-01  23.25
2013-11-01  23.36
2013-12-01  23.51
2014-01-01  23.27
2014-02-01  24.60
2014-03-01  23.83
2014-04-01  23.71
2014-05-01  23.66
2014-06-01  23.75
2014-07-01  23.65
2014-08-01  23.52
2014-09-01  24.11
2014-10-01  23.89
2014-11-01  24.22
2014-12-01  24.08
2015-01-01  23.87
2015-02-01  24.70
2015-03-01  24.24
2015-04-01  24.65
2015-05-01  24.43
2015-06-01  24.63
2015-07-01  24.99
2015-08-01  24.96
2015-09-01  25.20
2015-10-01  25.05
2015-11-01  25.45
2015-12-01  25.00
2016-01-01  24.77
2016-02-01  25.20
2016-03-01  25.43
2016-04-01  25.67
2016-05-01  26.09
2016-06-01  25.76
2016-07-01  25.47
2016-08-01  25.24
2016-09-01  25.91
2016-10-01  26.27
2016-11-01  25.87
2016-12-01  26.27
2017-01-01  26.73
2017-02-01  26.39
2017-03-01  26.26
2017-04-01  27.17
2017-05-01  26.35
2017-06-01  26.96
2017-07-01  27.12
2017-08-01  26.44
2017-09-01  27.23
2017-10-01  27.28
2017-11-01  26.94
2017-12-01  27.27
2018-01-01  27.88
2018-02-01  27.86
2018-03-01  27.76
2018-04-01  27.45
2018-05-01  27.20
2018-06-01  27.15
2018-07-01  27.50
2018-08-01  27.20
2018-09-01  29.07
2018-10-01  28.00
