Title:               Average Weekly Earnings of All Employees: Total Private in Raleigh, NC (MSA)
Series ID:           SMU37395800500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               

DATE         VALUE
2007-01-01  722.41
2007-02-01  740.73
2007-03-01  737.11
2007-04-01  742.82
2007-05-01  731.34
2007-06-01  742.25
2007-07-01  758.43
2007-08-01  760.73
2007-09-01  779.92
2007-10-01  753.08
2007-11-01  772.58
2007-12-01  804.30
2008-01-01  799.37
2008-02-01  803.09
2008-03-01  816.65
2008-04-01  833.68
2008-05-01  839.05
2008-06-01  827.98
2008-07-01  856.03
2008-08-01  863.34
2008-09-01  827.56
2008-10-01  832.83
2008-11-01  876.17
2008-12-01  852.61
2009-01-01  809.58
2009-02-01  839.80
2009-03-01  831.23
2009-04-01  829.65
2009-05-01  829.11
2009-06-01  845.62
2009-07-01  851.12
2009-08-01  880.79
2009-09-01  875.00
2009-10-01  858.55
2009-11-01  878.35
2009-12-01  863.74
2010-01-01  897.51
2010-02-01  909.79
2010-03-01  881.13
2010-04-01  903.53
2010-05-01  929.88
2010-06-01  906.48
2010-07-01  902.17
2010-08-01  929.98
2010-09-01  907.39
2010-10-01  884.63
2010-11-01  880.56
2010-12-01  874.73
2011-01-01  885.76
2011-02-01  889.21
2011-03-01  876.14
2011-04-01  875.76
2011-05-01  896.31
2011-06-01  868.28
2011-07-01  878.97
2011-08-01  866.27
2011-09-01  879.26
2011-10-01  907.89
2011-11-01  881.06
2011-12-01  887.48
2012-01-01  872.26
2012-02-01  870.85
2012-03-01  845.44
2012-04-01  867.93
2012-05-01  848.72
2012-06-01  846.26
2012-07-01  854.26
2012-08-01  843.88
2012-09-01  864.01
2012-10-01  838.54
2012-11-01  851.88
2012-12-01  822.74
2013-01-01  796.92
2013-02-01  803.09
2013-03-01  808.83
2013-04-01  806.68
2013-05-01  799.53
2013-06-01  815.02
2013-07-01  786.76
2013-08-01  797.99
2013-09-01  827.90
2013-10-01  802.13
2013-11-01  819.94
2013-12-01  836.96
2014-01-01  802.82
2014-02-01  831.48
2014-03-01  845.97
2014-04-01  829.85
2014-05-01  830.47
2014-06-01  850.25
2014-07-01  823.02
2014-08-01  827.90
2014-09-01  834.21
2014-10-01  831.37
2014-11-01  862.23
2014-12-01  837.98
2015-01-01  816.35
2015-02-01  854.62
2015-03-01  855.67
2015-04-01  847.96
2015-05-01  852.61
2015-06-01  852.20
2015-07-01  867.15
2015-08-01  888.58
2015-09-01  876.96
2015-10-01  874.25
2015-11-01  895.84
2015-12-01  870.00
2016-01-01  847.13
2016-02-01  861.84
2016-03-01  869.71
2016-04-01  885.62
2016-05-01  907.93
2016-06-01  886.14
2016-07-01  878.72
2016-08-01  868.26
2016-09-01  891.30
2016-10-01  908.94
2016-11-01  884.75
2016-12-01  903.69
2017-01-01  892.78
2017-02-01  902.54
2017-03-01  895.47
2017-04-01  942.80
2017-05-01  906.44
2017-06-01  940.90
2017-07-01  960.05
2017-08-01  917.47
2017-09-01  944.88
2017-10-01  962.98
2017-11-01  934.82
2017-12-01  946.27
2018-01-01  942.34
2018-02-01  966.74
2018-03-01  952.17
2018-04-01  966.24
2018-05-01  941.12
2018-06-01  947.54
2018-07-01  968.00
2018-08-01  941.12
2018-09-01  962.22
2018-10-01  946.40
