Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Government for North Carolina
Series ID:           NCGOVQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   91.936
2005-04-01   91.748
2005-07-01   92.543
2005-10-01   93.448
2006-01-01   93.061
2006-04-01   93.882
2006-07-01   94.926
2006-10-01   96.641
2007-01-01   96.601
2007-04-01   97.403
2007-07-01   98.358
2007-10-01   99.412
2008-01-01  100.404
2008-04-01  101.235
2008-07-01  103.335
2008-10-01  102.460
2009-01-01  102.769
2009-04-01  102.640
2009-07-01  102.254
2009-10-01  102.377
2010-01-01  103.936
2010-04-01  103.391
2010-07-01  102.759
2010-10-01  102.882
2011-01-01  103.498
2011-04-01  103.988
2011-07-01  102.187
2011-10-01  101.749
2012-01-01  101.161
2012-04-01   99.740
2012-07-01   99.652
2012-10-01   99.447
2013-01-01   99.112
2013-04-01   98.837
2013-07-01   98.264
2013-10-01   97.157
2014-01-01   97.351
2014-04-01   97.806
2014-07-01   98.041
2014-10-01   97.192
2015-01-01   98.928
2015-04-01   98.480
2015-07-01   98.316
2015-10-01  100.284
2016-01-01   98.650
2016-04-01   98.866
2016-07-01  100.972
2016-10-01  101.318
2017-01-01  100.239
2017-04-01  100.803
2017-07-01   99.520
2017-10-01   99.395
2018-01-01   99.431
2018-04-01   99.771
