Title:               Real Gross Domestic Product by Industry: Government for North Carolina
Series ID:           NCGOVRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:09 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  58000.6
2005-04-01  57882.6
2005-07-01  58384.0
2005-10-01  58954.8
2006-01-01  58710.9
2006-04-01  59228.5
2006-07-01  59887.1
2006-10-01  60969.1
2007-01-01  60943.9
2007-04-01  61449.7
2007-07-01  62052.2
2007-10-01  62717.2
2008-01-01  63343.3
2008-04-01  63867.7
2008-07-01  65192.1
2008-10-01  64640.4
2009-01-01  64835.1
2009-04-01  64753.8
2009-07-01  64510.2
2009-10-01  64587.6
2010-01-01  65571.6
2010-04-01  65227.6
2010-07-01  64828.8
2010-10-01  64906.6
2011-01-01  65295.1
2011-04-01  65604.0
2011-07-01  64467.8
2011-10-01  64191.9
2012-01-01  63820.9
2012-04-01  62924.1
2012-07-01  62868.7
2012-10-01  62739.5
2013-01-01  62528.1
2013-04-01  62354.8
2013-07-01  61993.4
2013-10-01  61294.9
2014-01-01  61416.9
2014-04-01  61703.9
2014-07-01  61852.1
2014-10-01  61317.1
2015-01-01  62411.8
2015-04-01  62129.2
2015-07-01  62026.0
2015-10-01  63267.8
2016-01-01  62236.8
2016-04-01  62373.2
2016-07-01  63701.3
2016-10-01  63919.7
2017-01-01  63239.4
2017-04-01  63594.9
2017-07-01  62785.6
2017-10-01  62706.9
2018-01-01  62729.1
2018-04-01  62944.1
