Title:               Gross Domestic Product by Industry: Government for North Carolina
Series ID:           NCGOVNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  46708.3
2005-04-01  47033.8
2005-07-01  47840.9
2005-10-01  48673.1
2006-01-01  49151.4
2006-04-01  50046.7
2006-07-01  51124.8
2006-10-01  52662.6
2007-01-01  53331.9
2007-04-01  54222.8
2007-07-01  55329.9
2007-10-01  56261.9
2008-01-01  57192.5
2008-04-01  57908.3
2008-07-01  59584.6
2008-10-01  60096.7
2009-01-01  60550.3
2009-04-01  60850.5
2009-07-01  60901.8
2009-10-01  61305.9
2010-01-01  62580.2
2010-04-01  62925.5
2010-07-01  62877.2
2010-10-01  63248.8
2011-01-01  63736.4
2011-04-01  64368.7
2011-07-01  63647.6
2011-10-01  63189.4
2012-01-01  63256.0
2012-04-01  62736.2
2012-07-01  62998.0
2012-10-01  63363.0
2013-01-01  63684.0
2013-04-01  64021.9
2013-07-01  64123.8
2013-10-01  64244.0
2014-01-01  64688.5
2014-04-01  65144.7
2014-07-01  65845.4
2014-10-01  65904.9
2015-01-01  67867.7
2015-04-01  67840.4
2015-07-01  68049.3
2015-10-01  69586.6
2016-01-01  68465.2
2016-04-01  68810.0
2016-07-01  70432.4
2016-10-01  71022.4
2017-01-01  70712.9
2017-04-01  71553.6
2017-07-01  71004.9
2017-10-01  71187.1
2018-01-01  71610.8
2018-04-01  72152.1
