Title:               All Employees: Private Service Providing in North Carolina
Series ID:           SMS37000000800000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:15 PM CST
Notes:               This series is seasonally adjusted by the U.S. Bureau of Labor
                     Statistics.

DATE         VALUE
1990-01-01  1623.2
1990-02-01  1625.9
1990-03-01  1627.9
1990-04-01  1629.0
1990-05-01  1624.3
1990-06-01  1625.8
1990-07-01  1624.4
1990-08-01  1625.0
1990-09-01  1628.7
1990-10-01  1621.6
1990-11-01  1624.4
1990-12-01  1623.4
1991-01-01  1621.9
1991-02-01  1614.2
1991-03-01  1610.5
1991-04-01  1613.8
1991-05-01  1614.1
1991-06-01  1613.0
1991-07-01  1615.3
1991-08-01  1618.4
1991-09-01  1621.4
1991-10-01  1627.2
1991-11-01  1626.7
1991-12-01  1626.5
1992-01-01  1638.6
1992-02-01  1640.1
1992-03-01  1644.2
1992-04-01  1645.7
1992-05-01  1652.3
1992-06-01  1657.6
1992-07-01  1664.3
1992-08-01  1668.6
1992-09-01  1670.9
1992-10-01  1675.5
1992-11-01  1675.4
1992-12-01  1678.8
1993-01-01  1684.0
1993-02-01  1692.5
1993-03-01  1688.2
1993-04-01  1705.2
1993-05-01  1711.2
1993-06-01  1716.0
1993-07-01  1726.3
1993-08-01  1733.8
1993-09-01  1738.8
1993-10-01  1748.2
1993-11-01  1755.6
1993-12-01  1763.3
1994-01-01  1768.1
1994-02-01  1773.6
1994-03-01  1783.2
1994-04-01  1791.5
1994-05-01  1793.8
1994-06-01  1803.5
1994-07-01  1810.1
1994-08-01  1816.3
1994-09-01  1826.1
1994-10-01  1825.9
1994-11-01  1834.0
1994-12-01  1839.8
1995-01-01  1848.3
1995-02-01  1851.9
1995-03-01  1856.3
1995-04-01  1860.1
1995-05-01  1866.5
1995-06-01  1874.5
1995-07-01  1878.3
1995-08-01  1885.9
1995-09-01  1897.2
1995-10-01  1906.2
1995-11-01  1912.5
1995-12-01  1919.1
1996-01-01  1911.3
1996-02-01  1926.3
1996-03-01  1936.9
1996-04-01  1940.2
1996-05-01  1951.6
1996-06-01  1956.4
1996-07-01  1963.8
1996-08-01  1971.3
1996-09-01  1971.6
1996-10-01  1982.1
1996-11-01  1991.0
1996-12-01  2001.6
1997-01-01  2011.8
1997-02-01  2018.7
1997-03-01  2028.2
1997-04-01  2037.5
1997-05-01  2044.6
1997-06-01  2046.2
1997-07-01  2055.5
1997-08-01  2061.0
1997-09-01  2077.0
1997-10-01  2079.7
1997-11-01  2091.9
1997-12-01  2097.6
1998-01-01  2097.1
1998-02-01  2100.1
1998-03-01  2105.1
1998-04-01  2112.1
1998-05-01  2123.5
1998-06-01  2132.3
1998-07-01  2134.5
1998-08-01  2147.7
1998-09-01  2152.2
1998-10-01  2159.6
1998-11-01  2170.8
1998-12-01  2176.4
1999-01-01  2183.1
1999-02-01  2195.6
1999-03-01  2197.7
1999-04-01  2207.1
1999-05-01  2207.5
1999-06-01  2209.5
1999-07-01  2222.7
1999-08-01  2228.2
1999-09-01  2232.4
1999-10-01  2253.4
1999-11-01  2258.9
1999-12-01  2266.7
2000-01-01  2264.6
2000-02-01  2269.5
2000-03-01  2276.0
2000-04-01  2278.7
2000-05-01  2281.2
2000-06-01  2286.6
2000-07-01  2290.7
2000-08-01  2293.0
2000-09-01  2296.1
2000-10-01  2296.9
2000-11-01  2297.9
2000-12-01  2295.6
2001-01-01  2316.4
2001-02-01  2320.6
2001-03-01  2318.2
2001-04-01  2311.2
