Title:               Average Weekly Earnings of All Employees: Total Private in Rocky Mount, NC (MSA)
Series ID:           SMU37405800500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  653.49
2007-02-01  651.13
2007-03-01  642.00
2007-04-01  638.26
2007-05-01  634.26
2007-06-01  643.88
2007-07-01  638.99
2007-08-01  620.31
2007-09-01  618.44
2007-10-01  591.99
2007-11-01  590.60
2007-12-01  585.16
2008-01-01  552.33
2008-02-01  541.38
2008-03-01  552.23
2008-04-01  565.72
2008-05-01  544.16
2008-06-01  555.42
2008-07-01  551.78
2008-08-01  529.87
2008-09-01  542.64
2008-10-01  535.08
2008-11-01  551.38
2008-12-01  538.53
2009-01-01  564.06
2009-02-01  578.89
2009-03-01  555.04
2009-04-01  541.08
2009-05-01  566.94
2009-06-01  553.72
2009-07-01  557.86
2009-08-01  571.97
2009-09-01  566.21
2009-10-01  569.74
2009-11-01  578.82
2009-12-01  576.15
2010-01-01  565.22
2010-02-01  551.92
2010-03-01  564.82
2010-04-01  561.46
2010-05-01  564.73
2010-06-01  568.50
2010-07-01  574.94
2010-08-01  582.08
2010-09-01  571.97
2010-10-01  564.30
2010-11-01  573.21
2010-12-01  577.93
2011-01-01  572.83
2011-02-01  573.12
2011-03-01  557.93
2011-04-01  562.43
2011-05-01  564.77
2011-06-01  573.79
2011-07-01  561.72
2011-08-01  550.12
2011-09-01  535.89
2011-10-01  552.72
2011-11-01  549.43
2011-12-01  546.79
2012-01-01  543.80
2012-02-01  517.75
2012-03-01  525.13
2012-04-01  543.75
2012-05-01  543.12
2012-06-01  559.44
2012-07-01  572.54
2012-08-01  559.08
2012-09-01  560.46
2012-10-01  548.47
2012-11-01  555.04
2012-12-01  570.86
2013-01-01  546.91
2013-02-01  555.25
2013-03-01  561.74
2013-04-01  575.94
2013-05-01  577.76
2013-06-01  606.47
2013-07-01  607.02
2013-08-01  608.50
2013-09-01  630.21
2013-10-01  610.36
2013-11-01  634.78
2013-12-01  645.50
2014-01-01  622.28
2014-02-01  622.38
2014-03-01  633.52
2014-04-01  645.64
2014-05-01  649.74
2014-06-01  661.88
2014-07-01  652.58
2014-08-01  658.56
2014-09-01  640.95
2014-10-01  643.28
2014-11-01  662.59
2014-12-01  671.06
2015-01-01  661.67
2015-02-01  659.01
2015-03-01  666.99
2015-04-01  671.68
2015-05-01  678.11
2015-06-01  688.97
2015-07-01  701.86
2015-08-01  696.82
2015-09-01  686.40
2015-10-01  668.92
2015-11-01  679.68
2015-12-01  678.08
2016-01-01  693.65
2016-02-01  662.24
2016-03-01  669.54
2016-04-01  703.93
2016-05-01  676.16
2016-06-01  685.46
2016-07-01  676.50
2016-08-01  656.94
2016-09-01  652.41
2016-10-01  654.06
2016-11-01  646.47
2016-12-01  643.42
2017-01-01  647.04
2017-02-01  674.65
2017-03-01  671.68
2017-04-01  702.98
2017-05-01  690.10
2017-06-01  695.23
2017-07-01  713.93
2017-08-01  717.12
2017-09-01  701.35
2017-10-01  708.17
2017-11-01  704.14
2017-12-01  729.40
2018-01-01  711.98
2018-02-01  730.78
2018-03-01  699.48
2018-04-01  724.01
2018-05-01  713.41
2018-06-01  759.92
2018-07-01  772.52
2018-08-01  771.64
2018-09-01  687.58
2018-10-01  712.43
