Title:               Average Weekly Earnings of All Employees: Total Private in Wilmington, NC (MSA)
Series ID:           SMU37489000500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               

DATE         VALUE
2007-01-01  629.83
2007-02-01  641.59
2007-03-01  631.19
2007-04-01  633.36
2007-05-01  634.89
2007-06-01  629.63
2007-07-01  661.90
2007-08-01  648.79
2007-09-01  670.56
2007-10-01  653.70
2007-11-01  661.90
2007-12-01  697.58
2008-01-01  700.70
2008-02-01  693.20
2008-03-01  708.92
2008-04-01  711.33
2008-05-01  648.26
2008-06-01  678.47
2008-07-01  613.41
2008-08-01  623.91
2008-09-01  591.95
2008-10-01  688.82
2008-11-01  719.57
2008-12-01  687.46
2009-01-01  696.54
2009-02-01  761.73
2009-03-01  672.15
2009-04-01  729.97
2009-05-01  724.11
2009-06-01  686.81
2009-07-01  686.13
2009-08-01  711.39
2009-09-01  694.25
2009-10-01  700.07
2009-11-01  766.94
2009-12-01  747.56
2010-01-01  703.43
2010-02-01  708.30
2010-03-01  708.86
2010-04-01  704.51
2010-05-01  717.60
2010-06-01  717.81
2010-07-01  727.85
2010-08-01  722.74
2010-09-01  712.84
2010-10-01  703.66
2010-11-01  688.17
2010-12-01  680.65
2011-01-01  669.12
2011-02-01  681.36
2011-03-01  653.75
2011-04-01  672.75
2011-05-01  638.72
2011-06-01  619.74
2011-07-01  629.76
2011-08-01  623.86
2011-09-01  628.53
2011-10-01  657.78
2011-11-01  668.96
2011-12-01  658.86
2012-01-01  689.74
2012-02-01  677.76
2012-03-01  677.49
2012-04-01  687.86
2012-05-01  668.96
2012-06-01  650.79
2012-07-01  658.95
2012-08-01  645.76
2012-09-01  669.38
2012-10-01  652.27
2012-11-01  675.44
2012-12-01  655.85
2013-01-01  635.20
2013-02-01  631.55
2013-03-01  626.39
2013-04-01  629.16
2013-05-01  615.25
2013-06-01  615.32
2013-07-01  601.28
2013-08-01  600.72
2013-09-01  610.56
2013-10-01  611.20
2013-11-01  613.01
2013-12-01  608.65
2014-01-01  581.50
2014-02-01  576.20
2014-03-01  593.34
2014-04-01  585.59
2014-05-01  567.63
2014-06-01  578.53
2014-07-01  549.84
2014-08-01  576.62
2014-09-01  579.23
2014-10-01  570.96
2014-11-01  588.04
2014-12-01  578.84
2015-01-01  573.48
2015-02-01  585.92
2015-03-01  591.75
2015-04-01  593.46
2015-05-01  601.27
2015-06-01  611.84
2015-07-01  606.40
2015-08-01  634.07
2015-09-01  632.18
2015-10-01  640.66
2015-11-01  675.52
2015-12-01  667.67
2016-01-01  685.01
2016-02-01  687.58
2016-03-01  693.57
2016-04-01  686.88
2016-05-01  717.94
2016-06-01  709.42
2016-07-01  701.63
2016-08-01  711.41
2016-09-01  721.05
2016-10-01  736.14
2016-11-01  737.18
2016-12-01  736.67
2017-01-01  745.71
2017-02-01  756.99
2017-03-01  740.59
2017-04-01  744.28
2017-05-01  714.68
2017-06-01  715.29
2017-07-01  725.72
2017-08-01  712.50
2017-09-01  715.62
2017-10-01  742.48
2017-11-01  739.50
2017-12-01  733.49
2018-01-01  734.06
2018-02-01  745.82
2018-03-01  743.68
2018-04-01  761.71
2018-05-01  740.26
2018-06-01  756.63
2018-07-01  758.69
2018-08-01  762.41
2018-09-01  765.61
2018-10-01  787.15
