Title:               Average Hourly Earnings of All Employees: Total Private in Rocky Mount, NC (MSA)
Series ID:           SMU37405800500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
2007-01-01  17.38
2007-02-01  17.09
2007-03-01  17.12
2007-04-01  16.93
2007-05-01  17.05
2007-06-01  17.17
2007-07-01  16.86
2007-08-01  16.72
2007-09-01  16.76
2007-10-01  16.49
2007-11-01  16.59
2007-12-01  16.53
2008-01-01  16.15
2008-02-01  15.97
2008-03-01  16.29
2008-04-01  16.59
2008-05-01  16.44
2008-06-01  16.78
2008-07-01  16.67
2008-08-01  15.96
2008-09-01  16.15
2008-10-01  15.60
2008-11-01  15.89
2008-12-01  15.98
2009-01-01  16.07
2009-02-01  16.17
2009-03-01  16.47
2009-04-01  16.20
2009-05-01  17.18
2009-06-01  17.09
2009-07-01  17.06
2009-08-01  17.28
2009-09-01  17.21
2009-10-01  17.37
2009-11-01  17.54
2009-12-01  17.25
2010-01-01  17.18
2010-02-01  16.93
2010-03-01  16.81
2010-04-01  16.71
2010-05-01  17.01
2010-06-01  16.97
2010-07-01  16.91
2010-08-01  17.12
2010-09-01  17.28
2010-10-01  17.10
2010-11-01  17.37
2010-12-01  17.46
2011-01-01  17.68
2011-02-01  17.42
2011-03-01  17.01
2011-04-01  16.64
2011-05-01  16.66
2011-06-01  16.68
2011-07-01  16.57
2011-08-01  16.52
2011-09-01  16.19
2011-10-01  16.45
2011-11-01  16.45
2011-12-01  16.42
2012-01-01  16.63
2012-02-01  15.98
2012-03-01  16.01
2012-04-01  16.28
2012-05-01  16.31
2012-06-01  16.65
2012-07-01  17.04
2012-08-01  16.59
2012-09-01  16.73
2012-10-01  16.57
2012-11-01  16.47
2012-12-01  16.99
2013-01-01  16.88
2013-02-01  16.98
2013-03-01  16.92
2013-04-01  17.40
2013-05-01  17.35
2013-06-01  17.89
2013-07-01  18.12
2013-08-01  18.11
2013-09-01  18.32
2013-10-01  18.44
2013-11-01  18.67
2013-12-01  18.71
2014-01-01  18.80
2014-02-01  19.15
2014-03-01  18.47
2014-04-01  18.66
2014-05-01  19.11
2014-06-01  19.41
2014-07-01  19.25
2014-08-01  19.20
2014-09-01  19.19
2014-10-01  18.70
2014-11-01  19.04
2014-12-01  18.85
2015-01-01  19.87
2015-02-01  19.97
2015-03-01  19.91
2015-04-01  20.05
2015-05-01  19.77
2015-06-01  19.97
2015-07-01  19.66
2015-08-01  19.74
2015-09-01  19.50
2015-10-01  18.79
2015-11-01  18.88
2015-12-01  18.68
2016-01-01  19.43
2016-02-01  19.14
2016-03-01  19.52
2016-04-01  20.17
2016-05-01  19.43
2016-06-01  20.22
2016-07-01  20.50
2016-08-01  20.09
2016-09-01  19.77
2016-10-01  19.76
2016-11-01  19.07
2016-12-01  18.98
2017-01-01  20.22
2017-02-01  19.96
2017-03-01  20.05
2017-04-01  20.86
2017-05-01  20.60
2017-06-01  20.63
2017-07-01  21.06
2017-08-01  21.03
2017-09-01  20.75
2017-10-01  20.89
2017-11-01  20.71
2017-12-01  20.84
2018-01-01  21.19
2018-02-01  21.06
2018-03-01  20.88
2018-04-01  21.17
2018-05-01  20.86
2018-06-01  21.65
2018-07-01  21.70
2018-08-01  22.11
2018-09-01  21.42
2018-10-01  20.65
