Title:               Average Weekly Earnings of All Employees: Total Private in Winston-Salem, NC (MSA)
Series ID:           SMU37491800500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  593.15
2007-02-01  635.16
2007-03-01  607.88
2007-04-01  659.11
2007-05-01  703.64
2007-06-01  698.78
2007-07-01  707.48
2007-08-01  669.64
2007-09-01  691.06
2007-10-01  686.16
2007-11-01  652.01
2007-12-01  635.25
2008-01-01  632.95
2008-02-01  623.40
2008-03-01  626.56
2008-04-01  635.05
2008-05-01  620.38
2008-06-01  620.15
2008-07-01  556.59
2008-08-01  545.02
2008-09-01  545.36
2008-10-01  610.05
2008-11-01  632.56
2008-12-01  619.22
2009-01-01  617.90
2009-02-01  631.10
2009-03-01  619.41
2009-04-01  606.71
2009-05-01  607.05
2009-06-01  611.75
2009-07-01  598.18
2009-08-01  611.00
2009-09-01  598.56
2009-10-01  592.70
2009-11-01  607.73
2009-12-01  609.08
2010-01-01  619.48
2010-02-01  632.02
2010-03-01  622.30
2010-04-01  634.80
2010-05-01  639.15
2010-06-01  637.64
2010-07-01  635.80
2010-08-01  645.19
2010-09-01  653.09
2010-10-01  647.58
2010-11-01  649.64
2010-12-01  661.17
2011-01-01  681.41
2011-02-01  686.46
2011-03-01  657.19
2011-04-01  667.42
2011-05-01  673.55
2011-06-01  672.97
2011-07-01  680.51
2011-08-01  674.08
2011-09-01  679.02
2011-10-01  703.76
2011-11-01  704.85
2011-12-01  732.48
2012-01-01  722.43
2012-02-01  728.33
2012-03-01  718.64
2012-04-01  742.32
2012-05-01  730.02
2012-06-01  739.18
2012-07-01  733.58
2012-08-01  724.18
2012-09-01  747.65
2012-10-01  738.36
2012-11-01  738.57
2012-12-01  754.05
2013-01-01  701.49
2013-02-01  719.33
2013-03-01  697.54
2013-04-01  706.09
2013-05-01  712.08
2013-06-01  729.95
2013-07-01  714.84
2013-08-01  726.12
2013-09-01  741.85
2013-10-01  729.34
2013-11-01  746.94
2013-12-01  786.47
2014-01-01  749.30
2014-02-01  732.45
2014-03-01  774.36
2014-04-01  747.96
2014-05-01  745.54
2014-06-01  751.87
2014-07-01  733.24
2014-08-01  747.60
2014-09-01  754.30
2014-10-01  755.59
2014-11-01  758.21
2014-12-01  761.84
2015-01-01  753.42
2015-02-01  774.05
2015-03-01  766.66
2015-04-01  751.68
2015-05-01  766.94
2015-06-01  760.82
2015-07-01  753.83
2015-08-01  786.23
2015-09-01  771.59
2015-10-01  791.70
2015-11-01  815.24
2015-12-01  778.01
2016-01-01  757.34
2016-02-01  800.53
2016-03-01  791.35
2016-04-01  805.73
2016-05-01  818.28
2016-06-01  799.04
2016-07-01  808.37
2016-08-01  824.11
2016-09-01  810.97
2016-10-01  805.50
2016-11-01  818.39
2016-12-01  802.87
2017-01-01  811.36
2017-02-01  847.62
2017-03-01  833.32
2017-04-01  842.52
2017-05-01  851.09
2017-06-01  829.48
2017-07-01  840.93
2017-08-01  840.75
2017-09-01  846.57
2017-10-01  854.55
2017-11-01  848.89
2017-12-01  844.73
2018-01-01  834.88
2018-02-01  852.00
2018-03-01  844.38
2018-04-01  847.24
2018-05-01  844.19
2018-06-01  852.76
2018-07-01  846.14
2018-08-01  853.95
2018-09-01  857.15
2018-10-01  854.66
