Title:               All-Transactions House Price Index for North Carolina
Series ID:           NCSTHPI
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1980:Q1=100
Date Range:          1975-01-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1975-01-01   66.12
1975-04-01   67.06
1975-07-01   68.58
1975-10-01   70.79
1976-01-01   69.61
1976-04-01   69.85
1976-07-01   70.43
1976-10-01   70.76
1977-01-01   74.91
1977-04-01   73.94
1977-07-01   76.76
1977-10-01   81.29
1978-01-01   82.88
1978-04-01   83.16
1978-07-01   86.75
1978-10-01   87.34
1979-01-01   90.36
1979-04-01   91.94
1979-07-01   96.18
1979-10-01   96.47
1980-01-01  100.00
1980-04-01   98.23
1980-07-01  101.31
1980-10-01  102.70
1981-01-01  105.62
1981-04-01  106.31
1981-07-01  105.93
1981-10-01  104.40
1982-01-01  107.06
1982-04-01  109.42
1982-07-01  109.48
1982-10-01  111.84
1983-01-01  112.79
1983-04-01  111.35
1983-07-01  113.87
1983-10-01  115.31
1984-01-01  117.98
1984-04-01  122.25
1984-07-01  121.73
1984-10-01  124.89
1985-01-01  127.66
1985-04-01  130.11
1985-07-01  132.98
1985-10-01  134.76
1986-01-01  135.93
1986-04-01  138.52
1986-07-01  140.97
1986-10-01  142.80
1987-01-01  145.48
1987-04-01  147.03
1987-07-01  149.40
1987-10-01  150.42
1988-01-01  151.48
1988-04-01  153.98
1988-07-01  155.37
1988-10-01  156.15
1989-01-01  156.65
1989-04-01  157.47
1989-07-01  160.21
1989-10-01  160.59
1990-01-01  160.99
1990-04-01  161.42
1990-07-01  162.91
1990-10-01  162.81
1991-01-01  163.79
1991-04-01  165.03
1991-07-01  165.31
1991-10-01  167.70
1992-01-01  168.80
1992-04-01  169.16
1992-07-01  171.19
1992-10-01  171.90
1993-01-01  172.33
1993-04-01  173.88
1993-07-01  175.67
1993-10-01  177.13
1994-01-01  178.65
1994-04-01  181.36
1994-07-01  183.78
1994-10-01  185.95
1995-01-01  187.49
1995-04-01  190.07
1995-07-01  193.26
1995-10-01  195.17
1996-01-01  197.55
1996-04-01  199.36
1996-07-01  201.72
1996-10-01  203.36
1997-01-01  205.91
1997-04-01  208.42
1997-07-01  211.49
1997-10-01  214.60
1998-01-01  217.23
1998-04-01  218.84
1998-07-01  222.02
1998-10-01  224.27
1999-01-01  226.17
1999-04-01  228.58
1999-07-01  229.99
1999-10-01  231.03
2000-01-01  233.15
2000-04-01  236.01
2000-07-01  239.09
2000-10-01  241.61
2001-01-01  246.91
2001-04-01  249.10
2001-07-01     251
2001-10-01  253.39
2002-01-01  254.89
2002-04-01  255.99
2002-07-01  259.51
2002-10-01  261.23
2003-01-01  263.37
2003-04-01  265.14
2003-07-01  266.41
2003-10-01  268.89
2004-01-01  271.87
2004-04-01  274.30
2004-07-01  277.21
2004-10-01  281.88
2005-01-01  286.41
2005-04-01  290.27
2005-07-01  296.66
2005-10-01     303
2006-01-01  308.08
2006-04-01  312.43
2006-07-01  317.76
2006-10-01  323.58
2007-01-01  328.56
2007-04-01  331.74
2007-07-01  333.04
2007-10-01  335.72
2008-01-01  338.43
2008-04-01  337.83
2008-07-01  333.67
2008-10-01  333.50
2009-01-01  337.36
2009-04-01  331.56
2009-07-01  323.76
2009-10-01  319.91
2010-01-01  314.58
2010-04-01  312.09
2010-07-01  314.02
2010-10-01  312.39
2011-01-01  305.41
2011-04-01  299.20
2011-07-01  300.87
2011-10-01  301.84
2012-01-01  297.88
2012-04-01  294.39
2012-07-01  297.46
2012-10-01  298.78
2013-01-01  298.13
2013-04-01  299.83
2013-07-01  300.79
2013-10-01  300.02
2014-01-01  302.11
2014-04-01  306.20
2014-07-01  309.18
2014-10-01  310.46
2015-01-01  315.19
2015-04-01  319.16
2015-07-01  322.56
2015-10-01  325.79
2016-01-01  329.98
2016-04-01  335.26
2016-07-01  342.40
2016-10-01  343.88
2017-01-01  346.54
2017-04-01  358.68
2017-07-01  363.11
2017-10-01  365.45
2018-01-01  371.33
2018-04-01     384
2018-07-01  390.05
