Title:               Leading Index for North Carolina
Series ID:           NCSLIND
Source:              Federal Reserve Bank of Philadelphia
Release:             State Leading Indexes
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1982-01-01 to 2018-10-01
Last Updated:        2018-12-04 1:31 PM CST
Notes:               The leading index for each state predicts the six-month growth rate of
                     the state's coincident index. In addition to the coincident index, the
                     models include other variables that lead the economy: state-level
                     housing permits (1 to 4 units), state initial unemployment insurance
                     claims, delivery times from the Institute for Supply Management (ISM)
                     manufacturing survey, and the interest rate spread between the 10-year
                     Treasury bond and the 3-month Treasury bill.

DATE        VALUE
1982-01-01   0.21
1982-02-01   0.90
1982-03-01   0.50
1982-04-01   0.82
1982-05-01   1.16
1982-06-01   0.94
1982-07-01   0.82
1982-08-01   1.02
1982-09-01   1.22
1982-10-01   1.08
1982-11-01   1.14
1982-12-01   1.67
1983-01-01   1.83
1983-02-01   2.14
1983-03-01   2.56
1983-04-01   3.16
1983-05-01   2.99
1983-06-01   3.60
1983-07-01   3.58
1983-08-01   2.79
1983-09-01   3.23
1983-10-01   3.41
1983-11-01   3.24
1983-12-01   3.09
1984-01-01   3.39
1984-02-01   2.86
1984-03-01   2.92
1984-04-01   2.14
1984-05-01   1.73
1984-06-01   1.40
1984-07-01   1.39
1984-08-01   1.60
1984-09-01   1.67
1984-10-01   1.35
1984-11-01   1.68
1984-12-01   2.08
1985-01-01   2.58
1985-02-01   2.49
1985-03-01   2.52
1985-04-01   2.28
1985-05-01   2.22
1985-06-01   1.97
1985-07-01   1.80
1985-08-01   2.20
1985-09-01   2.55
1985-10-01   3.11
1985-11-01   2.72
1985-12-01   2.38
1986-01-01   1.85
1986-02-01   1.52
1986-03-01   1.39
1986-04-01   1.43
1986-05-01   1.67
1986-06-01   1.82
1986-07-01   1.85
1986-08-01   2.08
1986-09-01   1.72
1986-10-01   1.89
1986-11-01   2.08
1986-12-01   2.31
1987-01-01   2.37
1987-02-01   1.97
1987-03-01   2.19
1987-04-01   2.49
1987-05-01   2.47
1987-06-01   2.35
1987-07-01   2.34
1987-08-01   2.11
1987-09-01   1.77
1987-10-01   1.93
1987-11-01   2.20
1987-12-01   1.85
1988-01-01   1.63
1988-02-01   2.52
1988-03-01   2.31
1988-04-01   2.23
1988-05-01   1.93
1988-06-01   2.19
1988-07-01   2.20
1988-08-01   1.85
1988-09-01   1.39
1988-10-01   1.16
1988-11-01   1.49
1988-12-01   1.77
1989-01-01   1.82
1989-02-01   1.69
1989-03-01   1.43
1989-04-01   1.29
1989-05-01   1.21
1989-06-01   1.38
1989-07-01   1.21
1989-08-01   1.31
1989-09-01   1.44
1989-10-01   1.42
1989-11-01   1.74
1989-12-01   1.72
1990-01-01   2.20
1990-02-01   1.82
1990-03-01   1.67
1990-04-01   0.98
1990-05-01   0.89
1990-06-01   0.86
1990-07-01   0.68
1990-08-01   0.22
1990-09-01   0.23
1990-10-01  -0.14
1990-11-01   0.29
1990-12-01  -0.10
1991-01-01   0.03
1991-02-01   0.10
1991-03-01   0.07
1991-04-01   0.79
1991-05-01   1.08
1991-06-01   1.42
1991-07-01   1.94
1991-08-01   1.80
1991-09-01   1.87
1991-10-01   1.84
1991-11-01   1.52
1991-12-01   1.29
1992-01-01   1.73
1992-02-01   1.82
1992-03-01   1.96
1992-04-01   1.86
1992-05-01   2.11
1992-06-01   2.10
1992-07-01   1.82
1992-08-01   1.70
1992-09-01   1.95
1992-10-01   1.86
1992-11-01   2.17
1992-12-01   2.33
1993-01-01   2.56
1993-02-01   2.45
1993-03-01   1.72
1993-04-01   2.13
1993-05-01   2.21
1993-06-01   2.24
1993-07-01   2.60
1993-08-01   2.21
1993-09-01   2.29
1993-10-01   1.99
1993-11-01   2.21
1993-12-01   2.16
1994-01-01   1.89
1994-02-01   1.77
1994-03-01   1.99
1994-04-01   1.95
1994-05-01   1.74
1994-06-01   2.06
1994-07-01   1.86
1994-08-01   1.67
1994-09-01   1.99
1994-10-01   2.05
1994-11-01   2.01
1994-12-01   1.99
1995-01-01   2.08
1995-02-01   1.49
1995-03-01   1.15
1995-04-01   0.93
1995-05-01   0.86
1995-06-01   1.16
1995-07-01   1.23
1995-08-01   1.10
1995-09-01   1.78
1995-10-01   1.63
1995-11-01   1.56
1995-12-01   1.62
1996-01-01   0.73
1996-02-01   1.59
