Title:               Resident Population in Surry County, NC
Series ID:           NCSURR0POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  51.415
1971-01-01  52.500
1972-01-01  53.600
1973-01-01  54.600
1974-01-01  55.000
1975-01-01  56.100
1976-01-01  56.500
1977-01-01  57.500
1978-01-01  57.900
1979-01-01  58.500
1980-01-01  59.449
1981-01-01  59.637
1982-01-01  59.896
1983-01-01  59.818
1984-01-01  60.276
1985-01-01  60.525
1986-01-01  60.783
1987-01-01  61.100
1988-01-01  61.243
1989-01-01  61.387
1990-01-01  61.969
1991-01-01  62.872
1992-01-01  63.752
1993-01-01  64.837
1994-01-01  65.862
1995-01-01  66.828
1996-01-01  67.582
1997-01-01  68.739
1998-01-01  69.986
1999-01-01  70.942
2000-01-01  71.293
2001-01-01  71.656
2002-01-01  71.912
2003-01-01  72.037
2004-01-01  71.708
2005-01-01  71.905
2006-01-01  72.012
2007-01-01  72.148
2008-01-01  72.428
2009-01-01  72.392
2010-01-01  73.777
2011-01-01  73.537
2012-01-01  73.346
2013-01-01  72.718
2014-01-01  72.557
2015-01-01  72.029
2016-01-01  72.049
2017-01-01  72.224
